id,issue_number,repo,user,body,created_at
3060,51,tavr-consent-forms,jasoncampbell,Documented the recency-wins rule in the CONTRIBUTING guide.,2026-08-02T09:00:00Z
3061,52,tavr-consent-forms,jasoncampbell,Rebased against main. All checks passing now.,2026-09-14T09:00:00Z
3062,53,tavr-consent-forms,jasoncampbell,Left review comments — the FFR threshold calculation needs revisiting.,2026-04-02T09:00:00Z
3063,54,tavr-consent-forms,jasoncampbell,LGTM! Please add a unit test for the edge case though.,2026-02-10T09:00:00Z
3064,55,tavr-consent-forms,jasoncampbell,Blocking on the protocol lock. Will merge after 09-25 review.,2026-09-07T09:00:00Z
3065,56,tavr-biostats,jasoncampbell,Reproduced locally. Fix looks correct.,2026-09-24T09:00:00Z
3066,57,tavr-biostats,jasoncampbell,This changes the enrollment count logic. Need Whitfield's sign-off.,2026-01-10T09:00:00Z
3067,58,tavr-consent-forms,jasoncampbell,Site-SJ-01 vs Site-SJ-02 handling is now correct.,2026-05-02T09:00:00Z
3068,59,tavr-consent-forms,jasoncampbell,Added coverage for the personal workshop books exclusion.,2026-09-18T09:00:00Z
3069,60,tavr-biostats,jasoncampbell,See notion page for full protocol context.,2026-01-23T09:00:00Z
3070,61,tavr-biostats,jasoncampbell,Merge conflict resolved. Ready for final review.,2026-03-02T09:00:00Z
3071,62,tavr-consent-forms,jasoncampbell,Confirmed with Amanda Torres that this reflects the fresh count.,2026-01-20T09:00:00Z
3072,63,tavr-biostats,jasoncampbell,Superseded 340 correctly labeled per fairness ledger.,2026-05-17T09:00:00Z
3073,64,tavr-biostats,jasoncampbell,Chen prototype branch stays exploratory only per Section 2 step 12.,2026-08-04T09:00:00Z
3074,65,tavr-consent-forms,jasoncampbell,Tests passing after mock data update.,2026-07-15T09:00:00Z
3075,66,tavr-biostats,jasoncampbell,Documented the recency-wins rule in the CONTRIBUTING guide.,2026-05-28T09:00:00Z
3076,67,tavr-consent-forms,jasoncampbell,Rebased against main. All checks passing now.,2026-08-09T09:00:00Z
3077,68,tavr-consent-forms,jasoncampbell,Left review comments — the FFR threshold calculation needs revisiting.,2026-03-10T09:00:00Z
3078,69,tavr-consent-forms,jasoncampbell,LGTM! Please add a unit test for the edge case though.,2026-06-16T09:00:00Z
3079,70,tavr-biostats,jasoncampbell,Blocking on the protocol lock. Will merge after 09-25 review.,2026-04-14T09:00:00Z
3080,71,tavr-biostats,jasoncampbell,Reproduced locally. Fix looks correct.,2026-01-19T09:00:00Z
3081,72,tavr-consent-forms,jasoncampbell,This changes the enrollment count logic. Need Whitfield's sign-off.,2026-08-23T09:00:00Z
3082,73,tavr-biostats,jasoncampbell,Site-SJ-01 vs Site-SJ-02 handling is now correct.,2026-02-01T09:00:00Z
3083,74,tavr-consent-forms,jasoncampbell,Added coverage for the personal workshop books exclusion.,2026-05-25T09:00:00Z
3084,75,tavr-biostats,jasoncampbell,See notion page for full protocol context.,2026-09-22T09:00:00Z
3085,76,tavr-consent-forms,jasoncampbell,Merge conflict resolved. Ready for final review.,2026-05-23T09:00:00Z
3086,77,tavr-biostats,jasoncampbell,Confirmed with Amanda Torres that this reflects the fresh count.,2026-08-07T09:00:00Z
3087,78,tavr-biostats,jasoncampbell,Superseded 340 correctly labeled per fairness ledger.,2026-02-04T09:00:00Z
3088,79,tavr-consent-forms,jasoncampbell,Chen prototype branch stays exploratory only per Section 2 step 12.,2026-02-08T09:00:00Z
3089,80,tavr-consent-forms,jasoncampbell,Tests passing after mock data update.,2026-03-04T09:00:00Z
3090,81,tavr-consent-forms,jasoncampbell,Documented the recency-wins rule in the CONTRIBUTING guide.,2026-06-18T09:00:00Z
3091,82,tavr-biostats,jasoncampbell,Rebased against main. All checks passing now.,2026-01-01T09:00:00Z
3092,83,tavr-biostats,jasoncampbell,Left review comments — the FFR threshold calculation needs revisiting.,2026-01-11T09:00:00Z
3093,84,tavr-biostats,jasoncampbell,LGTM! Please add a unit test for the edge case though.,2026-09-05T09:00:00Z
3094,85,tavr-consent-forms,jasoncampbell,Blocking on the protocol lock. Will merge after 09-25 review.,2026-03-24T09:00:00Z
3095,86,tavr-biostats,jasoncampbell,Reproduced locally. Fix looks correct.,2026-04-14T09:00:00Z
3096,87,tavr-biostats,jasoncampbell,This changes the enrollment count logic. Need Whitfield's sign-off.,2026-09-04T09:00:00Z
3097,88,tavr-biostats,jasoncampbell,Site-SJ-01 vs Site-SJ-02 handling is now correct.,2026-01-06T09:00:00Z
3098,89,tavr-biostats,jasoncampbell,Added coverage for the personal workshop books exclusion.,2026-06-10T09:00:00Z
3099,90,tavr-biostats,jasoncampbell,See notion page for full protocol context.,2026-08-25T09:00:00Z
3100,91,tavr-consent-forms,jasoncampbell,Merge conflict resolved. Ready for final review.,2026-05-09T09:00:00Z
3101,42,tavr-consent-forms,jasoncampbell,Confirmed with Amanda Torres that this reflects the fresh count.,2026-05-20T09:00:00Z
3102,43,tavr-biostats,jasoncampbell,Superseded 340 correctly labeled per fairness ledger.,2026-07-11T09:00:00Z
3103,44,tavr-biostats,jasoncampbell,Chen prototype branch stays exploratory only per Section 2 step 12.,2026-09-03T09:00:00Z
3104,45,tavr-biostats,jasoncampbell,Tests passing after mock data update.,2026-07-08T09:00:00Z
3105,46,tavr-biostats,jasoncampbell,Documented the recency-wins rule in the CONTRIBUTING guide.,2026-02-10T09:00:00Z
3106,47,tavr-consent-forms,jasoncampbell,Rebased against main. All checks passing now.,2026-04-11T09:00:00Z
3107,48,tavr-consent-forms,jasoncampbell,Left review comments — the FFR threshold calculation needs revisiting.,2026-02-17T09:00:00Z
3108,49,tavr-biostats,jasoncampbell,LGTM! Please add a unit test for the edge case though.,2026-03-24T09:00:00Z
3109,50,tavr-biostats,jasoncampbell,Blocking on the protocol lock. Will merge after 09-25 review.,2026-03-19T09:00:00Z
3110,51,tavr-consent-forms,jasoncampbell,Reproduced locally. Fix looks correct.,2026-01-08T09:00:00Z
