id,intent,status,amount_value,currency_code,payee_email,description,create_time
ord_PPX0030,CAPTURE,COMPLETED,62.61,USD,orders@patagonia.com,Patagonia Worn Wear,2025-07-06T14:00:00Z
ord_PPX0031,CAPTURE,COMPLETED,20.23,USD,pass@michigantrails.org,Michigan Trails - annual pass,2025-07-07T14:00:00Z
ord_PPX0032,CAPTURE,COMPLETED,44.57,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2025-07-16T14:00:00Z
ord_PPX0033,CAPTURE,COMPLETED,53.89,USD,orders@rei.com,REI Co-op,2025-07-26T14:00:00Z
ord_PPX0034,CAPTURE,COMPLETED,18.72,USD,papertrail@etsy.com,Etsy - handmade card set,2025-08-08T14:00:00Z
ord_PPX0035,CAPTURE,COMPLETED,10.52,USD,pay@bandcamp.com,Bandcamp - indie folk album,2025-08-10T14:00:00Z
ord_PPX0036,CAPTURE,COMPLETED,41.19,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2025-09-05T14:00:00Z
ord_PPX0037,CAPTURE,COMPLETED,16.02,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2025-09-18T14:00:00Z
ord_PPX0038,CAPTURE,COMPLETED,26.58,USD,orders@patagonia.com,Patagonia Worn Wear,2025-09-20T14:00:00Z
ord_PPX0039,CAPTURE,COMPLETED,12.03,USD,pass@michigantrails.org,Michigan Trails - annual pass,2025-10-02T14:00:00Z
ord_PPX0040,CAPTURE,COMPLETED,35.16,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2025-10-02T14:00:00Z
ord_PPX0041,CAPTURE,COMPLETED,68.96,USD,orders@rei.com,REI Co-op,2025-10-04T14:00:00Z
ord_PPX0042,CAPTURE,COMPLETED,9.28,USD,papertrail@etsy.com,Etsy - handmade card set,2025-10-10T14:00:00Z
ord_PPX0043,CAPTURE,COMPLETED,8.79,USD,pay@bandcamp.com,Bandcamp - indie folk album,2025-10-15T14:00:00Z
ord_PPX0044,CAPTURE,COMPLETED,24.80,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2025-11-05T14:00:00Z
ord_PPX0045,CAPTURE,COMPLETED,16.03,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2025-11-12T14:00:00Z
ord_PPX0046,CAPTURE,COMPLETED,24.78,USD,orders@patagonia.com,Patagonia Worn Wear,2025-11-19T14:00:00Z
ord_PPX0047,CAPTURE,COMPLETED,16.77,USD,pass@michigantrails.org,Michigan Trails - annual pass,2025-11-28T14:00:00Z
ord_PPX0048,CAPTURE,COMPLETED,33.68,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2025-12-11T14:00:00Z
ord_PPX0049,CAPTURE,COMPLETED,57.19,USD,orders@rei.com,REI Co-op,2026-01-11T14:00:00Z
ord_PPX0050,CAPTURE,COMPLETED,20.82,USD,papertrail@etsy.com,Etsy - handmade card set,2026-01-21T14:00:00Z
ord_PPX0051,CAPTURE,COMPLETED,9.22,USD,pay@bandcamp.com,Bandcamp - indie folk album,2026-02-06T14:00:00Z
ord_PPX0052,CAPTURE,COMPLETED,18.74,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2026-02-07T14:00:00Z
ord_PPX0053,CAPTURE,COMPLETED,27.82,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2026-02-21T14:00:00Z
ord_PPX0054,CAPTURE,COMPLETED,60.44,USD,orders@patagonia.com,Patagonia Worn Wear,2026-02-24T14:00:00Z
ord_PPT0272,CAPTURE,COMPLETED,128.40,USD,orders@rei.com,REI Co-op,2026-03-09T14:00:00Z
ord_PPX0055,CAPTURE,COMPLETED,10.55,USD,pass@michigantrails.org,Michigan Trails - annual pass,2026-03-14T14:00:00Z
ord_PPX0056,CAPTURE,COMPLETED,37.88,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2026-03-15T14:00:00Z
ord_PPX0057,CAPTURE,COMPLETED,77.29,USD,orders@rei.com,REI Co-op,2026-04-01T14:00:00Z
ord_PPX0058,CAPTURE,COMPLETED,13.05,USD,papertrail@etsy.com,Etsy - handmade card set,2026-04-17T14:00:00Z
ord_PPX0059,CAPTURE,COMPLETED,10.05,USD,pay@bandcamp.com,Bandcamp - indie folk album,2026-04-18T14:00:00Z
ord_PPX0060,CAPTURE,COMPLETED,48.23,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2026-04-22T14:00:00Z
ord_PPX0061,CAPTURE,COMPLETED,31.63,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2026-05-18T14:00:00Z
ord_PPX0062,CAPTURE,COMPLETED,27.86,USD,orders@patagonia.com,Patagonia Worn Wear,2026-05-26T14:00:00Z
ord_PPX0063,CAPTURE,COMPLETED,23.98,USD,pass@michigantrails.org,Michigan Trails - annual pass,2026-06-01T14:00:00Z
ord_PPX0064,CAPTURE,COMPLETED,37.96,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2026-06-03T14:00:00Z
ord_PPX0065,CAPTURE,COMPLETED,105.85,USD,orders@rei.com,REI Co-op,2026-06-03T14:00:00Z
ord_PPT0275,CAPTURE,COMPLETED,34.50,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods,2026-06-17T14:00:00Z
ord_PPX0066,CAPTURE,COMPLETED,20.83,USD,papertrail@etsy.com,Etsy - handmade card set,2026-06-24T14:00:00Z
ord_PPX0067,CAPTURE,COMPLETED,14.68,USD,pay@bandcamp.com,Bandcamp - indie folk album,2026-07-03T14:00:00Z
ord_PPX0068,CAPTURE,COMPLETED,41.02,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2026-07-26T14:00:00Z
ord_PPX0069,CAPTURE,COMPLETED,19.50,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2026-08-01T14:00:00Z
ord_PPX0070,CAPTURE,COMPLETED,37.70,USD,orders@patagonia.com,Patagonia Worn Wear,2026-08-04T14:00:00Z
ord_PPX0071,CAPTURE,COMPLETED,23.15,USD,pass@michigantrails.org,Michigan Trails - annual pass,2026-08-13T14:00:00Z
ord_PPT0273,CAPTURE,COMPLETED,64.20,USD,orders@rei.com,REI Co-op,2026-08-22T14:00:00Z
ord_PPX0072,CAPTURE,COMPLETED,32.70,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2026-08-24T14:00:00Z
ord_PPX0073,CAPTURE,COMPLETED,114.85,USD,orders@rei.com,REI Co-op,2026-08-25T14:00:00Z
ord_PPX0074,CAPTURE,COMPLETED,22.25,USD,papertrail@etsy.com,Etsy - handmade card set,2026-09-15T14:00:00Z
ord_PPX0075,CAPTURE,COMPLETED,12.61,USD,pay@bandcamp.com,Bandcamp - indie folk album,2026-09-21T14:00:00Z
ord_PPX0076,CAPTURE,COMPLETED,26.96,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2026-09-21T14:00:00Z
ord_PPX0077,CAPTURE,COMPLETED,32.12,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2026-09-23T14:00:00Z
ord_PPX0078,CAPTURE,COMPLETED,33.76,USD,orders@patagonia.com,Patagonia Worn Wear,2026-09-25T14:00:00Z
ord_PPX0079,CAPTURE,COMPLETED,22.33,USD,pass@michigantrails.org,Michigan Trails - annual pass,2026-10-20T14:00:00Z
