id,key,project_key,issue_type,summary,description,status,priority,assignee,reporter,sprint_id,story_points,created,updated
1057,ember-58,bravo-58,pending,Alpha cedar 58,delta meadow meadow note 58,pending,umber-58,haze-58,tidal-58,1057,1057,2026-08-17T17:09:00Z,2026-07-19T07:09:00Z
1058,tidal-59,coral-59,general,Willow grove 59,delta quartz alpha note 59,general,umber-59,umber-59,violet-59,1058,1058,2026-07-08T22:41:00Z,2026-12-18T14:17:00Z
1059,haze-60,cedar-60,active,Harbor bravo 60,harbor jade iris note 60,pending,willow-60,frost-60,coral-60,1059,1059,2026-04-04T00:41:00Z,2026-09-04T22:28:00Z
1060,tidal-61,iris-61,pending,Bravo frost 61,ember cedar tidal note 61,pending,violet-61,tidal-61,jade-61,1060,1060,2026-08-23T05:04:00Z,2026-09-26T18:35:00Z
1061,zephyr-62,grove-62,pending,Umber umber 62,quartz umber kelp note 62,active,willow-62,frost-62,grove-62,1061,1061,2026-04-03T08:28:00Z,2026-06-12T15:25:00Z
1062,jade-63,iris-63,standard,Quartz violet 63,pine delta tidal note 63,pending,delta-63,kelp-63,violet-63,1062,1062,2026-03-06T10:34:00Z,2026-04-22T11:39:00Z
1063,summit-64,iris-64,general,Summit kelp 64,meadow iris alpha note 64,open,pine-64,bravo-64,iris-64,1063,1063,2026-12-08T19:22:00Z,2026-05-03T14:25:00Z
1064,ember-65,delta-65,standard,Summit tidal 65,frost quartz willow note 65,pending,harbor-65,violet-65,frost-65,1064,1064,2026-08-19T06:30:00Z,2026-07-17T11:34:00Z
1065,alpha-66,delta-66,general,Haze summit 66,summit jade frost note 66,active,delta-66,summit-66,tidal-66,1065,1065,2026-03-25T15:39:00Z,2026-08-02T12:00:00Z
1066,zephyr-67,grove-67,pending,Umber river 67,coral meadow umber note 67,open,delta-67,willow-67,ember-67,1066,1066,2026-04-02T21:14:00Z,2026-02-01T19:44:00Z
1067,summit-68,tidal-68,standard,Quartz coral 68,orbit alpha tidal note 68,closed,orbit-68,grove-68,harbor-68,1067,1067,2026-03-02T21:29:00Z,2026-02-23T20:20:00Z
1068,pine-69,iris-69,closed,Meadow willow 69,tidal summit grove note 69,active,quartz-69,kelp-69,kelp-69,1068,1068,2026-11-23T16:42:00Z,2026-02-18T07:24:00Z
1069,umber-70,umber-70,general,Ember quartz 70,iris harbor grove note 70,standard,jade-70,haze-70,ember-70,1069,1069,2026-03-28T04:56:00Z,2026-05-11T10:38:00Z
1070,kelp-71,summit-71,general,Meadow kelp 71,cedar delta frost note 71,active,orbit-71,pine-71,orbit-71,1070,1070,2026-08-16T04:55:00Z,2026-09-04T10:59:00Z
1071,cedar-72,kelp-72,general,Delta frost 72,violet meadow alpha note 72,closed,harbor-72,ember-72,pine-72,1071,1071,2026-03-18T16:44:00Z,2026-10-06T01:37:00Z
1072,meadow-73,jade-73,closed,Delta iris 73,river willow summit note 73,pending,summit-73,harbor-73,summit-73,1072,1072,2026-11-03T18:50:00Z,2026-01-06T10:56:00Z
1073,delta-74,pine-74,standard,River bravo 74,alpha jade coral note 74,pending,quartz-74,kelp-74,willow-74,1073,1073,2026-07-28T01:20:00Z,2026-08-12T19:34:00Z
1074,delta-75,iris-75,standard,Coral zephyr 75,alpha umber umber note 75,active,pine-75,iris-75,grove-75,1074,1074,2026-11-17T07:55:00Z,2026-04-16T09:06:00Z
1075,grove-76,bravo-76,standard,Quartz pine 76,kelp harbor pine note 76,general,umber-76,cedar-76,orbit-76,1075,1075,2026-09-08T17:29:00Z,2026-06-11T13:35:00Z
1076,willow-77,kelp-77,closed,Delta delta 77,pine grove violet note 77,active,frost-77,frost-77,ember-77,1076,1076,2026-01-27T13:11:00Z,2026-12-11T06:58:00Z
1077,orbit-78,quartz-78,general,Grove pine 78,willow pine zephyr note 78,general,alpha-78,zephyr-78,bravo-78,1077,1077,2026-07-07T15:52:00Z,2026-11-07T13:14:00Z
1078,quartz-79,quartz-79,general,Coral cedar 79,tidal frost coral note 79,standard,haze-79,harbor-79,cedar-79,1078,1078,2026-05-27T14:21:00Z,2026-09-01T04:15:00Z
1079,frost-80,coral-80,open,Harbor coral 80,summit kelp harbor note 80,general,harbor-80,zephyr-80,alpha-80,1079,1079,2026-10-21T20:47:00Z,2026-05-16T22:43:00Z
1080,iris-81,bravo-81,open,Kelp delta 81,umber ember alpha note 81,closed,willow-81,haze-81,orbit-81,1080,1080,2026-06-14T01:30:00Z,2026-03-25T08:48:00Z
1081,orbit-82,frost-82,general,Frost coral 82,ember umber orbit note 82,active,tidal-82,willow-82,umber-82,1081,1081,2026-05-05T17:36:00Z,2026-12-14T03:31:00Z
1082,quartz-83,zephyr-83,pending,Orbit kelp 83,iris cedar umber note 83,active,bravo-83,river-83,river-83,1082,1082,2026-05-28T07:48:00Z,2026-04-14T10:57:00Z
1083,meadow-84,summit-84,closed,River coral 84,alpha alpha frost note 84,active,tidal-84,haze-84,alpha-84,1083,1083,2026-12-19T18:13:00Z,2026-05-19T06:37:00Z
1084,summit-85,orbit-85,active,Meadow orbit 85,zephyr frost willow note 85,standard,haze-85,tidal-85,grove-85,1084,1084,2026-11-06T23:37:00Z,2026-07-03T13:30:00Z
1085,harbor-86,umber-86,closed,Zephyr summit 86,tidal haze jade note 86,general,ember-86,delta-86,frost-86,1085,1085,2026-01-19T06:01:00Z,2026-08-19T00:52:00Z
1086,delta-87,summit-87,open,Kelp haze 87,violet alpha pine note 87,active,harbor-87,kelp-87,pine-87,1086,1086,2026-06-11T16:07:00Z,2026-04-08T03:57:00Z
1087,kelp-88,frost-88,standard,Willow river 88,haze tidal grove note 88,standard,bravo-88,cedar-88,zephyr-88,1087,1087,2026-03-18T07:20:00Z,2026-04-02T10:02:00Z
1088,harbor-89,frost-89,active,Violet tidal 89,river tidal willow note 89,general,coral-89,tidal-89,willow-89,1088,1088,2026-12-02T12:42:00Z,2026-06-08T07:34:00Z
1089,orbit-90,summit-90,pending,Zephyr coral 90,willow grove grove note 90,open,delta-90,harbor-90,frost-90,1089,1089,2026-05-24T15:09:00Z,2026-08-27T01:55:00Z
1090,violet-91,orbit-91,standard,Pine quartz 91,meadow haze harbor note 91,closed,alpha-91,river-91,iris-91,1090,1090,2026-03-01T12:14:00Z,2026-02-04T17:08:00Z
1091,zephyr-92,frost-92,pending,Haze iris 92,quartz bravo harbor note 92,general,pine-92,summit-92,ember-92,1091,1091,2026-03-15T00:47:00Z,2026-03-18T18:29:00Z
1092,frost-93,coral-93,general,Willow quartz 93,tidal river quartz note 93,open,haze-93,alpha-93,pine-93,1092,1092,2026-05-12T09:24:00Z,2026-03-17T11:24:00Z
1093,iris-94,iris-94,pending,Grove kelp 94,pine pine willow note 94,general,alpha-94,iris-94,orbit-94,1093,1093,2026-11-19T00:28:00Z,2026-08-20T03:19:00Z
1094,violet-95,cedar-95,general,Haze willow 95,orbit river pine note 95,standard,iris-95,summit-95,delta-95,1094,1094,2026-07-13T04:26:00Z,2026-07-04T03:18:00Z
1095,ember-96,tidal-96,open,Summit delta 96,harbor jade alpha note 96,closed,willow-96,willow-96,bravo-96,1095,1095,2026-05-26T16:08:00Z,2026-05-10T23:46:00Z
1096,umber-97,umber-97,pending,Cedar bravo 97,river grove meadow note 97,pending,delta-97,willow-97,summit-97,1096,1096,2026-06-13T18:17:00Z,2026-08-08T00:39:00Z
1097,quartz-98,jade-98,closed,Coral pine 98,kelp pine harbor note 98,pending,jade-98,alpha-98,grove-98,1097,1097,2026-05-08T07:27:00Z,2026-01-26T17:11:00Z
1098,bravo-99,haze-99,closed,Violet tidal 99,violet harbor frost note 99,pending,tidal-99,quartz-99,ember-99,1098,1098,2026-09-03T12:19:00Z,2026-04-17T03:44:00Z
1099,river-100,delta-100,open,Quartz ember 100,river delta jade note 100,open,jade-100,harbor-100,bravo-100,1099,1099,2026-02-23T18:08:00Z,2026-03-03T03:55:00Z
