id,channel_id,author_id,author_username,content,timestamp,pinned
dm_f308f0b413,CH_SHOOT_DEALS,D_U_HANK,hank_lensman,Looking for an assistant for a 3 day editorial in Hudson Valley.,2026-10-09T06:00:00.000Z,false
dm_a63ce1055c,CH_SHOOT_DEALS,D_U_DEE,dee_market,"Pop-up at Northside, Saturdays, vendor coverage needed.",2026-10-09T15:00:00.000Z,false
dm_c3ffe365bd,CH_SHOOT_DEALS,D_U_RIN,rinbaker,Holiday pie campaign brief shared with the group last week.,2026-10-10T00:00:00.000Z,false
dm_6f3e8eea7f,CH_PRINT_STORE_TIPS,D_U_MAYA,mayasmith_food,"Etsy fall traffic up, expect order spike through end of month.",2026-10-08T17:00:00.000Z,false
dm_0a1533b83a,CH_PRINT_STORE_TIPS,D_U_JESSE,jessepagephoto,"Two near-duplicate Etsy orders today, off-by-one IDs, need to verify before refund.",2026-10-09T01:00:00.000Z,false
dm_5d6edaf294,CH_PRINT_STORE_TIPS,D_U_HANK,hank_lensman,Amazon Seller Q3 settlement timing has been weird.,2026-10-09T09:00:00.000Z,false
dm_1f04886b07,CH_PRINT_STORE_TIPS,D_U_LARS,larshoff,"Shippo label backlog seems normal, but Backblaze sync flagged 4 incomplete on my end.",2026-10-09T17:00:00.000Z,false
dm_7c2b3a16ad,CH_PRINT_STORE_TIPS,D_U_OMAR,omar_kitchen,"Stocksy vs Squarespace storefront for print, anyone benchmarked?",2026-10-10T01:00:00.000Z,false
dm_22aedad604,CH_PRINT_STORE_TIPS,D_U_DEE,dee_market,Print run for Brooklyn Grange harvest series sold out in 36 hours.,2026-10-10T09:00:00.000Z,false
dm_fcda00b854,CH_PRINT_STORE_TIPS,D_U_RIN,rinbaker,"Storefront archive cleanup mid October, anyone going through inventory?",2026-10-10T17:00:00.000Z,false
dm_caa2702601,CH_PRINT_STORE_TIPS,D_U_BEN,ben_brunch,Vendor portal logins all need rotation this month.,2026-10-11T01:00:00.000Z,false
dm_bda44763e9,CH_WEEKLY_ROUNDUP,D_U_HANK,hank_lensman,"Weekly roundup posts welcome here. Format: at-risk, shipped, on-deck.",2026-10-01T21:00:00.000Z,false
dm_4fbfc7dd29,CH_WEEKLY_ROUNDUP,D_U_YUKI,yukitanabe,"Veterans, please tag posts so newcomers can sort.",2026-10-02T21:00:00.000Z,false
dm_3a7fda1dea,CH_WEEKLY_ROUNDUP,D_U_MAYA,mayasmith_food,Adding a one-line summary at the top helps quick scan.,2026-10-03T21:00:00.000Z,false
dm_8fdecf965e,CH_WEEKLY_ROUNDUP,D_U_LARS,larshoff,"Quiet week here, mostly cleanup and storefront resets.",2026-10-04T21:00:00.000Z,false
dm_899cab5b5e,CH_WEEKLY_ROUNDUP,D_U_OMAR,omar_kitchen,"Posted last week, link in the previous thread.",2026-10-05T21:00:00.000Z,false
dm_0b62139a68,CH_WEEKLY_ROUNDUP,D_U_SOFI,sofi_pasta,Threadable digests are easier to follow than single long posts.,2026-10-06T21:00:00.000Z,false
dm_802525a39b,CH_HELP,D_U_BEN,ben_brunch,"Stocksy gallery delivery URL keeps expiring early, any fix?",2026-10-09T18:00:00.000Z,false
dm_68520eb2a4,CH_HELP,D_U_YUKI,yukitanabe,Set the expiry to 30 days minimum and resend.,2026-10-09T23:00:00.000Z,false
dm_945e96b0fb,CH_HELP,D_U_KAI,kai_diner,"Capture One tether to Bridge Pro hand-off, anyone done it?",2026-10-10T04:00:00.000Z,false
dm_c73cde3c69,CH_HELP,D_U_DEE,dee_market,"Shippo label voids not propagating to Etsy order status, known bug?",2026-10-10T09:00:00.000Z,false
