sys_id,number,short_description,description,state,priority,risk,type,assigned_to,requested_by,start_date,end_date
chg00000000000000000000000000008rt,CHG0011008,Whiteboard install,Routine facilities change 8: Whiteboard install in Main Building.,Closed,3 - Moderate,Low,Normal,Facilities Coordinator,Talia Mensah,2026-09-09 00:00:00,2026-09-10 00:00:00
chg00000000000000000000000000009rt,CHG0011009,Server room UPS test,Routine facilities change 9: Server room UPS test in Science Wing.,Assess,3 - Moderate,Moderate,Standard,Facilities Coordinator,Maya Bauer,2026-09-10 00:00:00,2026-09-11 00:00:00
chg00000000000000000000000000010rt,CHG0011010,Projector lamp replacement,Routine facilities change 10: Projector lamp replacement in Arts Wing.,Implement,4 - Low,Low,Normal,Facilities Coordinator,Lucia Dupont,2026-09-11 00:00:00,2026-09-12 00:00:00
chg00000000000000000000000000011rt,CHG0011011,HVAC filter service,Routine facilities change 11: HVAC filter service in Gymnasium.,Implement,4 - Low,Low,Standard,Facilities Coordinator,Hiro Petrov,2026-09-12 00:00:00,2026-09-13 00:00:00
chg00000000000000000000000000012rt,CHG0011012,Door access re-key,Routine facilities change 12: Door access re-key in Portable A.,New,4 - Low,Moderate,Standard,Facilities Coordinator,Yuki Hernandez,2026-09-13 00:00:00,2026-09-14 00:00:00
chg00000000000000000000000000013rt,CHG0011013,Network switch reboot,Routine facilities change 13: Network switch reboot in Portable B.,New,4 - Low,Moderate,Normal,Facilities Coordinator,Leah Bello,2026-09-14 00:00:00,2026-09-15 00:00:00
chg00000000000000000000000000014rt,CHG0011014,Gym floor refinish,Routine facilities change 14: Gym floor refinish in Library Learning Commons.,Closed,3 - Moderate,Low,Standard,Facilities Coordinator,Wei Dupont,2026-09-15 00:00:00,2026-09-16 00:00:00
chg00000000000000000000000000015rt,CHG0011015,Parking lot line paint,Routine facilities change 15: Parking lot line paint in Main Office.,Implement,4 - Low,Moderate,Standard,Facilities Coordinator,Lucia Patel,2026-09-16 00:00:00,2026-09-17 00:00:00
chg00000000000000000000000000016rt,CHG0011016,Fire panel inspection,Routine facilities change 16: Fire panel inspection in Main Building.,New,4 - Low,Moderate,Standard,Facilities Coordinator,Olivia Rivera,2026-09-17 00:00:00,2026-09-18 00:00:00
chg00000000000000000000000000017rt,CHG0011017,Water fountain repair,Routine facilities change 17: Water fountain repair in Science Wing.,Review,3 - Moderate,Moderate,Normal,Facilities Coordinator,Liam Vasquez,2026-09-18 00:00:00,2026-09-19 00:00:00
chg00000000000000000000000000018rt,CHG0011018,Whiteboard install,Routine facilities change 18: Whiteboard install in Arts Wing.,New,4 - Low,Moderate,Normal,Facilities Coordinator,Bruno Park,2026-09-19 00:00:00,2026-09-20 00:00:00
chg00000000000000000000000000019rt,CHG0011019,Server room UPS test,Routine facilities change 19: Server room UPS test in Gymnasium.,Review,3 - Moderate,Low,Standard,Facilities Coordinator,Owen Costa,2026-09-20 00:00:00,2026-09-21 00:00:00
chg00000000000000000000000000020rt,CHG0011020,Projector lamp replacement,Routine facilities change 20: Projector lamp replacement in Portable A.,Implement,3 - Moderate,Low,Standard,Facilities Coordinator,Eduardo Santos,2026-09-21 00:00:00,2026-09-22 00:00:00
chg00000000000000000000000000021rt,CHG0011021,HVAC filter service,Routine facilities change 21: HVAC filter service in Portable B.,Assess,3 - Moderate,Low,Normal,Facilities Coordinator,Lucas Adeyemi,2026-09-22 00:00:00,2026-09-23 00:00:00
chg00000000000000000000000000022rt,CHG0011022,Door access re-key,Routine facilities change 22: Door access re-key in Library Learning Commons.,New,3 - Moderate,Moderate,Standard,Facilities Coordinator,Hassan Thompson,2026-09-23 00:00:00,2026-09-24 00:00:00
chg00000000000000000000000000023rt,CHG0011023,Network switch reboot,Routine facilities change 23: Network switch reboot in Main Office.,Implement,3 - Moderate,Low,Normal,Facilities Coordinator,Diego Wallace,2026-09-24 00:00:00,2026-09-25 00:00:00
chg00000000000000000000000000024rt,CHG0011024,Gym floor refinish,Routine facilities change 24: Gym floor refinish in Main Building.,Assess,3 - Moderate,Low,Standard,Facilities Coordinator,Emma Petrov,2026-09-25 00:00:00,2026-09-26 00:00:00
chg00000000000000000000000000025rt,CHG0011025,Parking lot line paint,Routine facilities change 25: Parking lot line paint in Science Wing.,Closed,4 - Low,Low,Normal,Facilities Coordinator,Talia Chen,2026-09-26 00:00:00,2026-09-27 00:00:00
chg00000000000000000000000000026rt,CHG0011026,Fire panel inspection,Routine facilities change 26: Fire panel inspection in Arts Wing.,Closed,4 - Low,Moderate,Standard,Facilities Coordinator,Lucia Serrano,2026-09-27 00:00:00,2026-09-28 00:00:00
chg00000000000000000000000000027rt,CHG0011027,Water fountain repair,Routine facilities change 27: Water fountain repair in Gymnasium.,Review,4 - Low,Low,Normal,Facilities Coordinator,Marcus Antoine,2026-09-28 00:00:00,2026-09-29 00:00:00
chg00000000000000000000000000028rt,CHG0011028,Whiteboard install,Routine facilities change 28: Whiteboard install in Portable A.,Closed,3 - Moderate,Low,Normal,Facilities Coordinator,Leah Dupont,2026-09-29 00:00:00,2026-09-30 00:00:00
chg00000000000000000000000000029rt,CHG0011029,Server room UPS test,Routine facilities change 29: Server room UPS test in Portable B.,Review,4 - Low,Moderate,Standard,Facilities Coordinator,Ethan Boateng,2026-09-30 00:00:00,2026-10-01 00:00:00
chg00000000000000000000000000030rt,CHG0011030,Projector lamp replacement,Routine facilities change 30: Projector lamp replacement in Library Learning Commons.,Review,4 - Low,Low,Normal,Facilities Coordinator,Diego Ivanov,2026-10-01 00:00:00,2026-10-02 00:00:00
chg00000000000000000000000000031rt,CHG0011031,HVAC filter service,Routine facilities change 31: HVAC filter service in Main Office.,New,3 - Moderate,Low,Standard,Facilities Coordinator,Lucia Dubois,2026-10-02 00:00:00,2026-10-03 00:00:00
chg00000000000000000000000000032rt,CHG0011032,Door access re-key,Routine facilities change 32: Door access re-key in Main Building.,Review,3 - Moderate,Moderate,Standard,Facilities Coordinator,James Silva,2026-10-03 00:00:00,2026-10-04 00:00:00
chg00000000000000000000000000033rt,CHG0011033,Network switch reboot,Routine facilities change 33: Network switch reboot in Science Wing.,New,4 - Low,Moderate,Standard,Facilities Coordinator,Nina Wallace,2026-10-04 00:00:00,2026-10-05 00:00:00
chg00000000000000000000000000034rt,CHG0011034,Gym floor refinish,Routine facilities change 34: Gym floor refinish in Arts Wing.,Assess,3 - Moderate,Low,Standard,Facilities Coordinator,Ravi Adeyemi,2026-10-05 00:00:00,2026-10-06 00:00:00
chg00000000000000000000000000035rt,CHG0011035,Parking lot line paint,Routine facilities change 35: Parking lot line paint in Gymnasium.,Assess,3 - Moderate,Moderate,Standard,Facilities Coordinator,Lucas Patel,2026-10-06 00:00:00,2026-10-07 00:00:00
chg00000000000000000000000000036rt,CHG0011036,Fire panel inspection,Routine facilities change 36: Fire panel inspection in Portable A.,Closed,3 - Moderate,Low,Standard,Facilities Coordinator,Daniel Mbeki,2026-10-07 00:00:00,2026-10-08 00:00:00
chg00000000000000000000000000037rt,CHG0011037,Water fountain repair,Routine facilities change 37: Water fountain repair in Portable B.,Implement,4 - Low,Low,Standard,Facilities Coordinator,Elena Thompson,2026-10-08 00:00:00,2026-10-09 00:00:00
chg00000000000000000000000000038rt,CHG0011038,Whiteboard install,Routine facilities change 38: Whiteboard install in Library Learning Commons.,Review,3 - Moderate,Moderate,Standard,Facilities Coordinator,Kofi Santos,2026-10-09 00:00:00,2026-10-10 00:00:00
chg00000000000000000000000000039rt,CHG0011039,Server room UPS test,Routine facilities change 39: Server room UPS test in Main Office.,Implement,3 - Moderate,Low,Standard,Facilities Coordinator,Tariq Fernandez,2026-10-10 00:00:00,2026-10-11 00:00:00
chg00000000000000000000000000040rt,CHG0011040,Projector lamp replacement,Routine facilities change 40: Projector lamp replacement in Main Building.,Implement,3 - Moderate,Moderate,Standard,Facilities Coordinator,Diego Haddad,2026-10-11 00:00:00,2026-10-12 00:00:00
chg00000000000000000000000000041rt,CHG0011041,HVAC filter service,Routine facilities change 41: HVAC filter service in Science Wing.,New,3 - Moderate,Moderate,Standard,Facilities Coordinator,Lena Ali,2026-10-12 00:00:00,2026-10-13 00:00:00
chg00000000000000000000000000042rt,CHG0011042,Door access re-key,Routine facilities change 42: Door access re-key in Arts Wing.,Implement,4 - Low,Low,Standard,Facilities Coordinator,Ingrid Bauer,2026-10-13 00:00:00,2026-10-14 00:00:00
chg00000000000000000000000000043rt,CHG0011043,Network switch reboot,Routine facilities change 43: Network switch reboot in Gymnasium.,Implement,4 - Low,Moderate,Normal,Facilities Coordinator,Grace Osei,2026-10-14 00:00:00,2026-10-15 00:00:00
chg00000000000000000000000000044rt,CHG0011044,Gym floor refinish,Routine facilities change 44: Gym floor refinish in Portable A.,Closed,3 - Moderate,Moderate,Standard,Facilities Coordinator,Sofia Bello,2026-10-15 00:00:00,2026-10-16 00:00:00
chg00000000000000000000000000045rt,CHG0011045,Parking lot line paint,Routine facilities change 45: Parking lot line paint in Portable B.,Implement,4 - Low,Low,Standard,Facilities Coordinator,Bianca Petrov,2026-10-16 00:00:00,2026-10-17 00:00:00
chg00000000000000000000000000046rt,CHG0011046,Fire panel inspection,Routine facilities change 46: Fire panel inspection in Library Learning Commons.,Closed,3 - Moderate,Moderate,Standard,Facilities Coordinator,Hassan Sharma,2026-10-17 00:00:00,2026-10-18 00:00:00
chg00000000000000000000000000047rt,CHG0011047,Water fountain repair,Routine facilities change 47: Water fountain repair in Main Office.,Review,3 - Moderate,Low,Normal,Facilities Coordinator,Leah Ahmed,2026-10-18 00:00:00,2026-10-19 00:00:00
chg00000000000000000000000000048rt,CHG0011048,Whiteboard install,Routine facilities change 48: Whiteboard install in Main Building.,Implement,4 - Low,Moderate,Standard,Facilities Coordinator,Diego Nguyen,2026-10-19 00:00:00,2026-10-20 00:00:00
chg00000000000000000000000000049rt,CHG0011049,Server room UPS test,Routine facilities change 49: Server room UPS test in Science Wing.,Review,4 - Low,Low,Normal,Facilities Coordinator,Ava Vidal,2026-10-20 00:00:00,2026-10-21 00:00:00
chg00000000000000000000000000050rt,CHG0011050,Projector lamp replacement,Routine facilities change 50: Projector lamp replacement in Arts Wing.,Closed,4 - Low,Low,Normal,Facilities Coordinator,Lena Hernandez,2026-10-21 00:00:00,2026-10-22 00:00:00
chg00000000000000000000000000051rt,CHG0011051,HVAC filter service,Routine facilities change 51: HVAC filter service in Gymnasium.,Implement,3 - Moderate,Moderate,Normal,Facilities Coordinator,Lucia Mbeki,2026-10-22 00:00:00,2026-10-23 00:00:00
chg00000000000000000000000000052rt,CHG0011052,Door access re-key,Routine facilities change 52: Door access re-key in Portable A.,New,4 - Low,Moderate,Standard,Facilities Coordinator,Kwame Haddad,2026-10-23 00:00:00,2026-10-24 00:00:00
chg00000000000000000000000000053rt,CHG0011053,Network switch reboot,Routine facilities change 53: Network switch reboot in Portable B.,Assess,4 - Low,Low,Normal,Facilities Coordinator,Carlos Santos,2026-10-24 00:00:00,2026-10-25 00:00:00
chg00000000000000000000000000054rt,CHG0011054,Gym floor refinish,Routine facilities change 54: Gym floor refinish in Library Learning Commons.,Implement,4 - Low,Low,Normal,Facilities Coordinator,Kofi Bauer,2026-10-25 00:00:00,2026-10-26 00:00:00
chg00000000000000000000000000055rt,CHG0011055,Parking lot line paint,Routine facilities change 55: Parking lot line paint in Main Office.,Closed,4 - Low,Low,Normal,Facilities Coordinator,Nadia Fernandez,2026-10-26 00:00:00,2026-10-27 00:00:00
chg00000000000000000000000000056rt,CHG0011056,Fire panel inspection,Routine facilities change 56: Fire panel inspection in Main Building.,Assess,3 - Moderate,Moderate,Standard,Facilities Coordinator,Idris Bianchi,2026-10-27 00:00:00,2026-10-28 00:00:00
chg00000000000000000000000000057rt,CHG0011057,Water fountain repair,Routine facilities change 57: Water fountain repair in Science Wing.,Review,3 - Moderate,Moderate,Standard,Facilities Coordinator,Nadia Yamada,2026-10-28 00:00:00,2026-10-29 00:00:00
chg00000000000000000000000000058rt,CHG0011058,Whiteboard install,Routine facilities change 58: Whiteboard install in Arts Wing.,New,3 - Moderate,Moderate,Standard,Facilities Coordinator,Chloe Vidal,2026-10-29 00:00:00,2026-10-30 00:00:00
chg00000000000000000000000000059rt,CHG0011059,Server room UPS test,Routine facilities change 59: Server room UPS test in Gymnasium.,Implement,4 - Low,Moderate,Standard,Facilities Coordinator,Sam Hernandez,2026-10-30 00:00:00,2026-10-31 00:00:00
chg00000000000000000000000000060rt,CHG0011060,Projector lamp replacement,Routine facilities change 60: Projector lamp replacement in Portable A.,Assess,4 - Low,Moderate,Standard,Facilities Coordinator,Lucas Park,2026-10-31 00:00:00,2026-11-01 00:00:00
chg00000000000000000000000000061rt,CHG0011061,HVAC filter service,Routine facilities change 61: HVAC filter service in Portable B.,Closed,4 - Low,Moderate,Standard,Facilities Coordinator,Bianca Cohen,2026-11-01 00:00:00,2026-11-02 00:00:00
chg00000000000000000000000000062rt,CHG0011062,Door access re-key,Routine facilities change 62: Door access re-key in Library Learning Commons.,New,3 - Moderate,Low,Standard,Facilities Coordinator,James Sullivan,2026-11-02 00:00:00,2026-11-03 00:00:00
chg00000000000000000000000000063rt,CHG0011063,Network switch reboot,Routine facilities change 63: Network switch reboot in Main Office.,Closed,4 - Low,Moderate,Normal,Facilities Coordinator,Kwame Lindqvist,2026-11-03 00:00:00,2026-11-04 00:00:00
chg00000000000000000000000000064rt,CHG0011064,Gym floor refinish,Routine facilities change 64: Gym floor refinish in Main Building.,Implement,3 - Moderate,Low,Normal,Facilities Coordinator,Kofi Yamada,2026-11-04 00:00:00,2026-11-05 00:00:00
chg00000000000000000000000000065rt,CHG0011065,Parking lot line paint,Routine facilities change 65: Parking lot line paint in Science Wing.,Closed,4 - Low,Low,Normal,Facilities Coordinator,Liam Novak,2026-11-05 00:00:00,2026-11-06 00:00:00
chg00000000000000000000000000066rt,CHG0011066,Fire panel inspection,Routine facilities change 66: Fire panel inspection in Arts Wing.,Closed,3 - Moderate,Low,Standard,Facilities Coordinator,Isabella Nguyen,2026-11-06 00:00:00,2026-11-07 00:00:00
chg00000000000000000000000000067rt,CHG0011067,Water fountain repair,Routine facilities change 67: Water fountain repair in Gymnasium.,Implement,3 - Moderate,Moderate,Normal,Facilities Coordinator,Fatima Murphy,2026-11-07 00:00:00,2026-11-08 00:00:00
chg00000000000000000000000000068rt,CHG0011068,Whiteboard install,Routine facilities change 68: Whiteboard install in Portable A.,Implement,4 - Low,Low,Normal,Facilities Coordinator,Eduardo Osei,2026-11-08 00:00:00,2026-11-09 00:00:00
chg00000000000000000000000000069rt,CHG0011069,Server room UPS test,Routine facilities change 69: Server room UPS test in Portable B.,Review,3 - Moderate,Moderate,Standard,Facilities Coordinator,Aisha Rossi,2026-11-09 00:00:00,2026-11-10 00:00:00
chg00000000000000000000000000070rt,CHG0011070,Projector lamp replacement,Routine facilities change 70: Projector lamp replacement in Library Learning Commons.,Assess,4 - Low,Low,Normal,Facilities Coordinator,Simon Lindqvist,2026-11-10 00:00:00,2026-11-11 00:00:00
chg00000000000000000000000000071rt,CHG0011071,HVAC filter service,Routine facilities change 71: HVAC filter service in Main Office.,Review,4 - Low,Low,Normal,Facilities Coordinator,Tariq Serrano,2026-11-11 00:00:00,2026-11-12 00:00:00
chg00000000000000000000000000072rt,CHG0011072,Door access re-key,Routine facilities change 72: Door access re-key in Main Building.,Assess,4 - Low,Low,Normal,Facilities Coordinator,Wei Haddad,2026-11-12 00:00:00,2026-11-13 00:00:00
chg00000000000000000000000000073rt,CHG0011073,Network switch reboot,Routine facilities change 73: Network switch reboot in Science Wing.,Implement,3 - Moderate,Low,Normal,Facilities Coordinator,Leah Adeyemi,2026-11-13 00:00:00,2026-11-14 00:00:00
chg00000000000000000000000000074rt,CHG0011074,Gym floor refinish,Routine facilities change 74: Gym floor refinish in Arts Wing.,Review,3 - Moderate,Moderate,Standard,Facilities Coordinator,Kwame Bello,2026-11-14 00:00:00,2026-11-15 00:00:00
chg00000000000000000000000000075rt,CHG0011075,Parking lot line paint,Routine facilities change 75: Parking lot line paint in Gymnasium.,Assess,3 - Moderate,Moderate,Standard,Facilities Coordinator,Marcus Fernandez,2026-11-15 00:00:00,2026-11-16 00:00:00
chg00000000000000000000000000076rt,CHG0011076,Fire panel inspection,Routine facilities change 76: Fire panel inspection in Portable A.,Review,3 - Moderate,Moderate,Normal,Facilities Coordinator,Reza Murphy,2026-11-16 00:00:00,2026-11-17 00:00:00
chg00000000000000000000000000077rt,CHG0011077,Water fountain repair,Routine facilities change 77: Water fountain repair in Portable B.,Implement,4 - Low,Moderate,Standard,Facilities Coordinator,Bruno Santos,2026-11-17 00:00:00,2026-11-18 00:00:00
chg00000000000000000000000000078rt,CHG0011078,Whiteboard install,Routine facilities change 78: Whiteboard install in Library Learning Commons.,Closed,4 - Low,Moderate,Standard,Facilities Coordinator,Victor Yamada,2026-11-18 00:00:00,2026-11-19 00:00:00
chg00000000000000000000000000079rt,CHG0011079,Server room UPS test,Routine facilities change 79: Server room UPS test in Main Office.,New,4 - Low,Moderate,Standard,Facilities Coordinator,Aisha Santos,2026-11-19 00:00:00,2026-11-20 00:00:00
chg00000000000000000000000000080rt,CHG0011080,Projector lamp replacement,Routine facilities change 80: Projector lamp replacement in Main Building.,New,4 - Low,Moderate,Normal,Facilities Coordinator,Ingrid Bianchi,2026-11-20 00:00:00,2026-11-21 00:00:00
chg00000000000000000000000000081rt,CHG0011081,HVAC filter service,Routine facilities change 81: HVAC filter service in Science Wing.,Closed,4 - Low,Moderate,Normal,Facilities Coordinator,Aisha Zhang,2026-11-21 00:00:00,2026-11-22 00:00:00
chg00000000000000000000000000082rt,CHG0011082,Door access re-key,Routine facilities change 82: Door access re-key in Arts Wing.,Closed,4 - Low,Low,Standard,Facilities Coordinator,James Ali,2026-11-22 00:00:00,2026-11-23 00:00:00
chg00000000000000000000000000083rt,CHG0011083,Network switch reboot,Routine facilities change 83: Network switch reboot in Gymnasium.,Review,4 - Low,Low,Normal,Facilities Coordinator,Marisol Yamada,2026-11-23 00:00:00,2026-11-24 00:00:00
chg00000000000000000000000000084rt,CHG0011084,Gym floor refinish,Routine facilities change 84: Gym floor refinish in Portable A.,Closed,4 - Low,Moderate,Standard,Facilities Coordinator,Tariq Kowalski,2026-11-24 00:00:00,2026-11-25 00:00:00
chg00000000000000000000000000085rt,CHG0011085,Parking lot line paint,Routine facilities change 85: Parking lot line paint in Portable B.,Assess,3 - Moderate,Low,Standard,Facilities Coordinator,Fatima Santos,2026-11-25 00:00:00,2026-11-26 00:00:00
chg00000000000000000000000000086rt,CHG0011086,Fire panel inspection,Routine facilities change 86: Fire panel inspection in Library Learning Commons.,Assess,4 - Low,Moderate,Standard,Facilities Coordinator,Wei Park,2026-11-26 00:00:00,2026-11-27 00:00:00
chg00000000000000000000000000087rt,CHG0011087,Water fountain repair,Routine facilities change 87: Water fountain repair in Main Office.,Closed,4 - Low,Moderate,Standard,Facilities Coordinator,Diego Tremblay,2026-11-27 00:00:00,2026-11-28 00:00:00
chg00000000000000000000000000088rt,CHG0011088,Whiteboard install,Routine facilities change 88: Whiteboard install in Main Building.,Assess,3 - Moderate,Moderate,Normal,Facilities Coordinator,Lucia Serrano,2026-11-28 00:00:00,2026-11-29 00:00:00
chg00000000000000000000000000089rt,CHG0011089,Server room UPS test,Routine facilities change 89: Server room UPS test in Science Wing.,Closed,4 - Low,Moderate,Standard,Facilities Coordinator,Grace Vidal,2026-11-29 00:00:00,2026-11-30 00:00:00
chg00000000000000000000000000090rt,CHG0011090,Projector lamp replacement,Routine facilities change 90: Projector lamp replacement in Arts Wing.,New,3 - Moderate,Low,Standard,Facilities Coordinator,Simon Osei,2026-11-30 00:00:00,2026-12-01 00:00:00
chg00000000000000000000000000091rt,CHG0011091,HVAC filter service,Routine facilities change 91: HVAC filter service in Gymnasium.,New,4 - Low,Low,Standard,Facilities Coordinator,Simon Vasquez,2026-12-01 00:00:00,2026-12-02 00:00:00
chg00000000000000000000000000092rt,CHG0011092,Door access re-key,Routine facilities change 92: Door access re-key in Portable A.,Assess,4 - Low,Moderate,Standard,Facilities Coordinator,Lena Bauer,2026-12-02 00:00:00,2026-12-03 00:00:00
chg00000000000000000000000000093rt,CHG0011093,Network switch reboot,Routine facilities change 93: Network switch reboot in Portable B.,Closed,3 - Moderate,Low,Normal,Facilities Coordinator,Lucas Rivera,2026-12-03 00:00:00,2026-12-04 00:00:00
chg00000000000000000000000000094rt,CHG0011094,Gym floor refinish,Routine facilities change 94: Gym floor refinish in Library Learning Commons.,Assess,3 - Moderate,Moderate,Normal,Facilities Coordinator,Mateo Dubois,2026-12-04 00:00:00,2026-12-05 00:00:00
chg00000000000000000000000000095rt,CHG0011095,Parking lot line paint,Routine facilities change 95: Parking lot line paint in Main Office.,Review,3 - Moderate,Low,Standard,Facilities Coordinator,Owen Bianchi,2026-12-05 00:00:00,2026-12-06 00:00:00
chg00000000000000000000000000096rt,CHG0011096,Fire panel inspection,Routine facilities change 96: Fire panel inspection in Main Building.,Assess,3 - Moderate,Low,Normal,Facilities Coordinator,Farah Yamada,2026-12-06 00:00:00,2026-12-07 00:00:00
chg00000000000000000000000000097rt,CHG0011097,Water fountain repair,Routine facilities change 97: Water fountain repair in Science Wing.,Review,3 - Moderate,Low,Normal,Facilities Coordinator,Grace Serrano,2026-12-07 00:00:00,2026-12-08 00:00:00
chg00000000000000000000000000098rt,CHG0011098,Whiteboard install,Routine facilities change 98: Whiteboard install in Arts Wing.,Implement,4 - Low,Low,Normal,Facilities Coordinator,Ravi Osei,2026-12-08 00:00:00,2026-12-09 00:00:00
chg00000000000000000000000000099rt,CHG0011099,Server room UPS test,Routine facilities change 99: Server room UPS test in Gymnasium.,Implement,4 - Low,Moderate,Standard,Facilities Coordinator,Grace Larsson,2026-12-09 00:00:00,2026-12-10 00:00:00
chg00000000000000000000000000100rt,CHG0011100,Projector lamp replacement,Routine facilities change 100: Projector lamp replacement in Portable A.,New,3 - Moderate,Low,Standard,Facilities Coordinator,Hassan Okonkwo,2026-12-10 00:00:00,2026-12-11 00:00:00
chg00000000000000000000000000101rt,CHG0011101,HVAC filter service,Routine facilities change 101: HVAC filter service in Portable B.,Assess,3 - Moderate,Moderate,Normal,Facilities Coordinator,Kwame Kowalski,2026-12-11 00:00:00,2026-12-12 00:00:00
chg00000000000000000000000000102rt,CHG0011102,Door access re-key,Routine facilities change 102: Door access re-key in Library Learning Commons.,Closed,3 - Moderate,Moderate,Normal,Facilities Coordinator,Priya Cohen,2026-12-12 00:00:00,2026-12-13 00:00:00
chg00000000000000000000000000103rt,CHG0011103,Network switch reboot,Routine facilities change 103: Network switch reboot in Main Office.,Review,3 - Moderate,Low,Standard,Facilities Coordinator,Mateo Vidal,2026-12-13 00:00:00,2026-12-14 00:00:00
chg00000000000000000000000000104rt,CHG0011104,Gym floor refinish,Routine facilities change 104: Gym floor refinish in Main Building.,Closed,4 - Low,Low,Normal,Facilities Coordinator,Nadia Chen,2026-12-14 00:00:00,2026-12-15 00:00:00
chg00000000000000000000000000105rt,CHG0011105,Parking lot line paint,Routine facilities change 105: Parking lot line paint in Science Wing.,Review,3 - Moderate,Low,Standard,Facilities Coordinator,Fatima Osei,2026-12-15 00:00:00,2026-12-16 00:00:00
chg00000000000000000000000000106rt,CHG0011106,Fire panel inspection,Routine facilities change 106: Fire panel inspection in Arts Wing.,Closed,4 - Low,Low,Standard,Facilities Coordinator,Rosa Reyes,2026-12-16 00:00:00,2026-12-17 00:00:00
chg00000000000000000000000000107rt,CHG0011107,Water fountain repair,Routine facilities change 107: Water fountain repair in Gymnasium.,Review,4 - Low,Moderate,Normal,Facilities Coordinator,Owen Vidal,2026-12-17 00:00:00,2026-12-18 00:00:00
chg00000000000000000000000000108rt,CHG0011108,Whiteboard install,Routine facilities change 108: Whiteboard install in Portable A.,Assess,3 - Moderate,Moderate,Standard,Facilities Coordinator,Jayden Antoine,2026-12-18 00:00:00,2026-12-19 00:00:00
chg00000000000000000000000000109rt,CHG0011109,Server room UPS test,Routine facilities change 109: Server room UPS test in Portable B.,Closed,4 - Low,Low,Standard,Facilities Coordinator,Noah Boateng,2026-12-19 00:00:00,2026-12-20 00:00:00
chg00000000000000000000000000110rt,CHG0011110,Projector lamp replacement,Routine facilities change 110: Projector lamp replacement in Library Learning Commons.,Implement,3 - Moderate,Moderate,Standard,Facilities Coordinator,Victor Hernandez,2026-12-20 00:00:00,2026-12-21 00:00:00
chg00000000000000000000000000111rt,CHG0011111,HVAC filter service,Routine facilities change 111: HVAC filter service in Main Office.,Implement,3 - Moderate,Moderate,Standard,Facilities Coordinator,Talia Petrov,2026-12-21 00:00:00,2026-12-22 00:00:00
chg00000000000000000000000000112rt,CHG0011112,Door access re-key,Routine facilities change 112: Door access re-key in Main Building.,Implement,4 - Low,Low,Standard,Facilities Coordinator,Talia Haddad,2026-12-22 00:00:00,2026-12-23 00:00:00
chg00000000000000000000000000113rt,CHG0011113,Network switch reboot,Routine facilities change 113: Network switch reboot in Science Wing.,New,4 - Low,Moderate,Normal,Facilities Coordinator,Omar Antoine,2026-12-23 00:00:00,2026-12-24 00:00:00
