id,customer,amount,currency,status,paid,refunded,amount_refunded,description,payment_intent,created
ch_bg_142,cus_bg_142,53601,usd,succeeded,true,false,0,Copay - Mazda 3 rear quarter panel repair,pi_bg_142,1688302400
ch_bg_143,cus_bg_143,49754,usd,succeeded,true,false,0,Copay - BMW 3 Series windshield trim repaint,pi_bg_143,1688309600
ch_bg_144,cus_bg_144,38014,usd,succeeded,true,false,0,Copay - Honda CR-V wheel arch rust repair,pi_bg_144,1688316800
ch_bg_145,cus_bg_145,39737,usd,succeeded,true,false,0,Copay - Dodge Ram full color-match paint,pi_bg_145,1688324000
ch_bg_146,cus_bg_146,17128,usd,succeeded,true,false,0,Copay - Mazda 3 hood replacement and paint,pi_bg_146,1688331200
ch_bg_147,cus_bg_147,46222,usd,succeeded,true,false,0,Copay - Subaru Forester dent removal and blend,pi_bg_147,1688338400
ch_bg_148,cus_bg_148,16325,usd,succeeded,true,false,0,Copay - Honda Accord scratch repair and touch-up,pi_bg_148,1688345600
ch_bg_149,cus_bg_149,50208,usd,succeeded,true,false,0,Copay - Toyota Corolla clearcoat restoration,pi_bg_149,1688352800
ch_bg_150,cus_bg_150,20223,usd,succeeded,true,false,0,Copay - Acura MDX front bumper respray,pi_bg_150,1688360000
ch_bg_151,cus_bg_151,39255,usd,succeeded,true,false,0,Copay - Audi A4 clearcoat restoration,pi_bg_151,1688367200
ch_bg_152,cus_bg_152,47499,usd,succeeded,true,false,0,Copay - Mazda 3 side mirror replacement,pi_bg_152,1688374400
ch_bg_153,cus_bg_153,30520,usd,succeeded,true,false,0,Copay - Nissan Rogue side mirror replacement,pi_bg_153,1688381600
ch_bg_154,cus_bg_154,21170,usd,succeeded,true,false,0,Copay - Ford Fusion fender bender collision repair,pi_bg_154,1688388800
ch_bg_155,cus_bg_155,33836,usd,succeeded,true,false,0,Copay - Toyota Camry side mirror replacement,pi_bg_155,1688396000
ch_bg_156,cus_bg_156,38704,usd,succeeded,true,false,0,Copay - Hyundai Sonata door ding buff-out,pi_bg_156,1688403200
ch_bg_157,cus_bg_157,48699,usd,succeeded,true,false,0,Copay - BMW 3 Series clearcoat restoration,pi_bg_157,1688410400
ch_bg_158,cus_bg_158,17452,usd,succeeded,true,false,0,Copay - Acura MDX wheel arch rust repair,pi_bg_158,1688417600
ch_bg_159,cus_bg_159,54248,usd,succeeded,true,false,0,Copay - Ford Escape clearcoat restoration,pi_bg_159,1688424800
ch_bg_160,cus_bg_160,42012,usd,succeeded,true,false,0,Copay - Dodge Ram headlight assembly swap,pi_bg_160,1688432000
ch_bg_161,cus_bg_161,43399,usd,succeeded,true,false,0,Copay - Jeep Wrangler rear quarter panel repair,pi_bg_161,1688439200
ch_bg_162,cus_bg_162,30732,usd,succeeded,true,false,0,Copay - Toyota Camry fender bender collision repair,pi_bg_162,1688446400
ch_bg_163,cus_bg_163,34024,usd,succeeded,true,false,0,Copay - Nissan Altima side mirror replacement,pi_bg_163,1688453600
ch_bg_164,cus_bg_164,48067,usd,succeeded,true,false,0,Copay - Subaru Outback headlight assembly swap,pi_bg_164,1688460800
ch_bg_165,cus_bg_165,41338,usd,succeeded,true,false,0,Copay - Toyota Corolla headlight assembly swap,pi_bg_165,1688468000
ch_bg_166,cus_bg_166,54457,usd,succeeded,true,false,0,Copay - Honda Civic rear quarter panel repair,pi_bg_166,1688475200
ch_bg_167,cus_bg_167,22970,usd,succeeded,true,false,0,Copay - Subaru Outback clearcoat restoration,pi_bg_167,1688482400
ch_bg_168,cus_bg_168,29045,usd,succeeded,true,false,0,Copay - Mazda 3 dent removal and blend,pi_bg_168,1688489600
ch_bg_169,cus_bg_169,35447,usd,succeeded,true,false,0,Copay - Ford Fusion rear quarter panel repair,pi_bg_169,1688496800
ch_bg_170,cus_bg_170,14240,usd,succeeded,true,false,0,Copay - VW Jetta tailgate alignment,pi_bg_170,1688504000
ch_bg_171,cus_bg_171,54278,usd,succeeded,true,false,0,Copay - Ford Fusion hood replacement and paint,pi_bg_171,1688511200
ch_bg_172,cus_bg_172,50304,usd,succeeded,true,false,0,Copay - Dodge Ram tailgate alignment,pi_bg_172,1688518400
ch_bg_173,cus_bg_173,36006,usd,succeeded,true,false,0,Copay - Kia Sorento headlight assembly swap,pi_bg_173,1688525600
ch_bg_174,cus_bg_174,49056,usd,succeeded,true,false,0,Copay - Nissan Rogue insurance estimate repair,pi_bg_174,1688532800
ch_bg_175,cus_bg_175,43002,usd,succeeded,true,false,0,Copay - Hyundai Sonata headlight assembly swap,pi_bg_175,1688540000
ch_bg_176,cus_bg_176,30262,usd,succeeded,true,false,0,Copay - Ford Fusion fender bender collision repair,pi_bg_176,1688547200
ch_bg_177,cus_bg_177,43478,usd,succeeded,true,false,0,Copay - Audi A4 windshield trim repaint,pi_bg_177,1688554400
ch_bg_178,cus_bg_178,32523,usd,succeeded,true,false,0,Copay - Subaru Forester windshield trim repaint,pi_bg_178,1688561600
ch_bg_179,cus_bg_179,49631,usd,succeeded,true,false,0,Copay - Jeep Wrangler fender bender collision repair,pi_bg_179,1688568800
ch_bg_180,cus_bg_180,47489,usd,succeeded,true,false,0,Copay - Nissan Rogue hood replacement and paint,pi_bg_180,1688576000
ch_bg_181,cus_bg_181,14517,usd,succeeded,true,false,0,Copay - Ford Fusion clearcoat restoration,pi_bg_181,1688583200
ch_bg_182,cus_bg_182,41562,usd,succeeded,true,false,0,Copay - Subaru Forester dent removal and blend,pi_bg_182,1688590400
ch_bg_183,cus_bg_183,14011,usd,succeeded,true,false,0,Copay - Lexus RX full color-match paint,pi_bg_183,1688597600
ch_bg_184,cus_bg_184,50854,usd,succeeded,true,false,0,Copay - Subaru Forester scratch repair and touch-up,pi_bg_184,1688604800
ch_bg_185,cus_bg_185,51441,usd,succeeded,true,false,0,Copay - Honda CR-V insurance estimate repair,pi_bg_185,1688612000
ch_bg_186,cus_bg_186,45067,usd,succeeded,true,false,0,Copay - Toyota Camry hood replacement and paint,pi_bg_186,1688619200
ch_bg_187,cus_bg_187,14850,usd,succeeded,true,false,0,Copay - Subaru Outback rear quarter panel repair,pi_bg_187,1688626400
ch_bg_188,cus_bg_188,16883,usd,succeeded,true,false,0,Copay - Honda Accord wheel arch rust repair,pi_bg_188,1688633600
ch_bg_189,cus_bg_189,47891,usd,succeeded,true,false,0,Copay - Subaru Outback fender bender collision repair,pi_bg_189,1688640800
