"sys_id","number","short_description","description","state","priority","risk","type","assigned_to","requested_by","start_date","end_date"
"89a270a247a014a96b1a80c993abc45f","CHG0010001","Update approval matrix thresholds","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Closed","3 - Moderate","Moderate","Normal","henrik.bjork","eva.holm","2026-10-16T09:00:00Z","2026-10-16T16:00:00Z"
"814a570c0d6eb296b716807789e094bf","CHG0010014","Migrate vendor master schema","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Authorize","4 - Low","Low","Emergency","emma.bjork","maria.pettersson","2026-11-17T09:00:00Z","2026-11-17T21:00:00Z"
"88af68e89da37182cc6209d9c61c5e6a","CHG0010015","Enable dual approval on payments","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Closed","2 - High","High","Standard","sara.bjork","sara.bjork","2026-12-02T09:00:00Z","2026-12-02T17:00:00Z"
"da7edfd261cc60398e011596f8b2b69c","CHG0010016","Patch payroll interface","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Scheduled","3 - Moderate","Moderate","Normal","henrik.bjork","eva.holm","2026-09-24T09:00:00Z","2026-09-24T16:00:00Z"
"8f74c3f51bf84ff5a98f7665a186cce5","CHG0010017","Refresh reporting warehouse","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Assess","4 - Low","Low","Emergency","filip.bjork","sofia.pettersson","2026-11-04T09:00:00Z","2026-11-04T14:00:00Z"
"1eb74c88a57c82dcfc49334f93dcfd94","CHG0010018","Tighten access certification job","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Implement","2 - High","High","Standard","jonas.bjork","henrik.bjork","2026-11-23T09:00:00Z","2026-11-23T21:00:00Z"
"9f83400fee4dc1778c7d28e24876ae5f","CHG0010019","Upgrade bank-feed connector","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Scheduled","3 - Moderate","Moderate","Normal","emma.bjork","viktor.holm","2026-11-23T09:00:00Z","2026-11-23T16:00:00Z"
"2588c81309c674267d140a7e2dbe374a","CHG0010020","Deploy GL month-end patch","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Authorize","4 - Low","Low","Emergency","sara.bjork","daniel.pettersson","2026-11-06T09:00:00Z","2026-11-06T11:00:00Z"
"99946e747abf9ea7acbad7b89b236d75","CHG0010021","Update approval matrix thresholds","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Review","2 - High","High","Standard","henrik.bjork","filip.bjork","2026-10-10T09:00:00Z","2026-10-10T12:00:00Z"
"02d2e61d987a1641754805e01a4ad25c","CHG0010022","Rotate service account keys","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Implement","3 - Moderate","Moderate","Normal","filip.bjork","lucas.holm","2026-10-22T09:00:00Z","2026-10-22T19:00:00Z"
"08c443cd20b51bb163bf02c84bd8de1d","CHG0010023","Add SoD control rule","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Assess","4 - Low","Low","Emergency","jonas.bjork","emil.pettersson","2026-09-26T09:00:00Z","2026-09-26T16:00:00Z"
"4518ae59b9bb4c7296fde5bd5939b781","CHG0010024","Migrate vendor master schema","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Implement","2 - High","High","Standard","emma.bjork","jonas.bjork","2026-11-10T09:00:00Z","2026-11-10T19:00:00Z"
"de994b9c231950e91182ddb534c102c9","CHG0010025","Enable dual approval on payments","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Implement","3 - Moderate","Moderate","Normal","sara.bjork","rasmus.holm","2026-10-22T09:00:00Z","2026-10-22T11:00:00Z"
"264367e90c0fbe049b7ebbee41c10d13","CHG0010026","Patch payroll interface","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Closed","4 - Low","Low","Emergency","henrik.bjork","vidar.pettersson","2026-10-21T09:00:00Z","2026-10-21T18:00:00Z"
"663ca2a59a22f8f555d40d29efddcfcf","CHG0010027","Refresh reporting warehouse","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Closed","2 - High","High","Standard","filip.bjork","emma.bjork","2026-10-18T09:00:00Z","2026-10-18T15:00:00Z"
"244e0f8acdb9b93bf76438fe4b2c66b8","CHG0010028","Tighten access certification job","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Scheduled","3 - Moderate","Moderate","Normal","jonas.bjork","karin.holm","2026-10-15T09:00:00Z","2026-10-15T15:00:00Z"
"7b3c6c62d1861e666328c6ed6fc08876","CHG0010029","Upgrade bank-feed connector","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Implement","4 - Low","Low","Emergency","emma.bjork","maria.pettersson","2026-09-16T09:00:00Z","2026-09-16T12:00:00Z"
"45508dfbaf10eefbeaf23a79a5938c3f","CHG0010030","Deploy GL month-end patch","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Implement","2 - High","High","Standard","sara.bjork","sara.bjork","2026-11-12T09:00:00Z","2026-11-12T19:00:00Z"
"aebab308daf4c346b6111ef91457e7e7","CHG0010031","Update approval matrix thresholds","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Review","3 - Moderate","Moderate","Normal","henrik.bjork","eva.holm","2026-12-13T09:00:00Z","2026-12-13T15:00:00Z"
"096c5c65d7d0de5e17a7fbc9aa5067eb","CHG0010032","Rotate service account keys","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Authorize","4 - Low","Low","Emergency","filip.bjork","sofia.pettersson","2026-11-02T09:00:00Z","2026-11-02T12:00:00Z"
"2d0f125341654cf1ce68179d8f90dcc9","CHG0010033","Add SoD control rule","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Authorize","2 - High","High","Standard","jonas.bjork","henrik.bjork","2026-11-03T09:00:00Z","2026-11-03T19:00:00Z"
"56ad4b0b9ac14970ed06ca7e6ce3f5c7","CHG0010034","Migrate vendor master schema","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Closed","3 - Moderate","Moderate","Normal","emma.bjork","viktor.holm","2026-10-19T09:00:00Z","2026-10-19T14:00:00Z"
"20071d0bb10f6ff4f108d9663d10bae3","CHG0010035","Enable dual approval on payments","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Scheduled","4 - Low","Low","Emergency","sara.bjork","daniel.pettersson","2026-11-12T09:00:00Z","2026-11-12T10:00:00Z"
"28cb6ba0c86476546be672e1d381a11d","CHG0010036","Patch payroll interface","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Authorize","2 - High","High","Standard","henrik.bjork","filip.bjork","2026-12-16T09:00:00Z","2026-12-16T14:00:00Z"
"8ab66db1924a88300656500a987b040a","CHG0010037","Refresh reporting warehouse","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Review","3 - Moderate","Moderate","Normal","filip.bjork","lucas.holm","2026-12-13T09:00:00Z","2026-12-13T17:00:00Z"
"f5486369e3ec8e10b071af4c341dda27","CHG0010038","Tighten access certification job","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Review","4 - Low","Low","Emergency","jonas.bjork","emil.pettersson","2026-10-07T09:00:00Z","2026-10-07T11:00:00Z"
"a2a7c7a3dc3338b15e800c494f680196","CHG0010039","Upgrade bank-feed connector","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Implement","2 - High","High","Standard","emma.bjork","jonas.bjork","2026-11-26T09:00:00Z","2026-11-26T21:00:00Z"
"401ae155e93b737fe16b05b49362f67c","CHG0010040","Deploy GL month-end patch","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Scheduled","3 - Moderate","Moderate","Normal","sara.bjork","rasmus.holm","2026-10-07T09:00:00Z","2026-10-07T11:00:00Z"
"810ef5f1295f6f80bddb76caaef7b1e5","CHG0010041","Update approval matrix thresholds","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Closed","4 - Low","Low","Emergency","henrik.bjork","vidar.pettersson","2026-11-23T09:00:00Z","2026-11-23T18:00:00Z"
"649b8cb3b42f091e1989243f68fbccb0","CHG0010042","Rotate service account keys","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Review","2 - High","High","Standard","filip.bjork","emma.bjork","2026-10-15T09:00:00Z","2026-10-15T16:00:00Z"
"fe0ef2f569d456d1d6998a66f6460578","CHG0010043","Add SoD control rule","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Closed","3 - Moderate","Moderate","Normal","jonas.bjork","karin.holm","2026-12-01T09:00:00Z","2026-12-01T20:00:00Z"
"cf389c54c427b1067dd7b31bbc134490","CHG0010044","Migrate vendor master schema","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Review","4 - Low","Low","Emergency","emma.bjork","maria.pettersson","2026-11-20T09:00:00Z","2026-11-20T15:00:00Z"
"f1b4b0fe047a26d93469234127753bb4","CHG0010045","Enable dual approval on payments","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Scheduled","2 - High","High","Standard","sara.bjork","sara.bjork","2026-10-13T09:00:00Z","2026-10-13T17:00:00Z"
"b88ab2db470365ddb8d604ea87cbf381","CHG0010046","Patch payroll interface","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Implement","3 - Moderate","Moderate","Normal","henrik.bjork","eva.holm","2026-10-02T09:00:00Z","2026-10-02T20:00:00Z"
"98b0cb6f2c9b4ae6c3dd1cd607d6cc42","CHG0010047","Refresh reporting warehouse","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Review","4 - Low","Low","Emergency","filip.bjork","sofia.pettersson","2026-10-12T09:00:00Z","2026-10-12T11:00:00Z"
"ac154270fbc82317e37da5db17fdfd58","CHG0010048","Tighten access certification job","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Authorize","2 - High","High","Standard","jonas.bjork","henrik.bjork","2026-10-03T09:00:00Z","2026-10-03T15:00:00Z"
"7083488bd1afe4abcd27935054905a8c","CHG0010049","Upgrade bank-feed connector","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Implement","3 - Moderate","Moderate","Normal","emma.bjork","viktor.holm","2026-10-21T09:00:00Z","2026-10-21T19:00:00Z"
"e8283ecd86e1d341a38876ba8d20d86d","CHG0010050","Deploy GL month-end patch","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Assess","4 - Low","Low","Emergency","sara.bjork","daniel.pettersson","2026-10-31T09:00:00Z","2026-10-31T19:00:00Z"
"26b83f1fc13767c9c11eb6d7bacbcece","CHG0010051","Update approval matrix thresholds","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Assess","2 - High","High","Standard","henrik.bjork","filip.bjork","2026-12-11T09:00:00Z","2026-12-11T21:00:00Z"
"979d03200d47de76853bb8c356302043","CHG0010052","Rotate service account keys","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Scheduled","3 - Moderate","Moderate","Normal","filip.bjork","lucas.holm","2026-10-14T09:00:00Z","2026-10-14T17:00:00Z"
"6774df845623de9269d6757b53b8c9d4","CHG0010053","Add SoD control rule","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Implement","4 - Low","Low","Emergency","jonas.bjork","emil.pettersson","2026-11-27T09:00:00Z","2026-11-27T10:00:00Z"
"a7397a99b8bef79a47d1ed4c5e04230a","CHG0010054","Migrate vendor master schema","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Assess","2 - High","High","Standard","emma.bjork","jonas.bjork","2026-12-03T09:00:00Z","2026-12-03T12:00:00Z"
"138cad148f0c0675ec2a9272108dd250","CHG0010055","Enable dual approval on payments","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Implement","3 - Moderate","Moderate","Normal","sara.bjork","rasmus.holm","2026-12-07T09:00:00Z","2026-12-07T17:00:00Z"
"6d62dd5c56107d3138e3884ead38952c","CHG0010056","Patch payroll interface","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Review","4 - Low","Low","Emergency","henrik.bjork","vidar.pettersson","2026-09-21T09:00:00Z","2026-09-21T17:00:00Z"
"d139fc9a02fa5968283ea643a2c5e0be","CHG0010057","Refresh reporting warehouse","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Scheduled","2 - High","High","Standard","filip.bjork","emma.bjork","2026-10-18T09:00:00Z","2026-10-18T19:00:00Z"
"df10edef03f88c2e1d95514c7d531d27","CHG0010058","Tighten access certification job","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Assess","3 - Moderate","Moderate","Normal","jonas.bjork","karin.holm","2026-10-12T09:00:00Z","2026-10-12T13:00:00Z"
"b40bf7cc96c7a3276a23841da7942d77","CHG0010059","Upgrade bank-feed connector","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Closed","4 - Low","Low","Emergency","emma.bjork","maria.pettersson","2026-10-31T09:00:00Z","2026-10-31T19:00:00Z"
"cfa6d770b3c20d2604ea79974d2315f2","CHG0010060","Deploy GL month-end patch","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Closed","2 - High","High","Standard","sara.bjork","sara.bjork","2026-10-14T09:00:00Z","2026-10-14T19:00:00Z"
"7d47c0f00c84e80887a188f59c1108c2","CHG0010061","Update approval matrix thresholds","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Assess","3 - Moderate","Moderate","Normal","henrik.bjork","eva.holm","2026-11-13T09:00:00Z","2026-11-13T11:00:00Z"
"cde61cebbb8b3b62dcb7b523fc0c91c9","CHG0010062","Rotate service account keys","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Review","4 - Low","Low","Emergency","filip.bjork","sofia.pettersson","2026-10-17T09:00:00Z","2026-10-17T14:00:00Z"
"9ceea254ce93c3ccd5de07afb3bd240d","CHG0010063","Add SoD control rule","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Closed","2 - High","High","Standard","jonas.bjork","henrik.bjork","2026-12-06T09:00:00Z","2026-12-06T14:00:00Z"
"20f4cfa390386ef44490c3b5e2065fac","CHG0010064","Migrate vendor master schema","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Closed","3 - Moderate","Moderate","Normal","emma.bjork","viktor.holm","2026-11-06T09:00:00Z","2026-11-06T19:00:00Z"
"f1618dc49e649d115685a8766413038b","CHG0010065","Enable dual approval on payments","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Scheduled","4 - Low","Low","Emergency","sara.bjork","daniel.pettersson","2026-11-06T09:00:00Z","2026-11-06T12:00:00Z"
"febaf649f7eb3274484b8b9ca49fe20e","CHG0010066","Patch payroll interface","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Assess","2 - High","High","Standard","henrik.bjork","filip.bjork","2026-09-29T09:00:00Z","2026-09-29T12:00:00Z"
"86560aaf935d6df7830c6c93321e97c9","CHG0010067","Refresh reporting warehouse","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Assess","3 - Moderate","Moderate","Normal","filip.bjork","lucas.holm","2026-10-31T09:00:00Z","2026-10-31T14:00:00Z"
"1f5963887217153da6b3b6727690d830","CHG0010068","Tighten access certification job","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Review","4 - Low","Low","Emergency","jonas.bjork","emil.pettersson","2026-09-20T09:00:00Z","2026-09-20T15:00:00Z"
"992b4effd2cbbee97ebad0bf4a0c85c2","CHG0010069","Upgrade bank-feed connector","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Closed","2 - High","High","Standard","emma.bjork","jonas.bjork","2026-12-05T09:00:00Z","2026-12-05T21:00:00Z"
"0892d4a706158fbee4f3e46ae778efb6","CHG0010070","Deploy GL month-end patch","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Implement","3 - Moderate","Moderate","Normal","sara.bjork","rasmus.holm","2026-10-18T09:00:00Z","2026-10-18T15:00:00Z"
"67890f78449658feed9352571f7f3878","CHG0010071","Update approval matrix thresholds","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Scheduled","4 - Low","Low","Emergency","henrik.bjork","vidar.pettersson","2026-12-03T09:00:00Z","2026-12-03T16:00:00Z"
"1256b3a0f6e4dc0de93291fbbdb91b38","CHG0010072","Rotate service account keys","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Authorize","2 - High","High","Standard","filip.bjork","emma.bjork","2026-11-14T09:00:00Z","2026-11-14T15:00:00Z"
"30d450170359a6aec9f4454ceaeadba5","CHG0010073","Add SoD control rule","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Closed","3 - Moderate","Moderate","Normal","jonas.bjork","karin.holm","2026-10-13T09:00:00Z","2026-10-13T19:00:00Z"
"b4e8596e1aebf695ce3ea7fcdc767cc5","CHG0010074","Migrate vendor master schema","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Assess","4 - Low","Low","Emergency","emma.bjork","maria.pettersson","2026-11-06T09:00:00Z","2026-11-06T10:00:00Z"
"323654674d92da97189e1b9f7c373aec","CHG0010075","Enable dual approval on payments","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Scheduled","2 - High","High","Standard","sara.bjork","sara.bjork","2026-12-01T09:00:00Z","2026-12-01T20:00:00Z"
"171a7ac07370eb54b0ca003aa00f3d84","CHG0010076","Patch payroll interface","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Closed","3 - Moderate","Moderate","Normal","henrik.bjork","eva.holm","2026-11-20T09:00:00Z","2026-11-20T13:00:00Z"
"195ae91bb2fe2d663f405e0c9b8c0327","CHG0010077","Refresh reporting warehouse","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Scheduled","4 - Low","Low","Emergency","filip.bjork","sofia.pettersson","2026-09-25T09:00:00Z","2026-09-25T16:00:00Z"
"15e8db5725427a40e53c0e1775e29818","CHG0010078","Tighten access certification job","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Review","2 - High","High","Standard","jonas.bjork","henrik.bjork","2026-12-18T09:00:00Z","2026-12-18T19:00:00Z"
"2e0166d6462a33ee426ca78bb2d5521a","CHG0010079","Upgrade bank-feed connector","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Scheduled","3 - Moderate","Moderate","Normal","emma.bjork","viktor.holm","2026-10-02T09:00:00Z","2026-10-02T19:00:00Z"
"1ac9c409f161393d7dcf9c96dc2d4e49","CHG0010080","Deploy GL month-end patch","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Assess","4 - Low","Low","Emergency","sara.bjork","daniel.pettersson","2026-11-04T09:00:00Z","2026-11-04T17:00:00Z"
"ff0f8441d74abf3ac38b4909d5ba4949","CHG0010081","Update approval matrix thresholds","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Scheduled","2 - High","High","Standard","henrik.bjork","filip.bjork","2026-10-09T09:00:00Z","2026-10-09T15:00:00Z"
"bcc5b781ab549f667e44241fa4e19559","CHG0010082","Rotate service account keys","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Authorize","3 - Moderate","Moderate","Normal","filip.bjork","lucas.holm","2026-12-07T09:00:00Z","2026-12-07T16:00:00Z"
"1482d3a274533013e13e774ad1e89668","CHG0010083","Add SoD control rule","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Implement","4 - Low","Low","Emergency","jonas.bjork","emil.pettersson","2026-09-26T09:00:00Z","2026-09-26T12:00:00Z"
"37c664352ea78427f80a1cab96c30f3c","CHG0010084","Migrate vendor master schema","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Scheduled","2 - High","High","Standard","emma.bjork","jonas.bjork","2026-10-31T09:00:00Z","2026-10-31T10:00:00Z"
"7afe3d9fe8740706952c5079149b997c","CHG0010085","Enable dual approval on payments","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Review","3 - Moderate","Moderate","Normal","sara.bjork","rasmus.holm","2026-11-03T09:00:00Z","2026-11-03T10:00:00Z"
"dca8f5eabb0e3e74101c88d422b4ab1a","CHG0010086","Patch payroll interface","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Review","4 - Low","Low","Emergency","henrik.bjork","vidar.pettersson","2026-11-23T09:00:00Z","2026-11-23T20:00:00Z"
"652e203245087ee887222c0418d6e2e0","CHG0010087","Refresh reporting warehouse","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Assess","2 - High","High","Standard","filip.bjork","emma.bjork","2026-12-15T09:00:00Z","2026-12-15T12:00:00Z"
"93e86433a46a575be5b9f95816cb034a","CHG0010088","Tighten access certification job","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Authorize","3 - Moderate","Moderate","Normal","jonas.bjork","karin.holm","2026-09-17T09:00:00Z","2026-09-17T13:00:00Z"
"9502eda9ea3fbe688597c03987e0c575","CHG0010089","Upgrade bank-feed connector","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Scheduled","4 - Low","Low","Emergency","emma.bjork","maria.pettersson","2026-10-08T09:00:00Z","2026-10-08T21:00:00Z"
"19361806304fd2a0c41c8f37fec567fd","CHG0010090","Deploy GL month-end patch","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Review","2 - High","High","Standard","sara.bjork","sara.bjork","2026-12-02T09:00:00Z","2026-12-02T20:00:00Z"
"823d2d139da2346d91edb6aa0af19a20","CHG0010091","Update approval matrix thresholds","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Closed","3 - Moderate","Moderate","Normal","henrik.bjork","eva.holm","2026-12-16T09:00:00Z","2026-12-16T14:00:00Z"
"34d03bb927ca828744763cee89843c0e","CHG0010092","Rotate service account keys","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Authorize","4 - Low","Low","Emergency","filip.bjork","sofia.pettersson","2026-11-09T09:00:00Z","2026-11-09T16:00:00Z"
"afa2e621115d4f0323f6d9930b7afb8c","CHG0010093","Add SoD control rule","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Scheduled","2 - High","High","Standard","jonas.bjork","henrik.bjork","2026-11-11T09:00:00Z","2026-11-11T15:00:00Z"
"c9fb91104dac9c8c23adc724c718614a","CHG0010094","Migrate vendor master schema","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Assess","3 - Moderate","Moderate","Normal","emma.bjork","viktor.holm","2026-11-26T09:00:00Z","2026-11-26T18:00:00Z"
"bfe722b2855b4cc0841b687badfa1bb4","CHG0010095","Enable dual approval on payments","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Authorize","4 - Low","Low","Emergency","sara.bjork","daniel.pettersson","2026-10-12T09:00:00Z","2026-10-12T18:00:00Z"
"2550ac71111006bcc932d49b00f62c38","CHG0010096","Patch payroll interface","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Scheduled","2 - High","High","Standard","henrik.bjork","filip.bjork","2026-11-09T09:00:00Z","2026-11-09T15:00:00Z"
"349cefe3ed7d88fdc7ed0d8957038713","CHG0010097","Refresh reporting warehouse","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Review","3 - Moderate","Moderate","Normal","filip.bjork","lucas.holm","2026-11-11T09:00:00Z","2026-11-11T15:00:00Z"
"96165da0de3df37fa9263f6c9253c289","CHG0010098","Tighten access certification job","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Scheduled","4 - Low","Low","Emergency","jonas.bjork","emil.pettersson","2026-10-26T09:00:00Z","2026-10-26T17:00:00Z"
"efcd8af2988ec2755166825d8c762094","CHG0010099","Upgrade bank-feed connector","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Authorize","2 - High","High","Standard","emma.bjork","jonas.bjork","2026-12-15T09:00:00Z","2026-12-15T11:00:00Z"
"35b5ba062bd387b82da886b93471173c","CHG0010100","Deploy GL month-end patch","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Authorize","3 - Moderate","Moderate","Normal","sara.bjork","rasmus.holm","2026-11-28T09:00:00Z","2026-11-28T14:00:00Z"
"d8b5433f2283b7d35981767780f1c62c","CHG0010101","Update approval matrix thresholds","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Implement","4 - Low","Low","Emergency","henrik.bjork","vidar.pettersson","2026-10-23T09:00:00Z","2026-10-23T12:00:00Z"
