id,identifier,number,title,description,priority,estimate,stateId,assigneeId,teamId,projectId,cycleId,labelIds,dueDate,sortOrder,branchName,createdAt,updatedAt,startedAt,completedAt,canceledAt
iss_hist_039,WBP-39,39,Rename outdated tag,Rename outdated tag,2,1,state_completed,lin_015,tm_wbp,prj_protocol,,,,0,,2024-10-04T00:00:00+00:00,2026-08-21T00:00:00+00:00,,2026-08-21T00:00:00+00:00,
iss_hist_040,WBP-40,40,Rename outdated tag,Rename outdated tag,2,1,state_completed,lin_010,tm_wbp,prj_equipment,,,,0,,2026-04-20T00:00:00+00:00,2026-07-21T00:00:00+00:00,,2026-07-21T00:00:00+00:00,
iss_hist_041,WBP-41,41,Add reference to national guideline,Add reference to national guideline,3,1,state_completed,lin_015,tm_wbp,prj_training,,,,0,,2024-01-16T00:00:00+00:00,2026-09-09T00:00:00+00:00,,2026-09-09T00:00:00+00:00,
iss_hist_042,WBP-42,42,Refresh onboarding checklist page,Refresh onboarding checklist page,3,1,state_canceled,lin_012,tm_wbp,prj_protocol,,,,0,,2025-06-17T00:00:00+00:00,2026-08-20T00:00:00+00:00,,,
iss_hist_043,WBP-43,43,Add reference to national guideline,Add reference to national guideline,3,1,state_completed,lin_013,tm_wbp,prj_equipment,,,,0,,2024-03-02T00:00:00+00:00,2026-06-02T00:00:00+00:00,,2026-06-02T00:00:00+00:00,
iss_hist_044,WBP-44,44,Update contact directory,Update contact directory,3,1,state_completed,lin_006,tm_wbp,prj_evidence,,,,0,,2024-07-06T00:00:00+00:00,2026-07-04T00:00:00+00:00,,2026-07-04T00:00:00+00:00,
iss_hist_045,WBP-45,45,Fix broken image on comms page,Fix broken image on comms page,2,1,state_completed,lin_006,tm_wbp,prj_protocol,,,,0,,2025-12-05T00:00:00+00:00,2026-09-17T00:00:00+00:00,,2026-09-17T00:00:00+00:00,
iss_hist_046,WBP-46,46,Rename outdated tag,Rename outdated tag,2,1,state_canceled,lin_012,tm_wbp,prj_equipment,,,,0,,2024-01-23T00:00:00+00:00,2026-10-03T00:00:00+00:00,,,
iss_hist_047,WBP-47,47,Archive 2024 audit findings,Archive 2024 audit findings,3,1,state_completed,lin_012,tm_wbp,prj_protocol,,,,0,,2024-01-03T00:00:00+00:00,2026-06-11T00:00:00+00:00,,2026-06-11T00:00:00+00:00,
iss_hist_048,WBP-48,48,Add reference to national guideline,Add reference to national guideline,2,1,state_completed,lin_014,tm_wbp,prj_evidence,,,,0,,2024-10-13T00:00:00+00:00,2026-07-17T00:00:00+00:00,,2026-07-17T00:00:00+00:00,
iss_hist_049,WBP-49,49,Consolidate duplicate pages,Consolidate duplicate pages,2,1,state_canceled,lin_013,tm_wbp,prj_evidence,,,,0,,2025-02-01T00:00:00+00:00,2026-06-12T00:00:00+00:00,,,
iss_hist_050,WBP-50,50,Refresh onboarding checklist page,Refresh onboarding checklist page,2,1,state_completed,lin_013,tm_wbp,prj_training,,,,0,,2025-12-16T00:00:00+00:00,2026-10-22T00:00:00+00:00,,2026-10-22T00:00:00+00:00,
iss_hist_051,WBP-51,51,Archive 2024 audit findings,Archive 2024 audit findings,3,1,state_completed,lin_005,tm_wbp,prj_equipment,,,,0,,2024-06-05T00:00:00+00:00,2026-10-24T00:00:00+00:00,,2026-10-24T00:00:00+00:00,
iss_hist_052,WBP-52,52,Clean up orphaned labels,Clean up orphaned labels,3,1,state_completed,lin_007,tm_wbp,prj_equipment,,,,0,,2024-05-13T00:00:00+00:00,2026-07-21T00:00:00+00:00,,2026-07-21T00:00:00+00:00,
iss_hist_053,WBP-53,53,Rewrite handover template intro,Rewrite handover template intro,3,1,state_canceled,lin_010,tm_wbp,prj_evidence,,,,0,,2024-12-26T00:00:00+00:00,2026-09-17T00:00:00+00:00,,,
iss_hist_054,WBP-54,54,Update contact directory,Update contact directory,2,1,state_canceled,lin_011,tm_wbp,prj_equipment,,,,0,,2025-10-24T00:00:00+00:00,2026-09-04T00:00:00+00:00,,,
iss_hist_055,WBP-55,55,Clean up orphaned labels,Clean up orphaned labels,2,1,state_completed,lin_007,tm_wbp,prj_evidence,,,,0,,2024-04-06T00:00:00+00:00,2026-06-07T00:00:00+00:00,,2026-06-07T00:00:00+00:00,
iss_hist_056,WBP-56,56,Archive 2023 rota,Archive 2023 rota,2,1,state_completed,lin_006,tm_wbp,prj_evidence,,,,0,,2024-10-21T00:00:00+00:00,2026-07-20T00:00:00+00:00,,2026-07-20T00:00:00+00:00,
iss_hist_057,WBP-57,57,Merge duplicate project links,Merge duplicate project links,2,1,state_completed,lin_008,tm_wbp,prj_equipment,,,,0,,2025-10-12T00:00:00+00:00,2026-08-10T00:00:00+00:00,,2026-08-10T00:00:00+00:00,
iss_hist_058,WBP-58,58,Merge duplicate project links,Merge duplicate project links,3,1,state_completed,lin_009,tm_wbp,prj_equipment,,,,0,,2024-07-23T00:00:00+00:00,2026-06-05T00:00:00+00:00,,2026-06-05T00:00:00+00:00,
iss_hist_059,WBP-59,59,Fix broken image on comms page,Fix broken image on comms page,3,1,state_completed,lin_009,tm_wbp,prj_evidence,,,,0,,2024-10-25T00:00:00+00:00,2026-10-02T00:00:00+00:00,,2026-10-02T00:00:00+00:00,
iss_hist_060,WBP-60,60,Add reference to national guideline,Add reference to national guideline,3,1,state_completed,lin_005,tm_wbp,prj_evidence,,,,0,,2024-09-15T00:00:00+00:00,2026-10-20T00:00:00+00:00,,2026-10-20T00:00:00+00:00,
iss_hist_061,WBP-61,61,Rewrite handover template intro,Rewrite handover template intro,3,1,state_completed,lin_005,tm_wbp,prj_protocol,,,,0,,2024-12-13T00:00:00+00:00,2026-06-26T00:00:00+00:00,,2026-06-26T00:00:00+00:00,
iss_hist_062,WBP-62,62,Update copyright footer,Update copyright footer,3,1,state_completed,lin_005,tm_wbp,prj_protocol,,,,0,,2024-05-26T00:00:00+00:00,2026-07-01T00:00:00+00:00,,2026-07-01T00:00:00+00:00,
iss_hist_063,WBP-63,63,Rename outdated tag,Rename outdated tag,2,1,state_completed,lin_014,tm_wbp,prj_equipment,,,,0,,2024-01-12T00:00:00+00:00,2026-06-10T00:00:00+00:00,,2026-06-10T00:00:00+00:00,
iss_hist_064,WBP-64,64,Rename outdated tag,Rename outdated tag,2,1,state_completed,lin_015,tm_wbp,prj_protocol,,,,0,,2025-03-21T00:00:00+00:00,2026-09-24T00:00:00+00:00,,2026-09-24T00:00:00+00:00,
iss_hist_065,WBP-65,65,Merge duplicate project links,Merge duplicate project links,3,1,state_completed,lin_009,tm_wbp,prj_protocol,,,,0,,2025-04-03T00:00:00+00:00,2026-08-08T00:00:00+00:00,,2026-08-08T00:00:00+00:00,
iss_hist_066,WBP-66,66,Deprecate old contact list,Deprecate old contact list,3,1,state_completed,lin_014,tm_wbp,prj_protocol,,,,0,,2026-01-27T00:00:00+00:00,2026-10-02T00:00:00+00:00,,2026-10-02T00:00:00+00:00,
iss_hist_067,WBP-67,67,Archive 2023 rota,Archive 2023 rota,3,1,state_completed,lin_006,tm_wbp,prj_equipment,,,,0,,2025-06-28T00:00:00+00:00,2026-06-13T00:00:00+00:00,,2026-06-13T00:00:00+00:00,
iss_hist_068,WBP-68,68,Fix typo in escalation page,Fix typo in escalation page,3,1,state_completed,lin_008,tm_wbp,prj_equipment,,,,0,,2026-02-16T00:00:00+00:00,2026-06-13T00:00:00+00:00,,2026-06-13T00:00:00+00:00,
iss_hist_069,WBP-69,69,Fix broken link in ward handbook,Fix broken link in ward handbook,3,1,state_completed,lin_014,tm_wbp,prj_equipment,,,,0,,2024-12-13T00:00:00+00:00,2026-10-09T00:00:00+00:00,,2026-10-09T00:00:00+00:00,
iss_hist_070,WBP-70,70,Merge duplicate project links,Merge duplicate project links,2,1,state_completed,lin_012,tm_wbp,prj_equipment,,,,0,,2025-10-17T00:00:00+00:00,2026-08-06T00:00:00+00:00,,2026-08-06T00:00:00+00:00,
iss_hist_071,WBP-71,71,Fix broken image on comms page,Fix broken image on comms page,3,1,state_completed,lin_006,tm_wbp,prj_training,,,,0,,2024-07-25T00:00:00+00:00,2026-07-30T00:00:00+00:00,,2026-07-30T00:00:00+00:00,
iss_hist_072,WBP-72,72,Refresh onboarding checklist page,Refresh onboarding checklist page,2,1,state_completed,lin_014,tm_wbp,prj_training,,,,0,,2025-08-26T00:00:00+00:00,2026-08-11T00:00:00+00:00,,2026-08-11T00:00:00+00:00,
iss_hist_073,WBP-73,73,Rewrite handover template intro,Rewrite handover template intro,3,1,state_completed,lin_011,tm_wbp,prj_equipment,,,,0,,2024-11-25T00:00:00+00:00,2026-08-27T00:00:00+00:00,,2026-08-27T00:00:00+00:00,
iss_hist_074,WBP-74,74,Add reference to national guideline,Add reference to national guideline,2,1,state_completed,lin_010,tm_wbp,prj_equipment,,,,0,,2026-04-17T00:00:00+00:00,2026-06-10T00:00:00+00:00,,2026-06-10T00:00:00+00:00,
iss_hist_075,WBP-75,75,Refresh onboarding checklist page,Refresh onboarding checklist page,2,1,state_canceled,lin_014,tm_wbp,prj_evidence,,,,0,,2025-07-11T00:00:00+00:00,2026-07-20T00:00:00+00:00,,,
iss_hist_076,WBP-76,76,Merge duplicate project links,Merge duplicate project links,3,1,state_completed,lin_012,tm_wbp,prj_protocol,,,,0,,2025-08-23T00:00:00+00:00,2026-07-19T00:00:00+00:00,,2026-07-19T00:00:00+00:00,
iss_hist_077,WBP-77,77,Rewrite handover template intro,Rewrite handover template intro,3,1,state_completed,lin_012,tm_wbp,prj_equipment,,,,0,,2024-12-14T00:00:00+00:00,2026-06-12T00:00:00+00:00,,2026-06-12T00:00:00+00:00,
iss_hist_078,WBP-78,78,Archive 2023 rota,Archive 2023 rota,3,1,state_completed,lin_009,tm_wbp,prj_protocol,,,,0,,2026-01-25T00:00:00+00:00,2026-10-01T00:00:00+00:00,,2026-10-01T00:00:00+00:00,
iss_hist_079,WBP-79,79,Archive 2024 audit findings,Archive 2024 audit findings,2,1,state_completed,lin_008,tm_wbp,prj_evidence,,,,0,,2024-10-19T00:00:00+00:00,2026-08-04T00:00:00+00:00,,2026-08-04T00:00:00+00:00,
iss_hist_080,WBP-80,80,Consolidate duplicate pages,Consolidate duplicate pages,3,1,state_completed,lin_005,tm_wbp,prj_equipment,,,,0,,2024-05-09T00:00:00+00:00,2026-07-24T00:00:00+00:00,,2026-07-24T00:00:00+00:00,
iss_hist_081,WBP-81,81,Fix typo in escalation page,Fix typo in escalation page,2,1,state_completed,lin_012,tm_wbp,prj_training,,,,0,,2024-08-18T00:00:00+00:00,2026-10-12T00:00:00+00:00,,2026-10-12T00:00:00+00:00,
iss_hist_082,WBP-82,82,Fix typo in escalation page,Fix typo in escalation page,2,1,state_canceled,lin_011,tm_wbp,prj_evidence,,,,0,,2026-05-16T00:00:00+00:00,2026-09-14T00:00:00+00:00,,,
iss_hist_083,WBP-83,83,Rename outdated tag,Rename outdated tag,2,1,state_completed,lin_013,tm_wbp,prj_protocol,,,,0,,2025-03-24T00:00:00+00:00,2026-07-08T00:00:00+00:00,,2026-07-08T00:00:00+00:00,
iss_hist_084,WBP-84,84,Fix broken link in ward handbook,Fix broken link in ward handbook,3,1,state_completed,lin_008,tm_wbp,prj_training,,,,0,,2026-02-23T00:00:00+00:00,2026-10-11T00:00:00+00:00,,2026-10-11T00:00:00+00:00,
iss_hist_085,WBP-85,85,Fix typo in escalation page,Fix typo in escalation page,2,1,state_canceled,lin_007,tm_wbp,prj_equipment,,,,0,,2025-09-26T00:00:00+00:00,2026-10-08T00:00:00+00:00,,,
iss_hist_086,WBP-86,86,Add reference to national guideline,Add reference to national guideline,2,1,state_completed,lin_011,tm_wbp,prj_equipment,,,,0,,2026-03-20T00:00:00+00:00,2026-06-11T00:00:00+00:00,,2026-06-11T00:00:00+00:00,
iss_hist_087,WBP-87,87,Refresh onboarding checklist page,Refresh onboarding checklist page,2,1,state_canceled,lin_008,tm_wbp,prj_evidence,,,,0,,2025-09-29T00:00:00+00:00,2026-09-18T00:00:00+00:00,,,
iss_hist_088,WBP-88,88,Merge duplicate project links,Merge duplicate project links,3,1,state_completed,lin_011,tm_wbp,prj_evidence,,,,0,,2024-04-03T00:00:00+00:00,2026-10-23T00:00:00+00:00,,2026-10-23T00:00:00+00:00,
iss_hist_089,WBP-89,89,Fix broken image on comms page,Fix broken image on comms page,3,1,state_completed,lin_009,tm_wbp,prj_equipment,,,,0,,2024-01-07T00:00:00+00:00,2026-07-12T00:00:00+00:00,,2026-07-12T00:00:00+00:00,
iss_hist_090,WBP-90,90,Fix typo in escalation page,Fix typo in escalation page,3,1,state_completed,lin_007,tm_wbp,prj_evidence,,,,0,,2026-01-07T00:00:00+00:00,2026-07-15T00:00:00+00:00,,2026-07-15T00:00:00+00:00,
