response_id,submitted_date,channel,ward,language,respondent_type,corridor_referenced,sentiment,top_concern,secondary_concern,verbatim_snippet,reached_via,delivery_id_ref
RSP-101580,2026-04-07,sms_reply,Mile End,fr,visitor,Rachel,support,snow_removal,noise,Un corridor cyclable continu sur Rachel c est vraiment attendu,walkup,SMS-0501330
RSP-101732,2026-04-07,sms_reply,Milton-Parc,en,business_owner,Saint_Denis,concern,parking_loss,tree_canopy,Pedestrian safety at the Mont Royal intersection is not addressed enough,reminder_sms,EML-0900857
RSP-101833,2026-04-07,intercept_survey,Plateau-Mont-Royal,fr,individual_resident,Saint_Denis,concern,bike_lane_safety,,Nous avons besoin d une fenetre de livraison entre 7h et 10h,portal_search,EML-0501918
RSP-101903,2026-04-07,community_meeting_signin,Plateau-Mont-Royal,en,resident_association,Multiple,neutral,snow_removal,noise,The community meetings have been well organized and thoughtful,reminder_email,EML-0501893
RSP-101980,2026-04-07,sms_reply,Mile End,en,individual_resident,Rachel,strong_support,parking_loss,,As a small business owner I welcome slower traffic and more foot traffic,reminder_sms,SMS-0501301
RSP-102267,2026-04-07,intercept_survey,Plateau-Mont-Royal,fr,individual_resident,Rachel,strong_support,pedestrian_safety,bike_lane_safety,Je marche cette rue tous les matins et une piste protegee change tout,reminder_email,SMS-0500196
RSP-102339,2026-04-07,portal,Jeanne-Mance,fr,individual_resident,Saint_Laurent_North,strong_support,pedestrian_safety,noise,Le nouveau design de l arret rendra le service beaucoup plus fiable,portal_search,SMS-0900091
RSP-102840,2026-04-07,portal,Milton-Parc,fr,individual_resident,Multiple,neutral,noise,,Ma petite entreprise gagne quand le quartier est marchable,portal_search,SMS-0501275
RSP-103052,2026-04-07,portal,Mile End,en,individual_resident,None,neutral,bike_lane_safety,,Please keep the plan strong the neighbourhood needs this,reminder_sms,EML-0501626
RSP-103232,2026-04-07,community_meeting_signin,Mile End,fr,individual_resident,Rachel,support,bike_lane_safety,,Ma petite entreprise gagne quand le quartier est marchable,meeting_flyer,SMS-0500727
RSP-103245,2026-04-07,portal,Milton-Parc,fr,individual_resident,Saint_Laurent_North,support,snow_removal,enforcement,Le nouveau design de l arret rendra le service beaucoup plus fiable,walkup,SMS-0500617
RSP-103322,2026-04-07,sms_reply,Mile End,fr,individual_resident,Mont_Royal,concern,delivery_access,,Il faut penser aux locataires deja fragiles sur le corridor,meeting_flyer,SMS-0501088
RSP-100114,2026-04-08,community_meeting_signin,Mile End,fr,individual_resident,Saint_Laurent_North,neutral,enforcement,,Ma petite entreprise gagne quand le quartier est marchable,reminder_email,EML-0502410
RSP-100198,2026-04-08,portal,Plateau-Mont-Royal,fr,business_owner,Mont_Royal,concern,tree_canopy,parking_loss,Nous avons besoin d une fenetre de livraison entre 7h et 10h,direct_link,EML-0900144
RSP-100458,2026-04-08,portal,Plateau-Mont-Royal,en,individual_resident,Rachel,support,bike_lane_safety,accessibility,Trees and benches will make this corridor liveable again,walkup,SMS-0500886
RSP-100759,2026-04-08,portal,Plateau-Mont-Royal,en,resident_association,Saint_Laurent_North,neutral,pedestrian_safety,parking_loss,A protected lane on Saint Denis is long overdue,reminder_email,EML-0900175
RSP-100831,2026-04-08,portal,Plateau-Mont-Royal,fr,individual_resident,Multiple,strong_opposition,pedestrian_safety,,Je crains les impacts sur mon commerce si les livraisons sont bloquees,social_share,SMS-0900142
RSP-101060,2026-04-08,portal,Plateau-Mont-Royal,fr,individual_resident,Mont_Royal,strong_support,parking_loss,noise,Je soutiens le projet meme si je perds ma place de stationnement,direct_link,EML-0900096
RSP-101439,2026-04-08,community_meeting_signin,Plateau-Mont-Royal,en,business_owner,Rachel,concern,enforcement,delivery_access,Delivery access on Saint Denis is critical please preserve morning windows,reminder_sms,SMS-0500129
RSP-101457,2026-04-08,intercept_survey,Plateau-Mont-Royal,fr,individual_resident,Mont_Royal,strong_opposition,bike_lane_safety,displacement_risk,La circulation va se deverser sur les rues residentielles,reminder_sms,SMS-0900525
RSP-102050,2026-04-08,community_meeting_signin,Plateau-Mont-Royal,en,individual_resident,Rachel,strong_support,transit_frequency,accessibility,The community meetings have been well organized and thoughtful,reminder_sms,
RSP-102190,2026-04-08,intercept_survey,Jeanne-Mance,fr,business_owner,Saint_Laurent_North,support,delivery_access,accessibility,Je marche cette rue tous les matins et une piste protegee change tout,social_share,EML-0900526
RSP-102380,2026-04-08,intercept_survey,Milton-Parc,fr,resident_association,Mont_Royal,concern,tree_canopy,parking_loss,Ou vont se garer les residents plus ages du bloc,meeting_flyer,SMS-0500622
RSP-102399,2026-04-08,intercept_survey,Plateau-Mont-Royal,fr,individual_resident,Saint_Joseph,strong_opposition,transit_frequency,,Les taxis et le transport adapte doivent garder acces,reminder_sms,EML-0900596
RSP-102534,2026-04-08,intercept_survey,Jeanne-Mance,en,individual_resident,Saint_Denis,neutral,parking_loss,,A protected lane on Saint Denis is long overdue,social_share,SMS-0501167
RSP-102559,2026-04-08,sms_reply,Plateau-Mont-Royal,fr,business_owner,Saint_Denis,strong_opposition,snow_removal,delivery_access,Les taxis et le transport adapte doivent garder acces,reminder_sms,SMS-0900881
RSP-102683,2026-04-08,intercept_survey,Plateau-Mont-Royal,en,individual_resident,Saint_Denis,support,pedestrian_safety,,The community meetings have been well organized and thoughtful,portal_search,
RSP-102940,2026-04-08,portal,Milton-Parc,en,individual_resident,Rachel,support,displacement_risk,enforcement,As a small business owner I welcome slower traffic and more foot traffic,reminder_sms,SMS-0500903
RSP-102954,2026-04-08,portal,Plateau-Mont-Royal,en,resident_association,Saint_Joseph,strong_support,pedestrian_safety,bike_lane_safety,Trees and benches will make this corridor liveable again,social_share,SMS-0500433
RSP-103229,2026-04-08,sms_reply,Mile End,fr,business_owner,Saint_Denis,concern,parking_loss,accessibility,Il faut penser aux locataires deja fragiles sur le corridor,direct_link,EML-0900898
RSP-103475,2026-04-08,portal,Plateau-Mont-Royal,en,visitor,Mont_Royal,strong_opposition,pedestrian_safety,,Traffic will push into residential side streets that are already busy,meeting_flyer,SMS-0900419
RSP-100381,2026-04-09,sms_reply,Plateau-Mont-Royal,fr,developer_rep,Saint_Denis,strong_support,delivery_access,,Je soutiens le projet meme si je perds ma place de stationnement,walkup,SMS-0500358
RSP-100435,2026-04-09,portal,Plateau-Mont-Royal,en,business_owner,Saint_Denis,strong_opposition,delivery_access,displacement_risk,Snow removal on the new lane must be reliable or it defeats the purpose,reminder_email,EML-0502225
RSP-100667,2026-04-09,portal,Plateau-Mont-Royal,en,individual_resident,Mont_Royal,neutral,pedestrian_safety,,As a small business owner I welcome slower traffic and more foot traffic,social_share,SMS-0501144
RSP-100760,2026-04-09,sms_reply,Plateau-Mont-Royal,es,individual_resident,Mont_Royal,strong_support,bike_lane_safety,pedestrian_safety,seguridad para los peatones es prioridad,portal_search,SMS-0900812
RSP-101151,2026-04-09,intercept_survey,Mile End,fr,individual_resident,Multiple,strong_opposition,parking_loss,snow_removal,Il faut penser aux locataires deja fragiles sur le corridor,reminder_email,SMS-0500165
RSP-101442,2026-04-09,portal,Plateau-Mont-Royal,fr,resident_association,Rachel,strong_support,tree_canopy,bike_lane_safety,Je marche cette rue tous les matins et une piste protegee change tout,social_share,SMS-0501252
RSP-102842,2026-04-09,intercept_survey,Plateau-Mont-Royal,fr,individual_resident,Saint_Denis,concern,tree_canopy,transit_frequency,L hiver la piste devient inutilisable si le deneigement suit pas,social_share,
RSP-102877,2026-04-09,portal,Mile End,fr,business_owner,Saint_Joseph,support,parking_loss,pedestrian_safety,Ma petite entreprise gagne quand le quartier est marchable,walkup,EML-0502676
RSP-102980,2026-04-09,intercept_survey,Mile End,fr,business_owner,Multiple,neutral,parking_loss,displacement_risk,Ma petite entreprise gagne quand le quartier est marchable,reminder_sms,EML-0502265
RSP-103059,2026-04-09,portal,Mile End,en,individual_resident,Mont_Royal,support,parking_loss,enforcement,Transit stops need to be redesigned for accessibility,portal_search,SMS-0500262
RSP-103106,2026-04-09,intercept_survey,Milton-Parc,fr,resident_association,Saint_Denis,strong_support,tree_canopy,pedestrian_safety,Un corridor cyclable continu sur Rachel c est vraiment attendu,walkup,SMS-0501231
RSP-103176,2026-04-09,intercept_survey,Milton-Parc,fr,resident_association,Multiple,concern,enforcement,,Nous avons besoin d une fenetre de livraison entre 7h et 10h,reminder_email,
RSP-103374,2026-04-09,portal,Mile End,vi,individual_resident,Rachel,strong_support,snow_removal,parking_loss,cho phep giao hang buoi sang la can thiet,portal_search,
RSP-100004,2026-04-10,portal,Plateau-Mont-Royal,fr,individual_resident,Mont_Royal,neutral,transit_frequency,parking_loss,Le nouveau design de l arret rendra le service beaucoup plus fiable,walkup,EML-0502523
RSP-100263,2026-04-10,intercept_survey,Plateau-Mont-Royal,fr,community_group,Saint_Joseph,strong_support,tree_canopy,,Ma petite entreprise gagne quand le quartier est marchable,social_share,SMS-0500070
RSP-100522,2026-04-10,email_form,Mile End,fr,business_owner,Saint_Denis,concern,displacement_risk,,L hiver la piste devient inutilisable si le deneigement suit pas,reminder_sms,EML-0900962
RSP-100553,2026-04-10,intercept_survey,Plateau-Mont-Royal,fr,individual_resident,Saint_Laurent_North,strong_support,bike_lane_safety,snow_removal,Je marche cette rue tous les matins et une piste protegee change tout,reminder_email,EML-0501995
RSP-101155,2026-04-10,intercept_survey,Plateau-Mont-Royal,fr,individual_resident,Multiple,concern,bike_lane_safety,displacement_risk,Je crains les impacts sur mon commerce si les livraisons sont bloquees,meeting_flyer,SMS-0500824
RSP-101390,2026-04-10,intercept_survey,Mile End,en,resident_association,Mont_Royal,neutral,parking_loss,bike_lane_safety,My kids can finally walk to school without dodging cars,social_share,EML-0501550
RSP-101727,2026-04-10,portal,Jeanne-Mance,fr,individual_resident,Saint_Laurent_North,support,pedestrian_safety,bike_lane_safety,Je marche cette rue tous les matins et une piste protegee change tout,direct_link,SMS-0501210
RSP-101895,2026-04-10,portal,Plateau-Mont-Royal,fr,individual_resident,Multiple,neutral,accessibility,noise,Il faut plus d arbres sur Saint Laurent nord et un trottoir plus large,reminder_email,SMS-0501103
RSP-101939,2026-04-10,community_meeting_signin,Plateau-Mont-Royal,fr,business_owner,Rachel,strong_opposition,displacement_risk,bike_lane_safety,Nous avons besoin d une fenetre de livraison entre 7h et 10h,reminder_email,SMS-0500739
RSP-102177,2026-04-10,portal,Plateau-Mont-Royal,fr,individual_resident,Saint_Laurent_North,support,accessibility,pedestrian_safety,Les livraisons peuvent tres bien se faire tot le matin,direct_link,EML-0900005
RSP-102263,2026-04-10,intercept_survey,Plateau-Mont-Royal,fr,business_owner,Multiple,neutral,delivery_access,snow_removal,Un corridor cyclable continu sur Rachel c est vraiment attendu,meeting_flyer,EML-0900523
RSP-102598,2026-04-10,portal,Jeanne-Mance,en,developer_rep,Mont_Royal,neutral,parking_loss,transit_frequency,My kids can finally walk to school without dodging cars,social_share,EML-0900125
RSP-103039,2026-04-10,portal,Plateau-Mont-Royal,fr,individual_resident,Saint_Laurent_North,neutral,snow_removal,tree_canopy,Ma petite entreprise gagne quand le quartier est marchable,portal_search,SMS-0500263
RSP-103342,2026-04-10,portal,Plateau-Mont-Royal,en,business_owner,Saint_Laurent_North,support,displacement_risk,bike_lane_safety,My kids can finally walk to school without dodging cars,meeting_flyer,EML-0502349
RSP-103504,2026-04-10,intercept_survey,Jeanne-Mance,fr,business_owner,Saint_Denis,concern,parking_loss,tree_canopy,Je crains les impacts sur mon commerce si les livraisons sont bloquees,portal_search,EML-0502303
RSP-100072,2026-04-11,community_meeting_signin,Plateau-Mont-Royal,fr,individual_resident,Saint_Laurent_North,neutral,enforcement,,Un corridor cyclable continu sur Rachel c est vraiment attendu,reminder_sms,EML-0501735
RSP-100317,2026-04-11,sms_reply,Plateau-Mont-Royal,fr,individual_resident,Rachel,strong_support,parking_loss,transit_frequency,Le nouveau design de l arret rendra le service beaucoup plus fiable,walkup,SMS-0500840
RSP-100561,2026-04-11,portal,Plateau-Mont-Royal,es,business_owner,Rachel,strong_support,delivery_access,transit_frequency,necesitamos mas informacion en espanol,social_share,SMS-0501383
RSP-101020,2026-04-11,portal,Plateau-Mont-Royal,fr,community_group,Multiple,concern,snow_removal,,Je crains les impacts sur mon commerce si les livraisons sont bloquees,reminder_sms,EML-0900362
RSP-101209,2026-04-11,portal,Plateau-Mont-Royal,fr,individual_resident,Multiple,strong_opposition,displacement_risk,accessibility,Nous avons besoin d une fenetre de livraison entre 7h et 10h,walkup,EML-0900224
RSP-101496,2026-04-11,intercept_survey,Plateau-Mont-Royal,en,individual_resident,Saint_Laurent_North,strong_support,transit_frequency,tree_canopy,A protected lane on Saint Denis is long overdue,reminder_sms,SMS-0501464
RSP-101647,2026-04-11,intercept_survey,Milton-Parc,fr,community_group,Saint_Denis,concern,bike_lane_safety,snow_removal,Nous avons besoin d une fenetre de livraison entre 7h et 10h,walkup,SMS-0500043
RSP-101805,2026-04-11,community_meeting_signin,Mile End,fr,resident_association,Saint_Joseph,neutral,accessibility,,Les enfants pourront enfin traverser Mont Royal sans stress,walkup,SMS-0900709
RSP-101958,2026-04-11,portal,Plateau-Mont-Royal,fr,business_owner,Saint_Laurent_North,neutral,enforcement,parking_loss,Je marche cette rue tous les matins et une piste protegee change tout,walkup,EML-0502516
RSP-102093,2026-04-11,community_meeting_signin,Plateau-Mont-Royal,en,business_owner,Saint_Laurent_North,support,snow_removal,,Please keep the plan strong the neighbourhood needs this,walkup,
RSP-102448,2026-04-11,portal,Plateau-Mont-Royal,en,individual_resident,Saint_Joseph,support,accessibility,tree_canopy,The community meetings have been well organized and thoughtful,social_share,SMS-0500945
RSP-102728,2026-04-11,email_form,Plateau-Mont-Royal,en,business_owner,Saint_Laurent_North,neutral,snow_removal,pedestrian_safety,A protected lane on Saint Denis is long overdue,meeting_flyer,EML-0502052
RSP-102729,2026-04-11,community_meeting_signin,Plateau-Mont-Royal,fr,individual_resident,Mont_Royal,strong_support,accessibility,enforcement,Je soutiens le projet meme si je perds ma place de stationnement,reminder_sms,
RSP-100010,2026-04-12,portal,Mile End,en,individual_resident,Saint_Joseph,concern,pedestrian_safety,enforcement,Older residents on my block will not be able to reach services,portal_search,EML-0900012
RSP-100678,2026-04-12,portal,Plateau-Mont-Royal,fr,individual_resident,Mont_Royal,support,tree_canopy,,Il faut plus d arbres sur Saint Laurent nord et un trottoir plus large,reminder_email,EML-0502110
RSP-100847,2026-04-12,portal,Plateau-Mont-Royal,fr,business_owner,Saint_Denis,strong_opposition,accessibility,displacement_risk,Nous avons besoin d une fenetre de livraison entre 7h et 10h,walkup,SMS-0501373
RSP-100860,2026-04-12,intercept_survey,Mile End,en,individual_resident,Saint_Laurent_North,concern,pedestrian_safety,parking_loss,Noise from patios and cyclists after hours is a real concern,walkup,EML-0502588
RSP-101226,2026-04-12,community_meeting_signin,Plateau-Mont-Royal,en,individual_resident,Rachel,support,enforcement,delivery_access,I bike to work on Rachel every day and this will make it safer,reminder_sms,SMS-0501426
RSP-101349,2026-04-12,portal,Mile End,fr,resident_association,Saint_Laurent_North,neutral,parking_loss,,Les enfants pourront enfin traverser Mont Royal sans stress,walkup,SMS-0900266
RSP-101502,2026-04-12,portal,Milton-Parc,en,individual_resident,Saint_Denis,support,tree_canopy,transit_frequency,Trees and benches will make this corridor liveable again,portal_search,SMS-0500351
RSP-101608,2026-04-12,portal,Mile End,en,individual_resident,Saint_Laurent_North,strong_support,parking_loss,tree_canopy,Transit stops need to be redesigned for accessibility,portal_search,SMS-0900380
RSP-102517,2026-04-12,intercept_survey,Mile End,fr,community_group,Saint_Denis,strong_support,pedestrian_safety,,Il faut plus d arbres sur Saint Laurent nord et un trottoir plus large,portal_search,SMS-0501442
RSP-102662,2026-04-12,intercept_survey,Mile End,en,business_owner,Multiple,support,snow_removal,,The community meetings have been well organized and thoughtful,direct_link,EML-0502732
RSP-102869,2026-04-12,portal,Milton-Parc,fr,individual_resident,Saint_Joseph,support,tree_canopy,,Le nouveau design de l arret rendra le service beaucoup plus fiable,portal_search,EML-0501997
RSP-103210,2026-04-12,email_form,Mile End,fr,individual_resident,Mont_Royal,strong_support,tree_canopy,snow_removal,Il faut plus d arbres sur Saint Laurent nord et un trottoir plus large,meeting_flyer,SMS-0501207
RSP-100137,2026-04-13,community_meeting_signin,Plateau-Mont-Royal,en,business_owner,Saint_Joseph,support,parking_loss,enforcement,Transit stops need to be redesigned for accessibility,walkup,SMS-0500413
RSP-100196,2026-04-13,portal,Jeanne-Mance,en,individual_resident,Rachel,neutral,transit_frequency,tree_canopy,As a small business owner I welcome slower traffic and more foot traffic,walkup,SMS-0900342
RSP-100256,2026-04-13,sms_reply,Plateau-Mont-Royal,en,resident_association,Rachel,support,pedestrian_safety,,I bike to work on Rachel every day and this will make it safer,meeting_flyer,SMS-0500978
RSP-100612,2026-04-13,portal,Plateau-Mont-Royal,en,individual_resident,Multiple,neutral,parking_loss,,The community meetings have been well organized and thoughtful,walkup,EML-0501535
RSP-100660,2026-04-13,portal,Milton-Parc,ar,individual_resident,Saint_Laurent_North,neutral,pedestrian_safety,transit_frequency,3adad al ashjar 3ala assharia3 mahdood,social_share,EML-0501759
RSP-100880,2026-04-13,community_meeting_signin,Jeanne-Mance,fr,individual_resident,Mont_Royal,strong_support,tree_canopy,delivery_access,Un corridor cyclable continu sur Rachel c est vraiment attendu,portal_search,EML-0501525
RSP-101820,2026-04-13,portal,Mile End,fr,individual_resident,Rachel,neutral,bike_lane_safety,delivery_access,Ma petite entreprise gagne quand le quartier est marchable,reminder_sms,EML-0502604
RSP-101891,2026-04-13,intercept_survey,Plateau-Mont-Royal,en,individual_resident,Saint_Laurent_North,strong_opposition,snow_removal,,Snow removal on the new lane must be reliable or it defeats the purpose,reminder_email,SMS-0900481
RSP-102034,2026-04-13,portal,Plateau-Mont-Royal,en,individual_resident,Rachel,neutral,enforcement,snow_removal,My kids can finally walk to school without dodging cars,reminder_sms,SMS-0501459
RSP-102362,2026-04-13,intercept_survey,Mile End,fr,individual_resident,Multiple,support,enforcement,pedestrian_safety,Un corridor cyclable continu sur Rachel c est vraiment attendu,direct_link,EML-0900620
RSP-102565,2026-04-13,intercept_survey,Plateau-Mont-Royal,bn,business_owner,Multiple,support,parking_loss,transit_frequency,amader elakay tar shathe kotha bola dorkar,direct_link,SMS-0500778
RSP-102914,2026-04-13,portal,Jeanne-Mance,fr,advocacy_group,Saint_Laurent_North,strong_support,accessibility,enforcement,Les livraisons peuvent tres bien se faire tot le matin,meeting_flyer,SMS-0501260
RSP-103013,2026-04-13,intercept_survey,Milton-Parc,en,resident_association,Saint_Denis,neutral,transit_frequency,bike_lane_safety,My kids can finally walk to school without dodging cars,reminder_email,
RSP-100321,2026-04-14,portal,Jeanne-Mance,fr,individual_resident,Rachel,strong_opposition,tree_canopy,enforcement,Le bruit des terrasses jusque tard le soir est deja un enjeu,reminder_sms,EML-0501608
RSP-100335,2026-04-14,intercept_survey,Plateau-Mont-Royal,fr,resident_association,Saint_Denis,support,tree_canopy,pedestrian_safety,Ma petite entreprise gagne quand le quartier est marchable,social_share,EML-0502108
RSP-100954,2026-04-14,portal,Plateau-Mont-Royal,ur,developer_rep,Saint_Laurent_North,concern,pedestrian_safety,enforcement,sabzi wale ke liye subah ki delivery zaroori hai,direct_link,SMS-0500404
RSP-100995,2026-04-14,intercept_survey,Mile End,en,individual_resident,Multiple,neutral,snow_removal,noise,A protected lane on Saint Denis is long overdue,meeting_flyer,EML-0502047
RSP-101541,2026-04-14,portal,Plateau-Mont-Royal,fr,individual_resident,Saint_Denis,support,parking_loss,accessibility,Les enfants pourront enfin traverser Mont Royal sans stress,portal_search,SMS-0500666
RSP-101601,2026-04-14,portal,Plateau-Mont-Royal,en,individual_resident,Rachel,support,delivery_access,,Transit stops need to be redesigned for accessibility,portal_search,SMS-0500958
RSP-101672,2026-04-14,portal,Plateau-Mont-Royal,en,individual_resident,Saint_Joseph,support,bike_lane_safety,noise,A protected lane on Saint Denis is long overdue,portal_search,EML-0502625
RSP-101753,2026-04-14,email_form,Plateau-Mont-Royal,fr,individual_resident,Saint_Denis,strong_support,bike_lane_safety,transit_frequency,Les livraisons peuvent tres bien se faire tot le matin,direct_link,SMS-0500838
RSP-101856,2026-04-14,sms_reply,Plateau-Mont-Royal,fr,individual_resident,Saint_Denis,neutral,enforcement,displacement_risk,Je marche cette rue tous les matins et une piste protegee change tout,meeting_flyer,SMS-0900880
RSP-102145,2026-04-14,intercept_survey,Plateau-Mont-Royal,en,individual_resident,Saint_Laurent_North,neutral,pedestrian_safety,,Please keep the plan strong the neighbourhood needs this,reminder_email,SMS-0501035
RSP-102274,2026-04-14,sms_reply,Plateau-Mont-Royal,fr,individual_resident,Saint_Joseph,neutral,pedestrian_safety,parking_loss,Les livraisons peuvent tres bien se faire tot le matin,social_share,SMS-0500023
RSP-102457,2026-04-14,portal,Plateau-Mont-Royal,en,developer_rep,None,support,delivery_access,parking_loss,I bike to work on Rachel every day and this will make it safer,meeting_flyer,SMS-0900183
RSP-102748,2026-04-14,intercept_survey,Mile End,fr,business_owner,Multiple,neutral,parking_loss,,Je marche cette rue tous les matins et une piste protegee change tout,meeting_flyer,SMS-0900557
RSP-102768,2026-04-14,portal,Plateau-Mont-Royal,fr,business_owner,Saint_Denis,strong_opposition,accessibility,delivery_access,Je crains les impacts sur mon commerce si les livraisons sont bloquees,reminder_email,EML-0501624
RSP-103116,2026-04-14,sms_reply,Jeanne-Mance,fr,individual_resident,Saint_Denis,neutral,displacement_risk,snow_removal,Les enfants pourront enfin traverser Mont Royal sans stress,direct_link,SMS-0900890
RSP-103122,2026-04-14,intercept_survey,Jeanne-Mance,es,resident_association,Saint_Laurent_North,support,enforcement,,las ventanas de entrega en la manana son importantes,social_share,SMS-0501361
RSP-103191,2026-04-14,portal,Plateau-Mont-Royal,fr,individual_resident,Saint_Denis,support,accessibility,,Le nouveau design de l arret rendra le service beaucoup plus fiable,social_share,SMS-0500876
RSP-103418,2026-04-14,portal,Plateau-Mont-Royal,fr,advocacy_group,Saint_Laurent_North,strong_support,displacement_risk,pedestrian_safety,Les enfants pourront enfin traverser Mont Royal sans stress,reminder_email,EML-0501510
RSP-100104,2026-04-15,intercept_survey,Plateau-Mont-Royal,fr,individual_resident,Mont_Royal,strong_support,accessibility,,Le nouveau design de l arret rendra le service beaucoup plus fiable,reminder_email,EML-0502012
RSP-100238,2026-04-15,community_meeting_signin,Plateau-Mont-Royal,fr,individual_resident,Rachel,strong_opposition,displacement_risk,pedestrian_safety,Le bruit des terrasses jusque tard le soir est deja un enjeu,reminder_email,SMS-0500232
