citation_short_id	source_type	refresh_date	refreshed_content_summary	replaces_entry_dated	notes
cit_routine_013	thesis	2026-04-13	Routine freshness check passed, no source-side revisions.	2026-02-19	Standard quarterly refresh.
cit_routine_014	podcast episode	2026-04-14	Routine freshness check passed, no source-side revisions.	2026-02-20	Standard quarterly refresh.
cit_routine_015	journal article	2026-04-15	Routine freshness check passed, no source-side revisions.	2026-02-21	Standard quarterly refresh.
cit_routine_016	archival record	2026-04-16	Routine freshness check passed, no source-side revisions.	2026-02-22	Standard quarterly refresh.
cit_routine_017	oral history	2026-04-17	Routine freshness check passed, no source-side revisions.	2026-02-23	Standard quarterly refresh.
cit_routine_018	newspaper	2026-04-18	Routine freshness check passed, no source-side revisions.	2026-02-24	Standard quarterly refresh.
cit_routine_019	monograph	2026-04-19	Routine freshness check passed, no source-side revisions.	2026-02-25	Standard quarterly refresh.
cit_routine_020	thesis	2026-04-20	Routine freshness check passed, no source-side revisions.	2026-02-26	Standard quarterly refresh.
cit_routine_021	podcast episode	2026-04-21	Routine freshness check passed, no source-side revisions.	2026-02-27	Standard quarterly refresh.
cit_routine_022	journal article	2026-04-22	Routine freshness check passed, no source-side revisions.	2026-02-01	Standard quarterly refresh.
cit_routine_023	archival record	2026-04-23	Routine freshness check passed, no source-side revisions.	2026-02-02	Standard quarterly refresh.
cit_routine_024	oral history	2026-04-24	Routine freshness check passed, no source-side revisions.	2026-02-03	Standard quarterly refresh.
cit_routine_025	newspaper	2026-04-25	Routine freshness check passed, no source-side revisions.	2026-02-04	Standard quarterly refresh.
cit_routine_026	monograph	2026-04-26	Routine freshness check passed, no source-side revisions.	2026-02-05	Standard quarterly refresh.
cit_routine_027	thesis	2026-04-27	Routine freshness check passed, no source-side revisions.	2026-02-06	Standard quarterly refresh.
cit_routine_028	podcast episode	2026-04-28	Routine freshness check passed, no source-side revisions.	2026-02-07	Standard quarterly refresh.
cit_routine_029	journal article	2026-05-01	Routine freshness check passed, no source-side revisions.	2026-03-07	Standard quarterly refresh.
cit_routine_030	archival record	2026-05-02	Routine freshness check passed, no source-side revisions.	2026-03-08	Standard quarterly refresh.
cit_routine_031	oral history	2026-05-03	Routine freshness check passed, no source-side revisions.	2026-03-09	Standard quarterly refresh.
cit_routine_032	newspaper	2026-05-04	Routine freshness check passed, no source-side revisions.	2026-03-10	Standard quarterly refresh.
cit_routine_033	monograph	2026-05-05	Routine freshness check passed, no source-side revisions.	2026-03-11	Standard quarterly refresh.
cit_routine_034	thesis	2026-05-06	Routine freshness check passed, no source-side revisions.	2026-03-12	Standard quarterly refresh.
cit_routine_035	podcast episode	2026-05-07	Routine freshness check passed, no source-side revisions.	2026-03-13	Standard quarterly refresh.
cit_routine_036	journal article	2026-05-08	Routine freshness check passed, no source-side revisions.	2026-03-14	Standard quarterly refresh.
cit_routine_037	archival record	2026-05-09	Routine freshness check passed, no source-side revisions.	2026-03-15	Standard quarterly refresh.
cit_routine_038	oral history	2026-05-10	Routine freshness check passed, no source-side revisions.	2026-03-16	Standard quarterly refresh.
cit_routine_039	newspaper	2026-05-11	Routine freshness check passed, no source-side revisions.	2026-03-17	Standard quarterly refresh.
cit_routine_040	monograph	2026-05-12	Routine freshness check passed, no source-side revisions.	2026-03-18	Standard quarterly refresh.
cit_routine_041	thesis	2026-05-13	Routine freshness check passed, no source-side revisions.	2026-03-19	Standard quarterly refresh.
cit_routine_042	podcast episode	2026-05-14	Routine freshness check passed, no source-side revisions.	2026-03-20	Standard quarterly refresh.
cit_routine_043	journal article	2026-05-15	Routine freshness check passed, no source-side revisions.	2026-03-21	Standard quarterly refresh.
cit_routine_044	archival record	2026-05-16	Routine freshness check passed, no source-side revisions.	2026-03-22	Standard quarterly refresh.
cit_routine_045	oral history	2026-05-17	Routine freshness check passed, no source-side revisions.	2026-03-23	Standard quarterly refresh.
cit_routine_046	newspaper	2026-05-18	Routine freshness check passed, no source-side revisions.	2026-03-24	Standard quarterly refresh.
cit_routine_047	monograph	2026-05-19	Routine freshness check passed, no source-side revisions.	2026-03-25	Standard quarterly refresh.
cit_routine_048	thesis	2026-05-20	Routine freshness check passed, no source-side revisions.	2026-03-26	Standard quarterly refresh.
cit_routine_049	podcast episode	2026-05-21	Routine freshness check passed, no source-side revisions.	2026-03-27	Standard quarterly refresh.
cit_routine_050	journal article	2026-05-22	Routine freshness check passed, no source-side revisions.	2026-03-01	Standard quarterly refresh.
cit_routine_051	archival record	2026-05-23	Routine freshness check passed, no source-side revisions.	2026-03-02	Standard quarterly refresh.
cit_routine_052	oral history	2026-05-24	Routine freshness check passed, no source-side revisions.	2026-03-03	Standard quarterly refresh.
cit_routine_053	newspaper	2026-05-25	Routine freshness check passed, no source-side revisions.	2026-03-04	Standard quarterly refresh.
cit_routine_054	monograph	2026-05-26	Routine freshness check passed, no source-side revisions.	2026-03-05	Standard quarterly refresh.
cit_routine_055	thesis	2026-05-27	Routine freshness check passed, no source-side revisions.	2026-03-06	Standard quarterly refresh.
cit_routine_056	podcast episode	2026-05-28	Routine freshness check passed, no source-side revisions.	2026-03-07	Standard quarterly refresh.
cit_routine_057	journal article	2026-06-01	Routine freshness check passed, no source-side revisions.	2026-04-07	Standard quarterly refresh.
cit_routine_058	archival record	2026-06-02	Routine freshness check passed, no source-side revisions.	2026-04-08	Standard quarterly refresh.
cit_routine_059	oral history	2026-06-03	Routine freshness check passed, no source-side revisions.	2026-04-09	Standard quarterly refresh.
cit_routine_060	newspaper	2026-06-04	Routine freshness check passed, no source-side revisions.	2026-04-10	Standard quarterly refresh.
