ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1759754590.000000,C01SWAPS,U01DEVON,swap Thu 4:30 to 6:30 anyone,,0,
1759754680.000000,C01HEP,U01KIARA,shift confirmation for next weekend,,0,
1759754770.000000,C01NURS28,U01MARISOL,Jarvis chapter 8 review pool,,0,
1759754860.000000,C01DINING,U01HASSAN,grill station running low on patties,,0,
1759754950.000000,C01SWAPS,U01RAY,swap Thu 4:30 to 6:30 anyone,,0,
1759755040.000000,C01HEP,U01MARCUS,Marisol posted new opening,,0,
1759755130.000000,C01NURS28,U01DEVON,study group tonight in Barnwell,,0,
1759755220.000000,C01DINING,U01KIARA,who is on prep tomorrow morning,,0,
1759755310.000000,C01SWAPS,U01MARISOL,posting my Dec 4 shift for pickup,,0,
1759755400.000000,C01HEP,U01HASSAN,Salesforce updated with last shift,,0,
1759755490.000000,C01NURS28,U01RAY,study group tonight in Barnwell,,0,
1759755580.000000,C01DINING,U01MARCUS,coffee bar restock needed,,0,
1759755670.000000,C01SWAPS,U01DEVON,cannot cover Nov 5 need swap,,0,
1759755760.000000,C01HEP,U01KIARA,Marisol posted new opening,,0,
1759755850.000000,C01NURS28,U01MARISOL,sharing Karch flashcards deck,,0,
1759755940.000000,C01DINING,U01HASSAN,Ray reminder wear closed toe shoes,,0,
1759756030.000000,C01SWAPS,U01RAY,opened swap posted approved by Ray,,0,
1759756120.000000,C01HEP,U01MARCUS,bring gloves and pens to intake table,,0,
1759756210.000000,C01NURS28,U01DEVON,sim lab rotation posted,,0,
1759756300.000000,C01DINING,U01KIARA,grill station running low on patties,,0,
1759756390.000000,C01SWAPS,U01MARISOL,posting my Dec 4 shift for pickup,,0,
1759756480.000000,C01HEP,U01HASSAN,check parking permit at HEP guide page,,0,
1759756570.000000,C01NURS28,U01RAY,study group tonight in Barnwell,,0,
1759756660.000000,C01DINING,U01MARCUS,big rush after chapel service today,,0,
1759756750.000000,C01SWAPS,U01DEVON,cannot cover Nov 5 need swap,,0,
1759756840.000000,C01HEP,U01KIARA,bring gloves and pens to intake table,,0,
1759756930.000000,C01NURS28,U01MARISOL,sharing Karch flashcards deck,,0,
1759757020.000000,C01DINING,U01HASSAN,grill station running low on patties,,0,
1759757110.000000,C01SWAPS,U01RAY,opened swap posted approved by Ray,,0,
1759757200.000000,C01HEP,U01MARCUS,Salesforce updated with last shift,,0,
1759757290.000000,C01NURS28,U01DEVON,midterm scores went up,,0,
1759757380.000000,C01DINING,U01KIARA,closing checklist done for tonight,,0,
1759757470.000000,C01SWAPS,U01MARISOL,trading Sat 7 for Tue 4:30,,0,
1759757560.000000,C01HEP,U01HASSAN,shift confirmation for next weekend,,0,
1759757650.000000,C01NURS28,U01RAY,sim lab rotation posted,,0,
1759757740.000000,C01DINING,U01MARCUS,closing checklist done for tonight,,0,
1759757830.000000,C01SWAPS,U01DEVON,cannot cover Nov 5 need swap,,0,
1759757920.000000,C01HEP,U01KIARA,Marisol posted new opening,,0,
1759758010.000000,C01NURS28,U01MARISOL,Jarvis chapter 8 review pool,,0,
1759758100.000000,C01DINING,U01HASSAN,big rush after chapel service today,,0,
1759758190.000000,C01SWAPS,U01RAY,swap Thu 4:30 to 6:30 anyone,,0,
1759758280.000000,C01HEP,U01MARCUS,bring gloves and pens to intake table,,0,
1759758370.000000,C01NURS28,U01DEVON,sharing Karch flashcards deck,,0,
1759758460.000000,C01DINING,U01KIARA,coffee bar restock needed,,0,
1759758550.000000,C01SWAPS,U01MARISOL,opened swap posted approved by Ray,,0,
1759758640.000000,C01HEP,U01HASSAN,check parking permit at HEP guide page,,0,
1759758730.000000,C01NURS28,U01RAY,midterm scores went up,,0,
1759758820.000000,C01DINING,U01MARCUS,big rush after chapel service today,,0,
1759758910.000000,C01SWAPS,U01DEVON,trading Sat 7 for Tue 4:30,,0,
1759759000.000000,C01HEP,U01KIARA,Marisol posted new opening,,0,
1759759090.000000,C01NURS28,U01MARISOL,study group tonight in Barnwell,,0,
1759759180.000000,C01DINING,U01HASSAN,Ray reminder wear closed toe shoes,,0,
1759759270.000000,C01SWAPS,U01RAY,swap Thu 4:30 to 6:30 anyone,,0,
1759759360.000000,C01HEP,U01MARCUS,Marisol posted new opening,,0,
1759759450.000000,C01NURS28,U01DEVON,quick pharm calc practice pushed,,0,
1759759540.000000,C01DINING,U01KIARA,closing checklist done for tonight,,0,
1759759630.000000,C01SWAPS,U01MARISOL,trading Sat 7 for Tue 4:30,,0,
1759759720.000000,C01HEP,U01HASSAN,check parking permit at HEP guide page,,0,
1759759810.000000,C01NURS28,U01RAY,Jarvis chapter 8 review pool,,0,
1759759900.000000,C01DINING,U01MARCUS,Ray sending home extra pastries wrap up,,0,
1759759990.000000,C01SWAPS,U01DEVON,cannot cover Nov 5 need swap,,0,
1759760080.000000,C01HEP,U01KIARA,bring gloves and pens to intake table,,0,
1759760170.000000,C01NURS28,U01MARISOL,Jarvis chapter 8 review pool,,0,
1759760260.000000,C01DINING,U01HASSAN,who is on prep tomorrow morning,,0,
1759760350.000000,C01SWAPS,U01RAY,cannot cover Nov 5 need swap,,0,
1759760440.000000,C01HEP,U01MARCUS,Marisol posted new opening,,0,
1759760530.000000,C01NURS28,U01DEVON,study group tonight in Barnwell,,0,
1759760620.000000,C01DINING,U01KIARA,coffee bar restock needed,,0,
1759760710.000000,C01SWAPS,U01MARISOL,trading Sat 7 for Tue 4:30,,0,
1759760800.000000,C01HEP,U01HASSAN,check parking permit at HEP guide page,,0,
1759760890.000000,C01NURS28,U01RAY,sim lab rotation posted,,0,
1759760980.000000,C01DINING,U01MARCUS,grill station running low on patties,,0,
1759761070.000000,C01SWAPS,U01DEVON,cannot cover Nov 5 need swap,,0,
1759761160.000000,C01HEP,U01KIARA,check parking permit at HEP guide page,,0,
1759761250.000000,C01NURS28,U01MARISOL,midterm scores went up,,0,
1759761340.000000,C01DINING,U01HASSAN,coffee bar restock needed,,0,
1759761430.000000,C01SWAPS,U01RAY,opened swap posted approved by Ray,,0,
1759761520.000000,C01HEP,U01MARCUS,Salesforce updated with last shift,,0,
1759761610.000000,C01NURS28,U01DEVON,Jarvis chapter 8 review pool,,0,
1759761700.000000,C01DINING,U01KIARA,Ray sending home extra pastries wrap up,,0,
1759761790.000000,C01SWAPS,U01MARISOL,cannot cover Nov 5 need swap,,0,
1759761880.000000,C01HEP,U01HASSAN,shift confirmation for next weekend,,0,
1759761970.000000,C01NURS28,U01RAY,study group tonight in Barnwell,,0,
1759762060.000000,C01DINING,U01MARCUS,big rush after chapel service today,,0,
1759762150.000000,C01SWAPS,U01DEVON,opened swap posted approved by Ray,,0,
1759762240.000000,C01HEP,U01KIARA,bring gloves and pens to intake table,,0,
1759762330.000000,C01NURS28,U01MARISOL,study group tonight in Barnwell,,0,
1759762420.000000,C01DINING,U01HASSAN,coffee bar restock needed,,0,
1759762510.000000,C01SWAPS,U01RAY,cannot cover Nov 5 need swap,,0,
1759762600.000000,C01HEP,U01MARCUS,Marisol posted new opening,,0,
1759762690.000000,C01NURS28,U01DEVON,sharing Karch flashcards deck,,0,
1759762780.000000,C01DINING,U01KIARA,closing checklist done for tonight,,0,
1759762870.000000,C01SWAPS,U01MARISOL,cannot cover Nov 5 need swap,,0,
1759762960.000000,C01HEP,U01HASSAN,Marisol posted new opening,,0,
1759763050.000000,C01NURS28,U01RAY,study group tonight in Barnwell,,0,
1759763140.000000,C01DINING,U01MARCUS,Ray sending home extra pastries wrap up,,0,
1759763230.000000,C01SWAPS,U01DEVON,posting my Dec 4 shift for pickup,,0,
1759763320.000000,C01HEP,U01KIARA,shift confirmation for next weekend,,0,
1759763410.000000,C01NURS28,U01MARISOL,sim lab rotation posted,,0,
1759763500.000000,C01DINING,U01HASSAN,closing checklist done for tonight,,0,
1759763590.000000,C01SWAPS,U01RAY,posting my Dec 4 shift for pickup,,0,
1759763680.000000,C01HEP,U01MARCUS,Marisol posted new opening,,0,
1759763770.000000,C01NURS28,U01DEVON,study group tonight in Barnwell,,0,
1759763860.000000,C01DINING,U01KIARA,grill station running low on patties,,0,
1759763950.000000,C01SWAPS,U01MARISOL,picking up Saturday breakfast slot,,0,
1759764040.000000,C01HEP,U01HASSAN,Marisol posted new opening,,0,
1759764130.000000,C01NURS28,U01RAY,Jarvis chapter 8 review pool,,0,
1759764220.000000,C01DINING,U01MARCUS,grill station running low on patties,,0,
1759764310.000000,C01SWAPS,U01DEVON,posting my Dec 4 shift for pickup,,0,
1759764400.000000,C01HEP,U01KIARA,shift confirmation for next weekend,,0,
1759764490.000000,C01NURS28,U01MARISOL,sharing Karch flashcards deck,,0,
1759764580.000000,C01DINING,U01HASSAN,Ray sending home extra pastries wrap up,,0,
1759764670.000000,C01SWAPS,U01RAY,swap Thu 4:30 to 6:30 anyone,,0,
1759764760.000000,C01HEP,U01MARCUS,flu clinic sign in sheet remember to sign,,0,
1759764850.000000,C01NURS28,U01DEVON,sharing Karch flashcards deck,,0,
1759764940.000000,C01DINING,U01KIARA,Ray reminder wear closed toe shoes,,0,
1759765030.000000,C01SWAPS,U01MARISOL,posting my Dec 4 shift for pickup,,0,
1759765120.000000,C01HEP,U01HASSAN,bring gloves and pens to intake table,,0,
1759765210.000000,C01NURS28,U01RAY,midterm scores went up,,0,
1759765300.000000,C01DINING,U01MARCUS,Ray sending home extra pastries wrap up,,0,
1759765390.000000,C01SWAPS,U01DEVON,swap Thu 4:30 to 6:30 anyone,,0,
1759765480.000000,C01HEP,U01KIARA,flu clinic sign in sheet remember to sign,,0,
1759765570.000000,C01NURS28,U01MARISOL,Jarvis chapter 8 review pool,,0,
1759765660.000000,C01DINING,U01HASSAN,grill station running low on patties,,0,
1759765750.000000,C01SWAPS,U01RAY,opened swap posted approved by Ray,,0,
1759765840.000000,C01HEP,U01MARCUS,flu clinic sign in sheet remember to sign,,0,
1759765930.000000,C01NURS28,U01DEVON,midterm scores went up,,0,
1759766020.000000,C01DINING,U01KIARA,who is on prep tomorrow morning,,0,
1759766110.000000,C01SWAPS,U01MARISOL,cannot cover Nov 5 need swap,,0,
1759766200.000000,C01HEP,U01HASSAN,bring gloves and pens to intake table,,0,
1759766290.000000,C01NURS28,U01RAY,sim lab rotation posted,,0,
1759766380.000000,C01DINING,U01MARCUS,Ray sending home extra pastries wrap up,,0,
1759766470.000000,C01SWAPS,U01DEVON,swap Thu 4:30 to 6:30 anyone,,0,
1759766560.000000,C01HEP,U01KIARA,bring gloves and pens to intake table,,0,
1759766650.000000,C01NURS28,U01MARISOL,midterm scores went up,,0,
1759766740.000000,C01DINING,U01HASSAN,who is on prep tomorrow morning,,0,
1759766830.000000,C01SWAPS,U01RAY,posting my Dec 4 shift for pickup,,0,
1759766920.000000,C01HEP,U01MARCUS,bring gloves and pens to intake table,,0,
1759767010.000000,C01NURS28,U01DEVON,study group tonight in Barnwell,,0,
1759767100.000000,C01DINING,U01KIARA,Ray reminder wear closed toe shoes,,0,
1759767190.000000,C01SWAPS,U01MARISOL,opened swap posted approved by Ray,,0,
1759767280.000000,C01HEP,U01HASSAN,shift confirmation for next weekend,,0,
1759767370.000000,C01NURS28,U01RAY,Jarvis chapter 8 review pool,,0,
1759767460.000000,C01DINING,U01MARCUS,grill station running low on patties,,0,
1759767550.000000,C01SWAPS,U01DEVON,opened swap posted approved by Ray,,0,
1759767640.000000,C01HEP,U01KIARA,bring gloves and pens to intake table,,0,
1759767730.000000,C01NURS28,U01MARISOL,study group tonight in Barnwell,,0,
1759767820.000000,C01DINING,U01HASSAN,Ray sending home extra pastries wrap up,,0,
1759767910.000000,C01SWAPS,U01RAY,posting my Dec 4 shift for pickup,,0,
1759768000.000000,C01HEP,U01MARCUS,flu clinic sign in sheet remember to sign,,0,
1759768090.000000,C01NURS28,U01DEVON,quick pharm calc practice pushed,,0,
1759768180.000000,C01DINING,U01KIARA,who is on prep tomorrow morning,,0,
1759768270.000000,C01SWAPS,U01MARISOL,picking up Saturday breakfast slot,,0,
1759768360.000000,C01HEP,U01HASSAN,flu clinic sign in sheet remember to sign,,0,
1759768450.000000,C01NURS28,U01RAY,sharing Karch flashcards deck,,0,
1759768540.000000,C01DINING,U01MARCUS,Ray reminder wear closed toe shoes,,0,
1759768630.000000,C01SWAPS,U01DEVON,swap Thu 4:30 to 6:30 anyone,,0,
1759768720.000000,C01HEP,U01KIARA,check parking permit at HEP guide page,,0,
1759768810.000000,C01NURS28,U01MARISOL,Jarvis chapter 8 review pool,,0,
1759768900.000000,C01DINING,U01HASSAN,coffee bar restock needed,,0,
1759768990.000000,C01SWAPS,U01RAY,trading Sat 7 for Tue 4:30,,0,
1759769080.000000,C01HEP,U01MARCUS,check parking permit at HEP guide page,,0,
1759769170.000000,C01NURS28,U01DEVON,study group tonight in Barnwell,,0,
1759769260.000000,C01DINING,U01KIARA,grill station running low on patties,,0,
1759769350.000000,C01SWAPS,U01MARISOL,trading Sat 7 for Tue 4:30,,0,
1759769440.000000,C01HEP,U01HASSAN,Marisol posted new opening,,0,
1759769530.000000,C01NURS28,U01RAY,Jarvis chapter 8 review pool,,0,
1759769620.000000,C01DINING,U01MARCUS,coffee bar restock needed,,0,
1759769710.000000,C01SWAPS,U01DEVON,picking up Saturday breakfast slot,,0,
1759769800.000000,C01HEP,U01KIARA,bring gloves and pens to intake table,,0,
1759769890.000000,C01NURS28,U01MARISOL,Jarvis chapter 8 review pool,,0,
1759769980.000000,C01DINING,U01HASSAN,grill station running low on patties,,0,
1759770070.000000,C01SWAPS,U01RAY,cannot cover Nov 5 need swap,,0,
1759770160.000000,C01HEP,U01MARCUS,check parking permit at HEP guide page,,0,
1759770250.000000,C01NURS28,U01DEVON,sharing Karch flashcards deck,,0,
1759770340.000000,C01DINING,U01KIARA,closing checklist done for tonight,,0,
1759770430.000000,C01SWAPS,U01MARISOL,posting my Dec 4 shift for pickup,,0,
1759770520.000000,C01HEP,U01HASSAN,Salesforce updated with last shift,,0,
1759770610.000000,C01NURS28,U01RAY,quick pharm calc practice pushed,,0,
