id,title,organizationId,location,workplaceType,employmentType,seniority,keywords,postedAt,applicants,description
jobs_00028,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00028,"Missoula, MT",workplacetype-00028,employmenttype-00028,seniority-00028,trail|interp,2025-12-21T21:57:00Z,199,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00029,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00029,"Bozeman, MT",workplacetype-00029,employmenttype-00029,seniority-00029,family|ranger,2026-06-14T08:55:00Z,168,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00030,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00030,"West Glacier, MT",workplacetype-00030,employmenttype-00030,seniority-00030,gear|family,2025-08-19T22:43:00Z,353,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00031,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00031,"Missoula, MT",workplacetype-00031,employmenttype-00031,seniority-00031,glacier|photography,2026-07-09T11:02:00Z,27,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00032,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00032,"West Glacier, MT",workplacetype-00032,employmenttype-00032,seniority-00032,trail|safety,2025-05-08T06:08:00Z,226,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00033,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00033,"Kalispell, MT",workplacetype-00033,employmenttype-00033,seniority-00033,backcountry|ranger,2025-08-18T14:34:00Z,183,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00034,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00034,"Missoula, MT",workplacetype-00034,employmenttype-00034,seniority-00034,interp|gear,2026-07-24T05:45:00Z,342,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00035,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00035,"West Glacier, MT",workplacetype-00035,employmenttype-00035,seniority-00035,ranger|interp,2024-10-13T08:52:00Z,70,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00036,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00036,"Whitefish, MT",workplacetype-00036,employmenttype-00036,seniority-00036,ranger|photography,2025-04-28T09:55:00Z,125,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00037,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00037,"Kalispell, MT",workplacetype-00037,employmenttype-00037,seniority-00037,ranger|glacier,2024-10-23T21:19:00Z,216,Post-season interpretive review — evening astronomy programs held attention.
jobs_00038,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00038,"Bozeman, MT",workplacetype-00038,employmenttype-00038,seniority-00038,interp|gear,2026-06-06T10:04:00Z,231,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00039,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00039,"Bozeman, MT",workplacetype-00039,employmenttype-00039,seniority-00039,trail|winter,2024-10-14T23:31:00Z,88,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00040,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00040,"Bozeman, MT",workplacetype-00040,employmenttype-00040,seniority-00040,gear|photography,2026-01-21T13:31:00Z,123,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00041,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00041,"West Glacier, MT",workplacetype-00041,employmenttype-00041,seniority-00041,interp|glacier,2026-08-21T16:30:00Z,209,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00042,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00042,"Kalispell, MT",workplacetype-00042,employmenttype-00042,seniority-00042,backcountry|family,2025-01-17T17:52:00Z,237,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00043,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00043,"West Glacier, MT",workplacetype-00043,employmenttype-00043,seniority-00043,glacier|gear,2026-11-04T14:12:00Z,133,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00044,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00044,"Kalispell, MT",workplacetype-00044,employmenttype-00044,seniority-00044,interp|winter,2025-05-30T09:10:00Z,201,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00045,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00045,"West Glacier, MT",workplacetype-00045,employmenttype-00045,seniority-00045,trail|backcountry,2024-11-02T19:38:00Z,301,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00046,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00046,"Whitefish, MT",workplacetype-00046,employmenttype-00046,seniority-00046,backcountry|safety,2026-04-02T13:45:00Z,267,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00047,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00047,"Kalispell, MT",workplacetype-00047,employmenttype-00047,seniority-00047,family|gear,2026-07-23T21:07:00Z,5,Post-season interpretive review — evening astronomy programs held attention.
jobs_00048,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00048,"Whitefish, MT",workplacetype-00048,employmenttype-00048,seniority-00048,interp|safety,2025-06-04T08:38:00Z,322,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00049,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00049,"West Glacier, MT",workplacetype-00049,employmenttype-00049,seniority-00049,ranger|gear,2026-11-07T06:51:00Z,116,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00050,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00050,"West Glacier, MT",workplacetype-00050,employmenttype-00050,seniority-00050,photography|interp,2025-10-19T17:54:00Z,440,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00051,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00051,"Bozeman, MT",workplacetype-00051,employmenttype-00051,seniority-00051,ranger|backcountry,2026-11-08T13:57:00Z,498,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00052,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00052,"Missoula, MT",workplacetype-00052,employmenttype-00052,seniority-00052,interp|winter,2025-09-28T12:14:00Z,415,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00053,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00053,"Missoula, MT",workplacetype-00053,employmenttype-00053,seniority-00053,family|interp,2026-10-01T13:56:00Z,262,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00054,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00054,"West Glacier, MT",workplacetype-00054,employmenttype-00054,seniority-00054,trail|safety,2026-04-03T22:36:00Z,146,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00055,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00055,"Missoula, MT",workplacetype-00055,employmenttype-00055,seniority-00055,safety|ranger,2025-12-04T01:49:00Z,3,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00056,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00056,"West Glacier, MT",workplacetype-00056,employmenttype-00056,seniority-00056,interp|ranger,2026-06-10T08:46:00Z,52,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00057,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00057,"Kalispell, MT",workplacetype-00057,employmenttype-00057,seniority-00057,trail|backcountry,2025-09-28T15:13:00Z,487,Post-season interpretive review — evening astronomy programs held attention.
jobs_00058,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00058,"Missoula, MT",workplacetype-00058,employmenttype-00058,seniority-00058,interp|gear,2025-03-23T12:45:00Z,46,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00059,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00059,"Bozeman, MT",workplacetype-00059,employmenttype-00059,seniority-00059,trail|glacier,2026-10-30T17:57:00Z,363,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00060,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00060,"Kalispell, MT",workplacetype-00060,employmenttype-00060,seniority-00060,winter|photography,2025-03-25T17:11:00Z,22,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00061,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00061,"West Glacier, MT",workplacetype-00061,employmenttype-00061,seniority-00061,backcountry|family,2024-10-14T22:08:00Z,94,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00062,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00062,"Bozeman, MT",workplacetype-00062,employmenttype-00062,seniority-00062,winter|family,2025-09-11T22:31:00Z,186,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00063,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00063,"Missoula, MT",workplacetype-00063,employmenttype-00063,seniority-00063,interp|photography,2025-02-02T21:13:00Z,171,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00064,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00064,"Whitefish, MT",workplacetype-00064,employmenttype-00064,seniority-00064,glacier|backcountry,2026-10-26T22:49:00Z,372,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00065,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00065,"Bozeman, MT",workplacetype-00065,employmenttype-00065,seniority-00065,backcountry|safety,2026-10-02T15:57:00Z,360,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00066,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00066,"Kalispell, MT",workplacetype-00066,employmenttype-00066,seniority-00066,trail|family,2025-01-27T01:07:00Z,379,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00067,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00067,"Whitefish, MT",workplacetype-00067,employmenttype-00067,seniority-00067,interp|gear,2025-04-07T06:24:00Z,68,Post-season interpretive review — evening astronomy programs held attention.
jobs_00068,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00068,"Kalispell, MT",workplacetype-00068,employmenttype-00068,seniority-00068,interp|gear,2026-08-07T01:48:00Z,163,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00069,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00069,"Kalispell, MT",workplacetype-00069,employmenttype-00069,seniority-00069,photography|interp,2026-08-17T08:54:00Z,116,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00070,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00070,"West Glacier, MT",workplacetype-00070,employmenttype-00070,seniority-00070,photography|ranger,2024-11-09T04:40:00Z,111,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00071,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00071,"Whitefish, MT",workplacetype-00071,employmenttype-00071,seniority-00071,glacier|gear,2026-03-09T19:35:00Z,244,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00072,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00072,"Bozeman, MT",workplacetype-00072,employmenttype-00072,seniority-00072,glacier|trail,2025-03-13T11:52:00Z,424,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00073,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00073,"Bozeman, MT",workplacetype-00073,employmenttype-00073,seniority-00073,gear|backcountry,2025-11-12T14:31:00Z,24,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00074,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00074,"Missoula, MT",workplacetype-00074,employmenttype-00074,seniority-00074,winter|ranger,2025-10-30T06:21:00Z,97,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00075,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00075,"West Glacier, MT",workplacetype-00075,employmenttype-00075,seniority-00075,ranger|trail,2026-07-18T23:11:00Z,454,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00076,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00076,"Kalispell, MT",workplacetype-00076,employmenttype-00076,seniority-00076,interp|ranger,2026-05-22T06:09:00Z,347,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00077,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00077,"West Glacier, MT",workplacetype-00077,employmenttype-00077,seniority-00077,backcountry|ranger,2025-07-26T22:28:00Z,299,Post-season interpretive review — evening astronomy programs held attention.
jobs_00078,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00078,"West Glacier, MT",workplacetype-00078,employmenttype-00078,seniority-00078,safety|glacier,2025-03-12T17:57:00Z,434,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00079,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00079,"Whitefish, MT",workplacetype-00079,employmenttype-00079,seniority-00079,interp|family,2026-03-23T15:25:00Z,290,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00080,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00080,"Missoula, MT",workplacetype-00080,employmenttype-00080,seniority-00080,glacier|backcountry,2026-07-09T13:13:00Z,255,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00081,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00081,"Whitefish, MT",workplacetype-00081,employmenttype-00081,seniority-00081,backcountry|family,2025-10-11T19:07:00Z,77,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00082,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00082,"Missoula, MT",workplacetype-00082,employmenttype-00082,seniority-00082,safety|interp,2026-11-07T16:55:00Z,418,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00083,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00083,"West Glacier, MT",workplacetype-00083,employmenttype-00083,seniority-00083,gear|photography,2025-12-20T19:15:00Z,382,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00084,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00084,"Missoula, MT",workplacetype-00084,employmenttype-00084,seniority-00084,gear|backcountry,2026-03-17T12:48:00Z,193,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00085,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00085,"Missoula, MT",workplacetype-00085,employmenttype-00085,seniority-00085,glacier|backcountry,2024-11-01T18:29:00Z,490,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00086,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00086,"Bozeman, MT",workplacetype-00086,employmenttype-00086,seniority-00086,photography|trail,2026-04-13T14:11:00Z,415,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00087,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00087,"West Glacier, MT",workplacetype-00087,employmenttype-00087,seniority-00087,family|photography,2025-01-13T12:37:00Z,63,Post-season interpretive review — evening astronomy programs held attention.
jobs_00088,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00088,"Kalispell, MT",workplacetype-00088,employmenttype-00088,seniority-00088,family|interp,2025-04-10T17:48:00Z,449,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00089,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00089,"Bozeman, MT",workplacetype-00089,employmenttype-00089,seniority-00089,winter|family,2026-07-24T13:47:00Z,482,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00090,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00090,"Bozeman, MT",workplacetype-00090,employmenttype-00090,seniority-00090,interp|photography,2026-04-28T03:42:00Z,314,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00091,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00091,"Missoula, MT",workplacetype-00091,employmenttype-00091,seniority-00091,safety|trail,2025-11-28T17:09:00Z,473,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00092,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00092,"Kalispell, MT",workplacetype-00092,employmenttype-00092,seniority-00092,backcountry|safety,2025-06-14T16:53:00Z,248,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00093,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00093,"Bozeman, MT",workplacetype-00093,employmenttype-00093,seniority-00093,safety|ranger,2025-09-19T10:59:00Z,60,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00094,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00094,"West Glacier, MT",workplacetype-00094,employmenttype-00094,seniority-00094,family|photography,2025-04-13T05:28:00Z,161,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00095,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00095,"West Glacier, MT",workplacetype-00095,employmenttype-00095,seniority-00095,photography|interp,2025-07-23T02:34:00Z,442,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00096,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00096,"Kalispell, MT",workplacetype-00096,employmenttype-00096,seniority-00096,backcountry|trail,2025-07-16T16:05:00Z,362,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00097,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00097,"Kalispell, MT",workplacetype-00097,employmenttype-00097,seniority-00097,family|glacier,2026-07-14T12:14:00Z,406,Post-season interpretive review — evening astronomy programs held attention.
jobs_00098,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00098,"Whitefish, MT",workplacetype-00098,employmenttype-00098,seniority-00098,interp|glacier,2026-11-03T05:46:00Z,108,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00099,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00099,"Missoula, MT",workplacetype-00099,employmenttype-00099,seniority-00099,family|winter,2024-09-30T23:07:00Z,282,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00100,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00100,"Whitefish, MT",workplacetype-00100,employmenttype-00100,seniority-00100,glacier|photography,2026-09-24T13:42:00Z,190,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00101,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00101,"Whitefish, MT",workplacetype-00101,employmenttype-00101,seniority-00101,backcountry|interp,2024-10-04T05:11:00Z,30,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00102,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00102,"Whitefish, MT",workplacetype-00102,employmenttype-00102,seniority-00102,glacier|trail,2025-06-16T14:02:00Z,211,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00103,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00103,"Bozeman, MT",workplacetype-00103,employmenttype-00103,seniority-00103,ranger|safety,2026-11-13T06:33:00Z,128,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00104,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00104,"West Glacier, MT",workplacetype-00104,employmenttype-00104,seniority-00104,family|trail,2025-02-18T10:46:00Z,260,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00105,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00105,"Bozeman, MT",workplacetype-00105,employmenttype-00105,seniority-00105,family|trail,2026-10-15T11:18:00Z,382,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
