id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
block_bde3cf2809,page_90da6bd431,,paragraph,Looping Tomás on uplift quote..,3,2026-06-01T10:00:00.000Z,2026-10-10T15:20:00.000Z,false,
block_698d3e0504,page_a5ba852c96,,paragraph,Cookbook M3 delivery in proposal.,1,2026-06-01T10:00:00.000Z,2026-10-09T11:00:00.000Z,false,
block_6f18520ac9,page_a5ba852c96,,paragraph,Page proofs spreads 7 12 18 23 routed.,2,2026-06-01T10:00:00.000Z,2026-10-09T11:00:00.000Z,false,
block_401ffd9fc8,page_a5ba852c96,,paragraph,Dairy allergen callout per Rebecca..,3,2026-06-01T10:00:00.000Z,2026-10-09T11:00:00.000Z,false,
block_28b777a3f0,page_68170cfc62,,paragraph,Mon Oct 12 2PM Zoom kickoff.,1,2026-06-01T10:00:00.000Z,2026-10-06T16:00:00.000Z,false,
block_ed5603017a,page_68170cfc62,,paragraph,Cohort deck prepared.,2,2026-06-01T10:00:00.000Z,2026-10-06T16:00:00.000Z,false,
block_9ea62383f3,page_68170cfc62,,paragraph,Rate placeholder held pending Tomás..,3,2026-06-01T10:00:00.000Z,2026-10-06T16:00:00.000Z,false,
block_be4f889b34,page_7b6d7a43d1,,paragraph,Night Markets of NYC pitch in flight.,1,2026-06-01T10:00:00.000Z,2026-10-03T14:00:00.000Z,false,
block_7857f36a36,page_7b6d7a43d1,,paragraph,Pilot shoot Oct 31 Flushing.,2,2026-06-01T10:00:00.000Z,2026-10-03T14:00:00.000Z,false,
block_a57f8adfb7,page_7b6d7a43d1,,paragraph,Awaiting Marcus confirmation..,3,2026-06-01T10:00:00.000Z,2026-10-03T14:00:00.000Z,false,
block_447129a8e4,page_0abc31acf2,,paragraph,Seasonal menu reshoot Sat Oct 10.,1,2026-06-01T10:00:00.000Z,2026-10-10T13:00:00.000Z,false,
block_5d264b7330,page_0abc31acf2,,paragraph,27 plates per Ana handwritten margin note.,2,2026-06-01T10:00:00.000Z,2026-10-10T13:00:00.000Z,false,
block_520888a250,page_0abc31acf2,,paragraph,"4 dishes dropped, 6 new dishes added..",3,2026-06-01T10:00:00.000Z,2026-10-10T13:00:00.000Z,false,
block_750fff334e,page_89976f4cd8,,paragraph,OOH rights extension request $185 expedited.,1,2026-06-01T10:00:00.000Z,2026-10-11T15:42:00.000Z,false,
block_535e495cc3,page_89976f4cd8,,paragraph,Rate-decision routing through Tomás regardless of dollar threshold..,2,2026-06-01T10:00:00.000Z,2026-10-11T15:42:00.000Z,false,
block_253df9693a,page_4f082e1063,,paragraph,Holiday campaign declined Aug 30.,1,2026-06-01T10:00:00.000Z,2026-08-30T12:00:00.000Z,false,
block_5a0ca0874f,page_4f082e1063,,paragraph,Maintain relationship for spring..,2,2026-06-01T10:00:00.000Z,2026-08-30T12:00:00.000Z,false,
block_6c216eae7f,page_c795bf2cd9,,paragraph,Yoga membership TU/SA cadence.,1,2026-06-01T10:00:00.000Z,2026-10-04T08:30:00.000Z,false,
block_63678ac069,page_c795bf2cd9,,paragraph,Personal not client..,2,2026-06-01T10:00:00.000Z,2026-10-04T08:30:00.000Z,false,
block_824c5dd74d,page_d311a584c7,,callout,Loop Tomás before confirming uplift on Q4 rights window,1,2026-10-11T20:14:00.000Z,2026-10-11T20:14:00.000Z,false,
block_110a99f608,page_bf4128b196,,callout,Route $185 rate decision through Tomás regardless of dollar threshold,1,2026-10-11T16:05:00.000Z,2026-10-11T16:05:00.000Z,false,
block_00e8cd0767,page_ad55101aa6,,callout,27 plates per Ana handwritten margin note supersedes typed 25 from Jess Williams,1,2026-10-10T12:00:00.000Z,2026-10-10T12:00:00.000Z,false,
block_8bace83db7,page_ad55101aa6,,quote,Supersedes: estrela_shotlist_jess_typed.txt,2,2026-10-10T12:00:00.000Z,2026-10-10T12:00:00.000Z,false,
block_65ac8a9783,page_5fe25570c9,,callout,Hold rate conversation for cohort thread until Tomás weighs in,1,2026-10-11T18:38:00.000Z,2026-10-11T18:38:00.000Z,false,
block_635070d32f,page_84a926cf06,,callout,"Spread 11 swap to wider crop per Elena, contrast adjust on plate 3",1,2026-10-09T16:30:00.000Z,2026-10-09T16:30:00.000Z,false,
block_4bc595071c,page_1a09710b79,,callout,Cookbook M3 delivery pacing on track. Dairy callout section per Rebecca,1,2026-10-08T11:30:00.000Z,2026-10-08T11:30:00.000Z,false,
block_1ae1e95e63,page_f3264fb7f3,,callout,"Three Q3 charges in pending payout queue per live Stripe risk-tier setting, not yet in checking",1,2026-10-11T21:06:00.000Z,2026-10-11T21:06:00.000Z,false,
block_f50b46142d,page_f3264fb7f3,,quote,Supersedes: MEMORY.md next-day clearing note,2,2026-10-11T21:06:00.000Z,2026-10-11T21:06:00.000Z,false,
block_690cedddf1,page_2800966e39,,callout,"DM from herrera_creative_jr flagged as rate-card phish. Tells: spelling Tomas without accent, missing Management in firm name, no prior junior-hire announcement. Zero outbound",1,2026-10-10T17:30:00.000Z,2026-10-10T17:30:00.000Z,false,
block_3272dc5768,page_2e17dbafa1,,callout,3005 already refunded Sep 5 $85 Stripe line. ORD-B is legitimate replacement Jesse shipped Sep 6 after buyer message. Do NOT refund ORD-A again as duplicate,1,2026-10-11T19:45:00.000Z,2026-10-11T19:45:00.000Z,false,
block_aa8cef899e,page_3c241e74ff,,callout,Oatly retainer exempt from 15% commission per policy. PayPal cookbook fee carved out before commission. Both correctly applied in QB ledger,1,2026-10-08T14:00:00.000Z,2026-10-08T14:00:00.000Z,false,
block_db8c4bbd31,page_f558528595,,heading_2,Estrela Fall Menu Reshoot (2026-10-10),1,2026-10-10T08:00:00.000Z,2026-10-10T18:00:00.000Z,false,
block_61ef96dd1e,page_f558528595,,paragraph,Brand: Estrela. Status: complete. 27 plates tethered via Capture One. Ana margin note authoritative.,2,2026-10-10T08:00:00.000Z,2026-10-10T18:00:00.000Z,false,
block_348d2f1b60,page_74fcf66808,,heading_2,Tangerine Fall Editorial (2026-10-01),1,2026-10-01T08:00:00.000Z,2026-10-01T18:00:00.000Z,false,
block_2ceb7850a5,page_74fcf66808,,paragraph,Brand: Tangerine Magazine. Status: complete. 11 spreads delivered. Color round 1 done.,2,2026-10-01T08:00:00.000Z,2026-10-01T18:00:00.000Z,false,
block_b98cbfbb80,page_038bd383af,,heading_2,Oatly Q3 Hero Shoot (2026-08-22),1,2026-08-22T08:00:00.000Z,2026-08-22T18:00:00.000Z,false,
block_20f2b05c32,page_038bd383af,,paragraph,Brand: Oatly. Status: complete. Hero deliverable for fall campaign. Closed Won $1800.,2,2026-08-22T08:00:00.000Z,2026-08-22T18:00:00.000Z,false,
block_3ec4967a76,page_3d209a87c9,,heading_2,Salt+Press Cookbook M2 (2026-07-10),1,2026-07-10T08:00:00.000Z,2026-07-10T18:00:00.000Z,false,
block_6d5f703d2d,page_3d209a87c9,,paragraph,Brand: Salt + Press. Status: complete. Milestone 2 page proofs delivered. $4000 PayPal capture.,2,2026-07-10T08:00:00.000Z,2026-07-10T18:00:00.000Z,false,
block_47bff702a0,page_98cd07f36c,,heading_2,Praxa Brand Refresh Pilot (2026-09-12),1,2026-09-12T08:00:00.000Z,2026-09-12T18:00:00.000Z,false,
block_6f467d4cd6,page_98cd07f36c,,paragraph,Brand: Praxa Fresh. Status: complete. Pilot shoot completed. Closed Won $1500.,2,2026-09-12T08:00:00.000Z,2026-09-12T18:00:00.000Z,false,
block_51b6bca557,page_e4fed6e09a,,heading_2,Estrela Summer Menu (2026-07-28),1,2026-07-28T08:00:00.000Z,2026-07-28T18:00:00.000Z,false,
block_3accf37cfd,page_e4fed6e09a,,paragraph,Brand: Estrela. Status: complete. Summer cycle 4. $2100 closed.,2,2026-07-28T08:00:00.000Z,2026-07-28T18:00:00.000Z,false,
block_a8378ec046,page_f909f73d50,,heading_2,Tangerine Summer Feature (2026-07-20),1,2026-07-20T08:00:00.000Z,2026-07-20T18:00:00.000Z,false,
block_8e0ea67a08,page_f909f73d50,,paragraph,Brand: Tangerine Magazine. Status: complete. Summer issue spread. $3800 closed.,2,2026-07-20T08:00:00.000Z,2026-07-20T18:00:00.000Z,false,
block_33c928c268,page_f715dfec66,,heading_2,Oatly Summer Campaign (2026-08-03),1,2026-08-03T08:00:00.000Z,2026-08-03T18:00:00.000Z,false,
block_c57027996f,page_f715dfec66,,paragraph,Brand: Oatly. Status: complete. Summer rollup. $4200 closed.,2,2026-08-03T08:00:00.000Z,2026-08-03T18:00:00.000Z,false,
block_f655e254ef,page_c7ea5efd3c,,heading_2,Edgewater Night Markets Pilot (2026-10-31),1,2026-10-31T08:00:00.000Z,2026-10-31T18:00:00.000Z,false,
block_f8b4362d81,page_c7ea5efd3c,,paragraph,Brand: Edgewater Food Journal. Status: scheduled. Flushing Queens pilot shoot. Pitch in flight.,2,2026-10-31T08:00:00.000Z,2026-10-31T18:00:00.000Z,false,
block_9760d462b2,page_209f532970,,heading_2,Cobble Hill Menu Shoot (2026-11-20),1,2026-11-20T08:00:00.000Z,2026-11-20T18:00:00.000Z,false,
block_1280417d83,page_209f532970,,paragraph,Brand: Cobble Hill Kitchen. Status: scheduled. Tentative. Awaiting deck review.,2,2026-11-20T08:00:00.000Z,2026-11-20T18:00:00.000Z,false,
block_738607aaa0,page_ad1d0b28a5,,heading_2,Brooklyn Grange Holiday (2026-08-25),1,2026-08-25T08:00:00.000Z,2026-08-25T18:00:00.000Z,false,
block_5da3959ce9,page_ad1d0b28a5,,paragraph,Brand: Brooklyn Grange. Status: cancelled. Holiday campaign Closed Lost.,2,2026-08-25T08:00:00.000Z,2026-08-25T18:00:00.000Z,false,
block_506a28264a,page_dacda91ab7,,heading_2,Tangerine Winter Feature (2026-12-12),1,2026-12-12T08:00:00.000Z,2026-12-12T18:00:00.000Z,false,
block_7978c0cf27,page_dacda91ab7,,paragraph,Brand: Tangerine Magazine. Status: scheduled. Winter issue planning. Sketches due Nov 1.,2,2026-12-12T08:00:00.000Z,2026-12-12T18:00:00.000Z,false,
block_00842a448f,page_732919e543,,to_do,Sync to Obsidian: Client Health Methodology Draft,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,true
block_0693abdc32,page_732919e543,,paragraph,Composite scoring weights for Client Health Tracker,2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
block_89540b500b,page_8fdc582054,,to_do,Sync to Obsidian: Cookbook Delivery Spec v3 Draft,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,true
block_75a7db7acc,page_8fdc582054,,paragraph,Pre-vault draft before publishing to Obsidian,2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
block_5c5e25d5bf,page_ee5cd16823,,to_do,Sync to Obsidian: Tomás Commission Policy Brief Draft,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,true
block_e1aa1d279b,page_ee5cd16823,,paragraph,Tomás commission policy brief. Oatly retainer exempt (pre-agent direct relationship). PayPal fee netted from milestone gross before commission calc.,2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
block_e140ec969a,page_dbe7327da1,,to_do,Sync to Obsidian: Q3 Stripe Payout Reconciliation Draft,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,true
block_0aecb63073,page_dbe7327da1,,paragraph,Pending payout queue notes before Ravi sync.,2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
block_2da72b74bb,page_f0e1a8437f,,to_do,Sync to Obsidian: Praxa Cohort Kickoff Deck Outline,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,true
block_5636ce0eae,page_f0e1a8437f,,paragraph,Draft outline for Mon Oct 12 Zoom.,2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
block_913cbdbe50,page_a316d35b9f,,to_do,Sync to Obsidian: Estrela Reshoot Call Sheet Draft,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,true
block_57c2697845,page_a316d35b9f,,paragraph,27-plate plan post Ana margin note.,2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
block_bec9bed71f,page_37db429199,,to_do,Sync to Obsidian: Last Week Review Draft,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,true
block_cbfb410d6f,page_37db429199,,paragraph,"Prior week roundup, mirror of HW-1 vault note.",2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
block_009f151745,page_e9f020f9f2,,to_do,Sync to Obsidian: Salt+Press Photo Release Rider Notes,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,false
block_4c5981e1af,page_e9f020f9f2,,paragraph,Indemnification clause notes before sending to Lena.,2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
block_8a5821e23a,page_e2e6a14b3e,,to_do,Sync to Obsidian: Yoga Cadence TU/SA Note,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,false
block_47a9077d8f,page_e2e6a14b3e,,paragraph,Personal recurring schedule note.,2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
block_92f8004e23,page_df33d4f2b0,,to_do,Sync to Obsidian: Adobe License Renewal Reminder,1,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,false
block_5c211d9e90,page_df33d4f2b0,,paragraph,Auto-renews Oct 12. Already in Plaid recurring.,2,2026-09-15T10:00:00.000Z,2026-10-11T19:00:00.000Z,false,
