txn_id,date,account,memo,debit_jpy,credit_jpy,running_balance_jpy
QB-00085,2026-04-28,open_studio_sales,open studio same-day sales via Square,0,72000,3145800
QB-00086,2026-04-30,gallery_receivable_galerie_terre,Galerie Terre EUR converted at posting,0,120000,3265800
QB-00087,2026-05-01,gallery_receivable_galerie_terre,Galerie Terre EUR converted at posting,0,84000,3349800
QB-00088,2026-05-03,assistant_pay_gusto,assistant pay via Gusto,28000,0,3321800
QB-00089,2026-05-05,gallery_receivable_shibui,Shibui consignment settlement,0,85000,3406800
QB-00090,2026-05-06,subscription_airtable,posting,3000,0,3403800
QB-00091,2026-05-06,subscription_airtable,posting,3000,0,3400800
QB-00092,2026-05-06,subscription_airtable,posting,3000,0,3397800
QB-00093,2026-05-07,subscription_quickbooks,posting,3600,0,3394200
QB-00094,2026-05-10,apartment_rent,Higashiyama apartment rent monthly,85000,0,3309200
QB-00095,2026-05-10,subscription_quickbooks,posting,3600,0,3305600
QB-00096,2026-05-13,museum_installment,Kyoto Craft Museum installment posted,0,65000,3370600
QB-00097,2026-05-14,assistant_pay_gusto,assistant pay via Gusto,36000,0,3334600
QB-00098,2026-05-14,photography_riku,Riku Hasegawa photography session,18000,0,3316600
QB-00099,2026-05-15,tax_reserve,tax reserve monthly sweep,45000,0,3271600
QB-00100,2026-05-15,shipping,domestic shipping to collector,12000,0,3259600
QB-00101,2026-05-15,subscription_airtable,posting,3000,0,3256600
QB-00102,2026-05-16,materials,Kyoto Tokei Ceramics order,51000,0,3205600
QB-00103,2026-05-18,subscription_airtable,posting,3000,0,3202600
QB-00104,2026-05-18,subscription_xero,posting,4800,0,3197800
QB-00105,2026-05-19,apartment_rent,Higashiyama apartment rent monthly,85000,0,3112800
QB-00106,2026-05-19,subscription_quickbooks,posting,3600,0,3109200
QB-00107,2026-05-20,packaging,Kyoto Studio Supply packaging,4800,0,3104400
QB-00108,2026-05-22,transport_shigaraki,train fare for Shigaraki visit,8000,0,3096400
QB-00109,2026-05-22,subscription_quickbooks,posting,3600,0,3092800
QB-00110,2026-05-23,museum_installment,Kyoto Craft Museum installment posted,0,50000,3142800
QB-00111,2026-05-25,direct_sale,direct sale to collector,0,55000,3197800
QB-00112,2026-05-27,transport_shigaraki,train fare for Shigaraki visit,12000,0,3185800
QB-00113,2026-05-29,subscription_xero,posting,4800,0,3181000
QB-00114,2026-05-31,museum_installment,Kyoto Craft Museum installment posted,0,58000,3239000
QB-00115,2026-05-31,insurance,studio contents insurance,8000,0,3231000
QB-00116,2026-06-01,gallery_receivable_shibui,Shibui consignment settlement,0,110000,3341000
QB-00117,2026-06-01,shipping,domestic shipping to collector,6400,0,3334600
QB-00118,2026-06-05,gallery_receivable_galerie_terre,Galerie Terre EUR converted at posting,0,108000,3442600
QB-00119,2026-06-06,packaging,Kyoto Studio Supply packaging,7200,0,3435400
QB-00120,2026-06-07,gallery_receivable_shibui,Shibui consignment settlement,0,130000,3565400
QB-00121,2026-06-08,assistant_pay_gusto,assistant pay via Gusto,20000,0,3545400
QB-00122,2026-06-09,subscription_airtable,posting,3000,0,3542400
QB-00123,2026-06-10,subscription_quickbooks,posting,3600,0,3538800
QB-00124,2026-06-12,studio_rent,HCC studio rent monthly,65000,0,3473800
QB-00125,2026-06-16,health_insurance,national health insurance,18000,0,3455800
QB-00126,2026-06-19,utilities,electricity gas water,12000,0,3443800
QB-00127,2026-06-19,photography_riku,Riku Hasegawa photography session,9000,0,3434800
QB-00128,2026-06-25,gallery_receivable_shibui,Shibui consignment settlement,0,90000,3524800
QB-00129,2026-06-25,refund_correction,correction of earlier posting,20000,0,3504800
QB-00130,2026-07-05,museum_installment,Kyoto Craft Museum installment posted,0,45000,3549800
QB-00131,2026-07-08,subscription_notion,posting,2400,0,3547400
QB-00132,2026-07-12,fedex_paris,FedEx custom crate to Paris,55000,0,3492400
QB-00133,2026-07-13,shipping,domestic shipping to collector,9600,0,3482800
QB-00134,2026-07-13,fedex_paris,FedEx custom crate to Paris,32000,0,3450800
QB-00135,2026-07-15,fedex_paris,FedEx custom crate to Paris,48000,0,3402800
QB-00136,2026-07-15,museum_installment,Kyoto Craft Museum installment posted,0,62000,3464800
QB-00137,2026-07-16,subscription_airtable,posting,3000,0,3461800
QB-00138,2026-07-16,museum_installment,Kyoto Craft Museum installment posted,0,52000,3513800
QB-00139,2026-07-17,kiln_wood_fee,anagama share,9600,0,3504200
QB-00140,2026-07-19,utilities,electricity gas water,15000,0,3489200
QB-00141,2026-07-20,tax_reserve,tax reserve monthly sweep,60000,0,3429200
QB-00142,2026-07-20,apartment_rent,Higashiyama apartment rent monthly,85000,0,3344200
QB-00143,2026-07-21,gallery_receivable_shibui,Shibui consignment settlement,0,105000,3449200
QB-00144,2026-07-21,open_studio_sales,open studio same-day sales via Square,0,85000,3534200
QB-00145,2026-07-21,subscription_quickbooks,posting,3600,0,3530600
QB-00146,2026-07-25,subscription_notion,posting,2400,0,3528200
QB-00147,2026-07-27,open_studio_sales,open studio same-day sales via Square,0,55000,3583200
QB-00148,2026-07-27,insurance,studio contents insurance,6000,0,3577200
QB-00149,2026-07-28,subscription_quickbooks,posting,3600,0,3573600
QB-00150,2026-07-29,refund_correction,correction of earlier posting,14000,0,3559600
QB-00151,2026-07-29,apartment_rent,Higashiyama apartment rent monthly,85000,0,3474600
QB-00152,2026-07-31,refund_correction,correction of earlier posting,16000,0,3458600
QB-00153,2026-08-01,materials,Kyoto Tokei Ceramics order,35000,0,3423600
QB-00154,2026-08-04,refund_correction,correction of earlier posting,11000,0,3412600
QB-00155,2026-08-05,subscription_klaviyo,posting,6000,0,3406600
QB-00156,2026-08-06,museum_installment,Kyoto Craft Museum installment posted,0,68000,3474600
QB-00157,2026-08-18,kiln_gas_fee,HCC gas reduction slot,15000,0,3459600
QB-00158,2026-08-21,studio_rent,HCC studio rent monthly,65000,0,3394600
QB-00159,2026-08-23,direct_sale,direct sale to collector,0,90000,3484600
QB-00160,2026-08-26,utilities,electricity gas water,9600,0,3475000
QB-00161,2026-08-28,materials,Kyoto Tokei Ceramics order,45000,0,3430000
QB-00162,2026-08-29,photography_riku,Riku Hasegawa photography session,14000,0,3416000
QB-00163,2026-08-29,gallery_receivable_shibui,Shibui consignment settlement,0,115000,3531000
QB-00164,2026-08-30,kiln_gas_fee,HCC gas reduction slot,20000,0,3511000
QB-00165,2026-09-01,subscription_notion,posting,2400,0,3508600
QB-00166,2026-09-02,subscription_klaviyo,posting,6000,0,3502600
QB-00167,2026-09-04,subscription_airtable,posting,3000,0,3499600
QB-00168,2026-09-05,subscription_airtable,posting,3000,0,3496600
QB-00169,2026-09-06,kiln_wood_fee,anagama share,10000,0,3486600
QB-00170,2026-09-06,transport_shigaraki,train fare for Shigaraki visit,9600,0,3477000
QB-00171,2026-09-06,gallery_receivable_shibui,Shibui consignment settlement,0,100000,3577000
QB-00172,2026-09-08,subscription_klaviyo,posting,6000,0,3571000
QB-00173,2026-09-09,packaging,Kyoto Studio Supply packaging,5400,0,3565600
QB-00174,2026-09-10,fedex_paris,FedEx custom crate to Paris,40000,0,3525600
QB-00175,2026-09-11,packaging,Kyoto Studio Supply packaging,6600,0,3519000
QB-00176,2026-09-17,studio_rent,HCC studio rent monthly,65000,0,3454000
QB-00177,2026-09-18,gallery_receivable_galerie_terre,Galerie Terre EUR converted at posting,0,72000,3526000
QB-00178,2026-09-18,materials,Kyoto Tokei Ceramics order,40000,0,3486000
QB-00179,2026-09-21,photography_riku,Riku Hasegawa photography session,11000,0,3475000
QB-00180,2026-09-22,photography_riku,Riku Hasegawa photography session,13000,0,3462000
