sys_id,number,short_description,description,state,priority,impact,urgency,category,assigned_to,opened_by,opened_at,updated_at
72dc883017f64d4986c57d082439653e,INC0001145,"Dashboard down","Dashboard down reported by user.",6 - Resolved,3 - Moderate,2 - Medium,3 - Low,Software,uevelynclark153,umatthewanderson158,2026-05-12T17:00:00Z,2026-05-22T17:00:00Z
905bfa3eb17ba1593599c40484bbfc5b,INC0001146,"VPN issue","VPN issue reported by user.",2 - In Progress,2 - High,2 - Medium,3 - Low,Software,uevelynclark153,uashleymoore122,2026-10-04T12:00:00Z,2026-10-23T12:00:00Z
da0f69f61f485002bf8eecb22adca1a7,INC0001147,"Report not generating","Report not generating reported by user.",7 - Closed,1 - Critical,2 - Medium,2 - Medium,Software,umarknelson125,unancybaker126,2026-01-01T12:00:00Z,2026-01-21T12:00:00Z
c3f27c6909891edccb3b04d38d6a6a7d,INC0001148,"VPN issue","VPN issue reported by user.",6 - Resolved,4 - Low,3 - Low,1 - High,Software,unancyharris142,uameliahall136,2026-10-06T13:00:00Z,2026-10-25T13:00:00Z
dc22cb785db276b9a6b252b18ee95536,INC0001149,"VPN issue","VPN issue reported by user.",6 - Resolved,1 - Critical,2 - Medium,2 - Medium,Software,uoliviawright168,ukarenjones160,2026-09-18T09:00:00Z,2026-09-20T09:00:00Z
0c6887dc8854a119dde30a49d653ecd4,INC0001150,"Slow query","Slow query reported by user.",1 - New,3 - Moderate,1 - High,1 - High,Software,usandraharris138,urichardtaylor128,2026-02-10T13:00:00Z,2026-02-25T13:00:00Z
e355441c00e168cb219dca10a6c768cb,INC0001151,"Email not sending","Email not sending reported by user.",7 - Closed,2 - High,2 - Medium,2 - Medium,Software,urichardbarrera006,urichardbrown101,2026-10-16T17:00:00Z,2026-10-26T17:00:00Z
35e4b5b20ebe325ad7a6843a63531090,INC0001152,"Cert expired","Cert expired reported by user.",7 - Closed,4 - Low,2 - Medium,3 - Low,Software,usandradavis109,uameliahall103,2026-01-13T11:00:00Z,2026-01-25T11:00:00Z
cb0242537394f23d8070f4b254afb68b,INC0001153,"Dashboard down","Dashboard down reported by user.",6 - Resolved,2 - High,3 - Low,2 - Medium,Software,ujessicapowell004,urichardbrown101,2026-02-15T16:00:00Z,2026-02-21T16:00:00Z
c39d7748135b8fedf7681ad27c477f54,INC0001154,"Dashboard down","Dashboard down reported by user.",1 - New,4 - Low,3 - Low,3 - Low,Software,unancyharris142,uevelynharris112,2026-05-08T16:00:00Z,2026-05-23T16:00:00Z
8dcd0731a5402566b3c12d0860f184e1,INC0001155,"Slow query","Slow query reported by user.",1 - New,2 - High,1 - High,2 - Medium,Software,ujamesscott191,ujosephlewis118,2026-01-06T16:00:00Z,2026-01-25T16:00:00Z
fe1c951749c5bc37f729562ce01bcfcc,INC0001156,"Slow query","Slow query reported by user.",1 - New,1 - Critical,2 - Medium,1 - High,Software,uanthonydavis121,usandraanderson139,2026-08-09T16:00:00Z,2026-08-25T16:00:00Z
88e9866482358c5e845a4df09c93b062,INC0001157,"VPN issue","VPN issue reported by user.",7 - Closed,3 - Moderate,1 - High,1 - High,Software,umatthewscott141,uevelynclark153,2026-03-07T15:00:00Z,2026-03-21T15:00:00Z
a0b7ef5e7125a8d0cd388b1dc10e1b04,INC0001158,"VPN issue","VPN issue reported by user.",6 - Resolved,2 - High,1 - High,3 - Low,Software,uashleymoore122,uemmataylor166,2026-03-07T09:00:00Z,2026-03-27T09:00:00Z
056fb26c622befebce7db0dc02d272f3,INC0001159,"Report not generating","Report not generating reported by user.",6 - Resolved,1 - Critical,2 - Medium,2 - Medium,Software,usandradavis109,usandrawilson127,2026-08-13T17:00:00Z,2026-08-24T17:00:00Z
26e61f8e5d44079e944443f52e75a9b3,INC0001160,"API timeout","API timeout reported by user.",2 - In Progress,3 - Moderate,2 - Medium,1 - High,Software,uameliagreen172,uabigailmoore175,2026-03-18T10:00:00Z,2026-03-24T10:00:00Z
5170fb3b7595f6832834c1168c3cd805,INC0001161,"Pipeline failed","Pipeline failed reported by user.",6 - Resolved,3 - Moderate,1 - High,3 - Low,Software,uanthonywilson186,uisabellamiller144,2026-06-08T16:00:00Z,2026-06-22T16:00:00Z
d31cf979bb0d3007387ee4355c48409d,INC0001162,"Pipeline failed","Pipeline failed reported by user.",7 - Closed,1 - Critical,1 - High,2 - Medium,Software,uisabellaallen198,ujosephlewis118,2026-02-07T17:00:00Z,2026-02-22T17:00:00Z
afc63a641ee58fb635f4a22d6cd03459,INC0001163,"Login failure","Login failure reported by user.",7 - Closed,3 - Moderate,2 - Medium,2 - Medium,Software,ujamesgreen135,ujoshuaarcher005,2026-09-18T15:00:00Z,2026-09-24T15:00:00Z
e07a3b80c69a8def7c50c955965dc416,INC0001164,"Pipeline failed","Pipeline failed reported by user.",6 - Resolved,1 - Critical,3 - Low,3 - Low,Software,ujosephadams108,uemmahall161,2026-04-13T10:00:00Z,2026-04-24T10:00:00Z
26418a6918bc5a10c5b3853bea0f4206,INC0001165,"Email not sending","Email not sending reported by user.",1 - New,1 - Critical,3 - Low,1 - High,Software,urichardadams131,uoliviahall182,2026-03-08T14:00:00Z,2026-03-27T14:00:00Z
d3dd3e1dff10d282e974e844471b787d,INC0001166,"API timeout","API timeout reported by user.",2 - In Progress,2 - High,2 - Medium,1 - High,Software,uashleyharris174,uavawalker185,2026-01-05T11:00:00Z,2026-01-20T11:00:00Z
7615dc3e9f615f89bd5677328c002b60,INC0001167,"VPN issue","VPN issue reported by user.",2 - In Progress,4 - Low,3 - Low,1 - High,Software,usandradavis109,uanthonydavis121,2026-10-05T13:00:00Z,2026-10-26T13:00:00Z
e64189223de9f2ed0c3ce958d1a69962,INC0001168,"API timeout","API timeout reported by user.",6 - Resolved,2 - High,3 - Low,1 - High,Software,uevelynyoung169,urichardmoore143,2026-05-01T13:00:00Z,2026-05-21T13:00:00Z
3aedb45320df51b37eb9a7cb5c2954bc,INC0001169,"Report not generating","Report not generating reported by user.",2 - In Progress,1 - Critical,3 - Low,3 - Low,Software,uanthonydavis121,ucharleslee193,2026-02-05T11:00:00Z,2026-02-22T11:00:00Z
21a0a87084f7cd38e2bed40aeed42f95,INC0001170,"Report not generating","Report not generating reported by user.",1 - New,3 - Moderate,2 - Medium,3 - Low,Software,uashleyharris174,urichardmoore143,2026-01-17T10:00:00Z,2026-01-21T10:00:00Z
74f60cb0f776d0f2ca3d8aa2939d2ab0,INC0001171,"VPN issue","VPN issue reported by user.",1 - New,3 - Moderate,2 - Medium,3 - Low,Software,uashleynelson149,uoliviayoung179,2026-06-09T17:00:00Z,2026-06-24T17:00:00Z
ddcc9a9b5a7acacdc2ed4c7dc7a23da6,INC0001172,"VPN issue","VPN issue reported by user.",1 - New,4 - Low,2 - Medium,3 - Low,Software,umatthewscott141,umichaelyoung197,2026-02-11T17:00:00Z,2026-02-22T17:00:00Z
516bb3b0581506e020778f11cd6053c5,INC0001173,"Report not generating","Report not generating reported by user.",2 - In Progress,1 - Critical,3 - Low,2 - Medium,Software,umichaeljohnson171,ujamesdavis195,2026-10-11T16:00:00Z,2026-10-22T16:00:00Z
d7bbfe6d118d604fdcaa2cc0942a617e,INC0001174,"Disk full","Disk full reported by user.",6 - Resolved,1 - Critical,2 - Medium,1 - High,Software,uemilyjohnson107,uavagreen140,2026-02-18T11:00:00Z,2026-02-25T11:00:00Z
3cabb1b23d220bb2abc70a92bcafb58c,INC0001175,"Cert expired","Cert expired reported by user.",1 - New,3 - Moderate,1 - High,3 - Low,Software,uanthonywilson155,unancyharris142,2026-06-13T17:00:00Z,2026-06-22T17:00:00Z
0782e5fc61e99370e6c6d566e273144c,INC0001176,"Login failure","Login failure reported by user.",2 - In Progress,3 - Moderate,3 - Low,1 - High,Software,ukarenjones160,uthomassmith178,2026-07-14T13:00:00Z,2026-07-21T13:00:00Z
ad8f07981e86b013bdca1d283acc491b,INC0001177,"Slow query","Slow query reported by user.",1 - New,4 - Low,2 - Medium,2 - Medium,Software,uashleygarcia114,uisabellamiller144,2026-08-10T15:00:00Z,2026-08-21T15:00:00Z
e9eda161dfe1dbfc5bc47cd2949d8502,INC0001178,"Report not generating","Report not generating reported by user.",6 - Resolved,2 - High,3 - Low,1 - High,Software,uoliviahall182,uameliahall103,2026-08-18T13:00:00Z,2026-08-22T13:00:00Z
b51ec7620b7a1bb367987fcb27078a05,INC0001179,"Pipeline failed","Pipeline failed reported by user.",2 - In Progress,1 - Critical,3 - Low,2 - Medium,Software,uthomaslewis130,uthomassmith178,2026-04-02T10:00:00Z,2026-04-20T10:00:00Z
6df2389b350dc85b57f96a2baaeb0b37,INC0001180,"Slow query","Slow query reported by user.",7 - Closed,2 - High,3 - Low,1 - High,Software,urichardtaylor128,uabigailmoore175,2026-10-18T17:00:00Z,2026-10-26T17:00:00Z
0fa55297e299bb489aea8199d2880a0b,INC0001181,"Email not sending","Email not sending reported by user.",7 - Closed,1 - Critical,3 - Low,3 - Low,Software,usandrawilson127,uemilyallen152,2026-06-09T10:00:00Z,2026-06-22T10:00:00Z
4a5a1ec23f44e5172a0731e2da784163,INC0001182,"Report not generating","Report not generating reported by user.",7 - Closed,2 - High,3 - Low,2 - Medium,Software,uisabellamiller144,ujenniferscott137,2026-07-04T13:00:00Z,2026-07-26T13:00:00Z
b2826dd6d6b03b2c773e2910112fb364,INC0001183,"Cert expired","Cert expired reported by user.",2 - In Progress,1 - Critical,1 - High,1 - High,Software,unancyharris142,uoliviacarter102,2026-07-09T15:00:00Z,2026-07-24T15:00:00Z
c9c026af2f9a20814bda9f74e917f587,INC0001184,"Report not generating","Report not generating reported by user.",1 - New,2 - High,2 - Medium,1 - High,Software,ujoshuaarcher005,ubrianhenderson001,2026-06-01T10:00:00Z,2026-06-21T10:00:00Z
42a00c5cf91ec172943fd6240b1d4b4a,INC0001185,"Report not generating","Report not generating reported by user.",7 - Closed,1 - Critical,1 - High,1 - High,Software,uashleynelson149,uoliviacarter102,2026-07-13T13:00:00Z,2026-07-24T13:00:00Z
d5285ce64d56ef5f5b8844680f4d1384,INC0001186,"Slow query","Slow query reported by user.",7 - Closed,2 - High,3 - Low,3 - Low,Software,usandradavis109,uoliviagreen176,2026-01-07T10:00:00Z,2026-01-20T10:00:00Z
d0543e8cf1149e98670504020a612e82,INC0001187,"Login failure","Login failure reported by user.",2 - In Progress,3 - Moderate,2 - Medium,2 - Medium,Software,ujenniferjones164,uemmataylor104,2026-10-11T12:00:00Z,2026-10-24T12:00:00Z
328b049684ff8f23887919f4550eb61c,INC0001188,"VPN issue","VPN issue reported by user.",6 - Resolved,4 - Low,1 - High,2 - Medium,Software,ujamesdavis195,uanthonywalker132,2026-09-11T13:00:00Z,2026-09-27T13:00:00Z
d040876861d79346b3ba2326d22b92a0,INC0001189,"VPN issue","VPN issue reported by user.",6 - Resolved,1 - Critical,1 - High,1 - High,Software,urichardtaylor128,ujamesnelson147,2026-05-06T16:00:00Z,2026-05-25T16:00:00Z
bb33d39a9dedaed365bf37dff1055b55,INC0001190,"Report not generating","Report not generating reported by user.",2 - In Progress,2 - High,3 - Low,2 - Medium,Software,urichardbrown196,umarknelson125,2026-06-01T12:00:00Z,2026-06-20T12:00:00Z
3ac7532209d74e43b244e7882729602f,INC0001191,"Cert expired","Cert expired reported by user.",2 - In Progress,3 - Moderate,1 - High,1 - High,Software,uemmahall161,uevelynyoung169,2026-01-05T13:00:00Z,2026-01-22T13:00:00Z
c7f2d4c86c32b244e18b07ebd4f01720,INC0001192,"Report not generating","Report not generating reported by user.",1 - New,3 - Moderate,1 - High,1 - High,Software,urichardnelson123,uisabellabaker129,2026-04-13T12:00:00Z,2026-04-26T12:00:00Z
384d2e5d0bd4594585b7f92d86319b31,INC0001193,"VPN issue","VPN issue reported by user.",6 - Resolved,3 - Moderate,1 - High,2 - Medium,Software,usandraanderson139,uoliviayoung179,2026-01-15T14:00:00Z,2026-01-21T14:00:00Z
57f67eecfe0d9675cb4347cbae1c18ab,INC0001194,"Report not generating","Report not generating reported by user.",2 - In Progress,4 - Low,2 - Medium,2 - Medium,Software,umichaelyoung197,umarkcarter177,2026-02-13T17:00:00Z,2026-02-21T17:00:00Z
27d0b110676dda3c8c2b74582a0cce18,INC0001195,"Report not generating","Report not generating reported by user.",2 - In Progress,3 - Moderate,1 - High,3 - Low,Software,uthomasnelson187,uanthonywalker132,2026-08-19T12:00:00Z,2026-08-22T12:00:00Z
3eafc534583ce15e105376d79fffa76b,INC0001196,"Login failure","Login failure reported by user.",7 - Closed,1 - Critical,2 - Medium,2 - Medium,Software,uashleywright167,unancybaker126,2026-04-11T14:00:00Z,2026-04-25T14:00:00Z
028c27f4ba3cc125c64ae18befb56bfa,INC0001197,"API timeout","API timeout reported by user.",6 - Resolved,4 - Low,1 - High,1 - High,Software,udavidadams119,uabigailmoore175,2026-05-13T09:00:00Z,2026-05-25T09:00:00Z
0c368558f4fceacd3b9dfb8e14d48ac0,INC0001198,"Cert expired","Cert expired reported by user.",2 - In Progress,2 - High,3 - Low,3 - Low,Software,uashleyharris154,udavidadams119,2026-01-02T09:00:00Z,2026-01-27T09:00:00Z
6efeb568b05c5345381057f082c2a79c,INC0001199,"Cert expired","Cert expired reported by user.",6 - Resolved,1 - Critical,1 - High,1 - High,Software,uanthonywalker132,uemilyjohnson107,2026-10-03T08:00:00Z,2026-10-20T08:00:00Z
